stat, rank, value, (percentage) 
minecraft.used.red_stained_glass: #2, 3678(25%)
minecraft.picked_up.lime_concrete_powder: #2, 196(25%)
minecraft.picked_up.magenta_candle: #1, 189(93%)
minecraft.crafted.quartz_block: #2, 18624(16%)
minecraft.mined.stripped_spruce_log: #2, 2130(17%)
minecraft.picked_up.blue_candle: #1, 63(52%)
minecraft.dropped.light_gray_carpet: #2, 254(39%)
minecraft.used.glow_item_frame: #2, 542(21%)
minecraft.used.muddy_mangrove_roots: #1, 411(28%)
minecraft.used.horn_coral_block: #2, 1322(36%)
minecraft.dropped.crafting_table: #2, 144(16%)
minecraft.mined.daylight_detector: #1, 65(36%)
minecraft.picked_up.diorite_wall: #1, 316(26%)
minecraft.picked_up.polished_diorite_stairs: #1, 121(33%)
minecraft.killed_by.drowned: #1, 19(13%)
minecraft.used.polished_granite_stairs: #1, 490(51%)
minecraft.picked_up.oak_pressure_plate: #1, 12(21%)
minecraft.dropped.tipped_arrow: #1, 75(89%)
minecraft.crafted.warped_door: #2, 54(29%)
minecraft.picked_up.stripped_spruce_log: #2, 2144(17%)
minecraft.picked_up.bamboo_fence: #1, 136(89%)
minecraft.used.firework_rocket: #2, 88445(10%)
minecraft.picked_up.carved_pumpkin: #3, 3596(13%)
minecraft.crafted.chest: #2, 10020(13%)
minecraft.picked_up.end_rod: #2, 708(16%)
minecraft.dropped.smooth_stone_slab: #1, 136(25%)
minecraft.used.spruce_leaves: #2, 7899(17%)
minecraft.crafted.birch_slab: #2, 1566(17%)
minecraft.used.deepslate_gold_ore: #1, 751(17%)
minecraft.mined.brain_coral_block: #1, 829(29%)
minecraft.crafted.trapped_chest: #1, 10(38%)
minecraft.picked_up.light_gray_concrete: #2, 5669(20%)
minecraft.picked_up.smooth_quartz_slab: #2, 760(19%)
minecraft.picked_up.polished_andesite: #2, 1903(17%)
minecraft.picked_up.apple: #2, 1154(15%)
minecraft.used.stripped_spruce_log: #2, 1850(18%)
minecraft.dropped.mangrove_propagule: #2, 118(44%)
minecraft.custom.leave_game: #3, 2746(8%)
minecraft.used.dark_oak_planks: #2, 4753(15%)
minecraft.dropped.jungle_sign: #1, 36(56%)
minecraft.picked_up.tipped_arrow: #1, 76(67%)
