stat, rank, value, (percentage) 
minecraft.picked_up.diamond_block: #23, 11(0%)
minecraft.mined.ender_chest: #23, 36(0%)
minecraft.crafted.shulker_box: #23, 32(0%)
minecraft.used.white_shulker_box: #23, 13(0%)
minecraft.used.white_wool: #23, 63(0%)
minecraft.used.dark_oak_planks: #23, 55(0%)
minecraft.picked_up.leather_boots: #23, 3(0%)
minecraft.mined.bamboo: #23, 41(0%)
minecraft.crafted.brewing_stand: #23, 1(0%)
minecraft.used.light_blue_shulker_box: #23, 12(0%)
minecraft.picked_up.sunflower: #23, 16(0%)
minecraft.picked_up.podzol: #23, 16(0%)
minecraft.used.oak_sapling: #23, 23(0%)
minecraft.used.obsidian: #23, 27(0%)
minecraft.picked_up.bamboo: #23, 163(0%)
minecraft.crafted.cobbled_deepslate_slab: #23, 6(0%)
minecraft.picked_up.gray_wool: #23, 5(0%)
minecraft.mined.acacia_log: #23, 10(0%)
minecraft.used.bone_block: #23, 12(0%)
minecraft.picked_up.peony: #23, 2(0%)
minecraft.crafted.diamond_helmet: #24, 1(1%)
minecraft.mined.grass: #24, 365(0%)
minecraft.picked_up.spruce_slab: #24, 44(0%)
minecraft.used.coarse_dirt: #24, 157(0%)
minecraft.used.spruce_door: #24, 2(0%)
minecraft.mined.birch_log: #24, 288(0%)
minecraft.mined.dark_oak_trapdoor: #24, 6(0%)
minecraft.picked_up.ender_chest: #24, 37(0%)
minecraft.used.ender_chest: #24, 38(0%)
minecraft.used.spruce_sapling: #24, 44(0%)
minecraft.mined.spruce_trapdoor: #24, 12(0%)
minecraft.mined.sand: #24, 2585(0%)
minecraft.picked_up.ghast_tear: #24, 1(0%)
minecraft.picked_up.sand: #24, 2585(0%)
minecraft.picked_up.iron_chestplate: #24, 1(0%)
minecraft.picked_up.blaze_rod: #24, 6(0%)
minecraft.mined.campfire: #24, 1(0%)
minecraft.mined.light_blue_shulker_box: #24, 12(0%)
minecraft.picked_up.light_blue_shulker_box: #24, 12(0%)
minecraft.picked_up.magma_cream: #24, 4(0%)
minecraft.picked_up.shulker_shell: #24, 14(0%)
minecraft.picked_up.powered_rail: #24, 9(0%)
minecraft.picked_up.deepslate_iron_ore: #24, 3(0%)
minecraft.dropped.iron_nugget: #24, 27(0%)
minecraft.used.glowstone: #24, 6(0%)
minecraft.mined.warped_fungus: #24, 1(0%)
minecraft.mined.podzol: #24, 16(0%)
minecraft.crafted.dark_oak_fence: #24, 6(0%)
minecraft.crafted.sticky_piston: #24, 6(0%)
minecraft.used.minecart: #24, 1(0%)
minecraft.picked_up.dripstone_block: #24, 6(0%)
minecraft.mined.powered_rail: #24, 3(0%)
minecraft.picked_up.acacia_log: #24, 10(0%)
minecraft.picked_up.spruce_leaves: #24, 18(0%)
minecraft.used.dark_oak_fence: #24, 3(0%)
minecraft.mined.dripstone_block: #24, 3(0%)
minecraft.crafted.yellow_dye: #24, 8(0%)
minecraft.used.oak_leaves: #24, 11(0%)
minecraft.used.deepslate_redstone_ore: #24, 1(0%)
minecraft.picked_up.redstone: #25, 1768(1%)
minecraft.mined.deepslate_redstone_ore: #25, 306(1%)
minecraft.custom.climb_one_cm: #25, 301319(0%)
minecraft.picked_up.furnace: #25, 16(0%)
minecraft.picked_up.item_frame: #25, 30(0%)
minecraft.picked_up.quartz: #25, 489(0%)
minecraft.picked_up.spruce_log: #25, 941(0%)
minecraft.custom.drop: #25, 1059(0%)
minecraft.used.iron_shovel: #25, 346(0%)
minecraft.mined.torch: #25, 76(0%)
minecraft.used.birch_boat: #25, 1(0%)
minecraft.picked_up.apple: #25, 25(0%)
minecraft.used.item_frame: #25, 33(0%)
minecraft.picked_up.chest: #25, 60(0%)
minecraft.used.oak_slab: #25, 29(0%)
minecraft.crafted.spruce_trapdoor: #25, 60(0%)
minecraft.used.spruce_trapdoor: #25, 62(0%)
minecraft.picked_up.dark_oak_stairs: #25, 10(0%)
minecraft.mined.lever: #25, 3(0%)
minecraft.mined.dark_oak_log: #25, 292(0%)
minecraft.used.spruce_sign: #25, 4(0%)
minecraft.picked_up.kelp: #25, 189(0%)
minecraft.mined.spruce_fence: #25, 6(0%)
minecraft.crafted.birch_planks: #25, 416(0%)
minecraft.mined.spruce_planks: #25, 33(0%)
minecraft.killed.cow: #25, 9(0%)
minecraft.picked_up.iron_boots: #25, 1(0%)
minecraft.killed.ghast: #25, 2(0%)
