stat, rank, value, (percentage) 
minecraft.picked_up.spruce_door: #9, 22(5%)
minecraft.mined.polished_basalt: #8, 59(2%)
minecraft.crafted.red_nether_bricks: #8, 64(3%)
minecraft.mined.cobbled_deepslate_slab: #8, 111(1%)
minecraft.crafted.leather_leggings: #8, 13(2%)
minecraft.crafted.light_gray_banner: #8, 8(3%)
minecraft.used.oxidized_cut_copper_stairs: #8, 83(2%)
minecraft.used.polished_blackstone_slab: #8, 245(2%)
minecraft.crafted.mangrove_wood: #8, 144(2%)
minecraft.mined.stripped_jungle_log: #8, 64(1%)
minecraft.used.deepslate_brick_wall: #8, 113(1%)
minecraft.used.cobbled_deepslate_wall: #8, 47(1%)
minecraft.crafted.jungle_wood: #8, 48(2%)
minecraft.picked_up.polished_blackstone_stairs: #8, 38(1%)
minecraft.used.gray_dye: #8, 1(3%)
minecraft.crafted.leather_chestplate: #8, 12(1%)
minecraft.picked_up.muddy_mangrove_roots: #8, 97(1%)
minecraft.picked_up.stripped_birch_log: #8, 64(1%)
minecraft.crafted.chain: #9, 522(4%)
minecraft.picked_up.glow_berries: #9, 269(4%)
minecraft.crafted.leather_boots: #8, 12(1%)
minecraft.picked_up.cracked_deepslate_bricks: #8, 37(1%)
