stat, rank, value, (percentage) 
minecraft.crafted.dropper: #23, 6(0%)
minecraft.dropped.iron_block: #23, 6(0%)
minecraft.mined.white_wool: #23, 4(0%)
minecraft.picked_up.clay_ball: #23, 96(0%)
minecraft.mined.piston: #23, 4(0%)
minecraft.mined.redstone_block: #23, 7(0%)
minecraft.dropped.deepslate: #23, 33(0%)
minecraft.picked_up.glass_bottle: #23, 7(0%)
minecraft.used.iron_trapdoor: #23, 2(0%)
minecraft.picked_up.book: #23, 18(0%)
minecraft.crafted.iron_trapdoor: #23, 2(0%)
minecraft.used.terracotta: #23, 6(0%)
minecraft.picked_up.crimson_nylium: #23, 5(0%)
minecraft.mined.nether_wart: #23, 1(0%)
minecraft.mined.warped_stem: #23, 3(0%)
minecraft.mined.ice: #23, 21(0%)
minecraft.used.nether_wart: #23, 1(0%)
minecraft.picked_up.cornflower: #23, 5(0%)
minecraft.crafted.purple_dye: #23, 2(0%)
minecraft.crafted.green_dye: #23, 1(0%)
minecraft.crafted.glowstone: #23, 1(0%)
minecraft.crafted.deepslate_bricks: #23, 1(0%)
minecraft.custom.jump: #24, 100582(1%)
minecraft.crafted.stick: #24, 4742(1%)
minecraft.mined.coal_ore: #24, 1486(1%)
minecraft.custom.interact_with_lectern: #24, 73(1%)
minecraft.picked_up.iron_block: #24, 427(1%)
minecraft.mined.dirt: #24, 5779(1%)
minecraft.dropped.diamond_helmet: #24, 1(1%)
minecraft.crafted.furnace: #24, 24(1%)
minecraft.picked_up.leather_helmet: #24, 2(1%)
minecraft.used.item_frame: #24, 69(1%)
minecraft.picked_up.cyan_shulker_box: #24, 42(1%)
minecraft.mined.chest: #24, 94(0%)
minecraft.used.cyan_shulker_box: #24, 49(1%)
minecraft.mined.cyan_shulker_box: #24, 41(1%)
minecraft.picked_up.chest: #24, 118(0%)
minecraft.custom.interact_with_grindstone: #24, 7(0%)
minecraft.mined.deepslate_iron_ore: #24, 87(0%)
minecraft.picked_up.grass_block: #24, 2401(0%)
minecraft.picked_up.beacon: #24, 3(0%)
minecraft.used.water_bucket: #24, 251(0%)
minecraft.custom.interact_with_beacon: #24, 4(0%)
minecraft.used.beacon: #24, 3(0%)
minecraft.used.spruce_log: #24, 134(0%)
minecraft.picked_up.obsidian: #24, 142(0%)
minecraft.crafted.spruce_trapdoor: #24, 64(0%)
minecraft.used.spruce_trapdoor: #24, 68(0%)
minecraft.picked_up.dark_oak_stairs: #24, 11(0%)
minecraft.mined.yellow_shulker_box: #24, 13(0%)
minecraft.mined.hopper: #24, 24(0%)
minecraft.used.lever: #24, 14(0%)
minecraft.picked_up.lever: #24, 9(0%)
minecraft.dropped.golden_chestplate: #24, 1(0%)
minecraft.crafted.shulker_box: #24, 28(0%)
minecraft.dropped.oak_sapling: #24, 6(0%)
minecraft.picked_up.hopper: #24, 21(0%)
minecraft.picked_up.stone_bricks: #24, 83(0%)
minecraft.picked_up.calcite: #24, 78(0%)
minecraft.mined.polished_andesite_stairs: #24, 3(0%)
minecraft.dropped.andesite: #24, 32(0%)
minecraft.picked_up.sea_pickle: #24, 13(0%)
minecraft.picked_up.stone_slab: #24, 25(0%)
minecraft.crafted.polished_andesite: #24, 68(0%)
minecraft.picked_up.oak_leaves: #24, 116(0%)
minecraft.picked_up.redstone_lamp: #24, 2(0%)
minecraft.dropped.spruce_planks: #24, 4(0%)
minecraft.used.sticky_piston: #24, 16(0%)
minecraft.picked_up.armor_stand: #24, 2(0%)
minecraft.custom.interact_with_brewingstand: #24, 10(0%)
minecraft.picked_up.blackstone: #24, 138(0%)
minecraft.used.comparator: #24, 10(0%)
minecraft.used.rose_bush: #24, 1(0%)
minecraft.picked_up.flower_pot: #24, 2(0%)
minecraft.killed.salmon: #24, 1(0%)
minecraft.mined.rooted_dirt: #24, 10(0%)
minecraft.mined.amethyst_block: #24, 12(0%)
minecraft.mined.cobweb: #24, 3(0%)
minecraft.picked_up.cobblestone_slab: #24, 6(0%)
minecraft.picked_up.red_wool: #24, 5(0%)
minecraft.mined.bone_block: #24, 3(0%)
minecraft.picked_up.amethyst_block: #24, 10(0%)
minecraft.used.smooth_stone_slab: #24, 9(0%)
minecraft.crafted.smithing_table: #24, 1(0%)
minecraft.dropped.arrow: #24, 40(0%)
minecraft.dropped.oak_leaves: #24, 1(0%)
minecraft.mined.dead_bush: #24, 1(0%)
minecraft.mined.clay: #24, 22(0%)
minecraft.dropped.string: #24, 13(0%)
minecraft.picked_up.rooted_dirt: #24, 3(0%)
minecraft.picked_up.oxeye_daisy: #24, 2(0%)
minecraft.picked_up.spider_eye: #24, 10(0%)
minecraft.used.spyglass: #24, 1(0%)
minecraft.picked_up.acacia_sapling: #24, 1(0%)
minecraft.mined.slime_block: #24, 1(0%)
minecraft.picked_up.nether_wart: #24, 2(0%)
minecraft.custom.open_chest: #25, 8842(1%)
minecraft.custom.interact_with_furnace: #25, 497(1%)
minecraft.custom.interact_with_crafting_table: #25, 725(1%)
minecraft.custom.walk_one_cm: #25, 18205584(1%)
minecraft.picked_up.crafting_table: #25, 55(1%)
minecraft.mined.crafting_table: #25, 49(1%)
minecraft.used.chest: #25, 305(1%)
minecraft.crafted.diamond_pickaxe: #25, 3(1%)
minecraft.used.crafting_table: #25, 55(1%)
minecraft.picked_up.raw_gold: #25, 170(0%)
minecraft.mined.nether_quartz_ore: #25, 269(0%)
minecraft.crafted.spruce_planks: #25, 2080(0%)
minecraft.used.cobblestone: #25, 330(0%)
minecraft.crafted.chest: #25, 226(0%)
minecraft.picked_up.bow: #25, 16(0%)
minecraft.picked_up.spruce_planks: #25, 96(0%)
minecraft.mined.oak_leaves: #25, 365(0%)
minecraft.used.redstone: #25, 245(0%)
minecraft.picked_up.spruce_trapdoor: #25, 22(0%)
minecraft.used.repeater: #25, 54(0%)
minecraft.crafted.redstone_block: #25, 129(0%)
minecraft.custom.damage_resisted: #25, 373(0%)
minecraft.picked_up.end_rod: #25, 10(0%)
minecraft.used.oak_log: #25, 74(0%)
minecraft.dropped.cobblestone: #25, 156(0%)
minecraft.used.hopper: #25, 78(0%)
minecraft.dropped.diorite: #25, 53(0%)
minecraft.picked_up.leather_leggings: #25, 1(0%)
minecraft.used.coarse_dirt: #25, 87(0%)
minecraft.mined.azalea: #25, 7(0%)
minecraft.killed.skeleton: #25, 141(0%)
minecraft.picked_up.golden_boots: #25, 1(0%)
minecraft.mined.dropper: #25, 5(0%)
minecraft.picked_up.birch_planks: #25, 29(0%)
minecraft.picked_up.bone: #25, 104(0%)
minecraft.picked_up.dropper: #25, 6(0%)
minecraft.custom.inspect_dropper: #25, 36(0%)
minecraft.picked_up.andesite: #25, 302(0%)
minecraft.picked_up.leather_boots: #25, 2(0%)
minecraft.crafted.hopper: #25, 38(0%)
minecraft.picked_up.filled_map: #25, 78(0%)
minecraft.picked_up.sugar_cane: #25, 167(0%)
minecraft.picked_up.wooden_sword: #25, 1(0%)
minecraft.mined.andesite: #25, 233(0%)
minecraft.mined.blackstone: #25, 127(0%)
minecraft.killed.piglin: #25, 2(0%)
minecraft.picked_up.stone_button: #25, 4(0%)
minecraft.used.dropper: #25, 7(0%)
minecraft.picked_up.enchanted_book: #25, 1(0%)
minecraft.mined.cobblestone_wall: #25, 1(0%)
minecraft.dropped.iron_nugget: #25, 22(0%)
minecraft.dropped.granite: #25, 12(0%)
minecraft.picked_up.gunpowder: #25, 43(0%)
minecraft.dropped.birch_planks: #25, 1(0%)
minecraft.picked_up.sunflower: #25, 7(0%)
minecraft.picked_up.piston: #25, 3(0%)
minecraft.dropped.rotten_flesh: #25, 55(0%)
minecraft.killed.zombie: #25, 45(0%)
minecraft.mined.stone_brick_slab: #25, 1(0%)
minecraft.used.sand: #25, 80(0%)
minecraft.picked_up.warped_stem: #25, 6(0%)
minecraft.picked_up.acacia_log: #25, 5(0%)
minecraft.used.polished_andesite: #25, 5(0%)
minecraft.mined.lectern: #25, 1(0%)
minecraft.used.birch_leaves: #25, 3(0%)
minecraft.crafted.air: #25, 0(0%)
minecraft.mined.iron_ore: #26, 474(1%)
minecraft.custom.walk_on_water_one_cm: #26, 521091(0%)
minecraft.picked_up.coal: #26, 1316(1%)
minecraft.mined.wall_torch: #26, 69(1%)
minecraft.crafted.crafting_table: #26, 18(1%)
minecraft.killed_by.drowned: #26, 1(1%)
minecraft.picked_up.water_bucket: #26, 7(1%)
minecraft.picked_up.cobblestone: #26, 5635(0%)
minecraft.picked_up.quartz: #26, 272(0%)
minecraft.killed.spider: #26, 6(0%)
minecraft.picked_up.golden_chestplate: #26, 1(0%)
minecraft.picked_up.spruce_sign: #26, 3(0%)
minecraft.mined.redstone_wall_torch: #26, 3(0%)
minecraft.picked_up.oak_sapling: #26, 55(0%)
minecraft.mined.spruce_trapdoor: #26, 8(0%)
minecraft.mined.moss_carpet: #26, 13(0%)
minecraft.picked_up.rotten_flesh: #26, 83(0%)
minecraft.picked_up.moss_block: #26, 145(0%)
minecraft.dropped.cobbled_deepslate: #26, 48(0%)
minecraft.picked_up.raw_copper: #26, 273(0%)
minecraft.picked_up.cooked_porkchop: #26, 62(0%)
minecraft.used.redstone_torch: #26, 12(0%)
minecraft.mined.stone_slab: #26, 11(0%)
minecraft.picked_up.azure_bluet: #26, 4(0%)
minecraft.picked_up.crimson_planks: #26, 3(0%)
minecraft.crafted.crimson_planks: #26, 64(0%)
minecraft.picked_up.big_dripleaf: #26, 2(0%)
minecraft.picked_up.string: #26, 31(0%)
minecraft.picked_up.egg: #26, 8(0%)
minecraft.used.piston: #26, 4(0%)
minecraft.picked_up.podzol: #26, 4(0%)
minecraft.picked_up.polished_andesite: #26, 2(0%)
minecraft.picked_up.polished_deepslate_slab: #26, 1(0%)
minecraft.mined.stone_bricks: #26, 6(0%)
minecraft.killed.creeper: #26, 8(0%)
minecraft.used.soul_sand: #26, 3(0%)
minecraft.picked_up.lilac: #26, 1(0%)
minecraft.crafted.acacia_planks: #26, 4(0%)
minecraft.picked_up.slime_block: #26, 1(0%)
minecraft.picked_up.kelp: #26, 4(0%)
minecraft.dropped.spider_eye: #26, 4(0%)
minecraft.used.spruce_leaves: #26, 1(0%)
minecraft.used.packed_ice: #26, 1(0%)
minecraft.picked_up.raw_iron: #27, 467(0%)
minecraft.killed.zombie_villager: #27, 1(0%)
minecraft.mined.spruce_log: #27, 628(0%)
minecraft.picked_up.spruce_log: #27, 654(0%)
minecraft.picked_up.oak_sign: #27, 6(0%)
minecraft.mined.rose_bush: #27, 1(0%)
minecraft.picked_up.arrow: #27, 112(0%)
minecraft.custom.play_record: #27, 2(0%)
minecraft.picked_up.birch_sign: #27, 5(0%)
minecraft.custom.interact_with_smithing_table: #27, 2(0%)
minecraft.picked_up.oak_planks: #27, 22(0%)
minecraft.crafted.spruce_sign: #27, 3(0%)
minecraft.mined.diorite: #27, 243(0%)
minecraft.mined.cave_vines_plant: #27, 2(0%)
minecraft.picked_up.redstone_torch: #27, 8(0%)
minecraft.picked_up.moss_carpet: #27, 26(0%)
minecraft.dropped.oak_log: #27, 8(0%)
minecraft.used.cobblestone_slab: #27, 6(0%)
minecraft.mined.spruce_stairs: #27, 1(0%)
minecraft.crafted.minecart: #27, 1(0%)
minecraft.crafted.piston: #27, 4(0%)
minecraft.picked_up.lectern: #27, 1(0%)
minecraft.picked_up.copper_ore: #27, 3(0%)
minecraft.used.egg: #27, 3(0%)
minecraft.crafted.coarse_dirt: #27, 4(0%)
minecraft.used.obsidian: #27, 1(0%)
minecraft.used.spruce_boat: #28, 2(0%)
minecraft.used.bow: #28, 93(0%)
minecraft.picked_up.lead: #28, 4(0%)
minecraft.mined.azure_bluet: #28, 1(0%)
minecraft.picked_up.diorite: #28, 170(0%)
minecraft.mined.copper_ore: #28, 43(0%)
minecraft.mined.ladder: #28, 1(0%)
minecraft.mined.cyan_terracotta: #28, 3(0%)
minecraft.picked_up.spruce_stairs: #28, 1(0%)
minecraft.mined.moss_block: #28, 21(0%)
minecraft.picked_up.ladder: #28, 1(0%)
minecraft.picked_up.cyan_terracotta: #28, 3(0%)
minecraft.mined.podzol: #28, 4(0%)
minecraft.picked_up.granite: #28, 19(0%)
minecraft.mined.granite: #28, 19(0%)
minecraft.picked_up.ice: #28, 3(0%)
minecraft.picked_up.shield: #29, 1(0%)
minecraft.crafted.birch_planks: #29, 232(0%)
minecraft.used.snowball: #29, 5(0%)
minecraft.used.diorite: #29, 2(0%)
minecraft.used.birch_planks: #29, 6(0%)
minecraft.crafted.oak_planks: #30, 204(0%)
minecraft.crafted.birch_sign: #30, 3(0%)
minecraft.crafted.ladder: #30, 6(0%)
minecraft.used.iron_pickaxe: #30, 10(0%)
minecraft.mined.oak_planks: #30, 1(0%)
minecraft.custom.fly_one_cm: #31, 28755404(1%)
minecraft.used.ladder: #31, 5(0%)
minecraft.used.granite: #31, 3(0%)
minecraft.custom.walk_under_water_one_cm: #32, 395280(0%)
minecraft.custom.play_time: #33, 16219964(1%)
minecraft.custom.total_world_time: #33, 16219964(1%)
minecraft.used.spruce_sign: #33, 1(0%)
minecraft.used.birch_sign: #33, 1(0%)
minecraft.used.cooked_porkchop: #35, 3(0%)
minecraft.picked_up.iron_nugget: #35, 1(0%)
minecraft.custom.boat_one_cm: #37, 9853(0%)
minecraft.custom.time_since_death: #50, 55172(0%)
minecraft.custom.time_since_rest: #66, 835(0%)
