stat, rank, value, (percentage) 
minecraft.picked_up.diamond_chestplate: #20, 1(0%)
minecraft.dropped.item_frame: #20, 1(0%)
minecraft.used.spruce_leaves: #20, 71(0%)
minecraft.picked_up.warped_planks: #20, 10(0%)
minecraft.picked_up.spectral_arrow: #20, 14(0%)
minecraft.used.yellow_terracotta: #20, 4(0%)
minecraft.picked_up.lime_concrete: #20, 2(0%)
minecraft.mined.stripped_warped_stem: #20, 2(0%)
minecraft.picked_up.spruce_planks: #21, 268(1%)
minecraft.picked_up.water_bucket: #21, 9(1%)
minecraft.picked_up.oak_sign: #21, 15(1%)
minecraft.custom.damage_absorbed: #21, 160(1%)
minecraft.picked_up.iron_helmet: #21, 1(1%)
minecraft.dropped.diamond_boots: #21, 1(1%)
minecraft.used.oak_sign: #21, 16(0%)
minecraft.crafted.mangrove_planks: #21, 116(0%)
minecraft.picked_up.birch_boat: #21, 1(0%)
minecraft.dropped.dark_oak_planks: #21, 11(0%)
minecraft.crafted.spruce_boat: #21, 1(0%)
minecraft.mined.comparator: #21, 4(0%)
minecraft.dropped.bucket: #21, 1(0%)
minecraft.used.lime_terracotta: #21, 33(0%)
minecraft.dropped.cooked_porkchop: #21, 19(0%)
minecraft.dropped.spruce_sapling: #21, 1(0%)
minecraft.dropped.carrot: #21, 7(0%)
minecraft.mined.quartz_block: #21, 2(0%)
minecraft.used.light_gray_terracotta: #21, 1(0%)
minecraft.dropped.spectral_arrow: #21, 1(0%)
minecraft.used.mud: #21, 2(0%)
minecraft.picked_up.diamond_shovel: #22, 9(1%)
minecraft.picked_up.spruce_stairs: #22, 44(1%)
minecraft.crafted.diamond_shovel: #22, 2(1%)
minecraft.dropped.written_book: #22, 1(1%)
minecraft.mined.birch_sign: #22, 2(1%)
minecraft.used.birch_boat: #22, 1(0%)
minecraft.mined.note_block: #22, 4(0%)
minecraft.dropped.spruce_sign: #22, 1(0%)
minecraft.picked_up.dispenser: #22, 9(0%)
minecraft.dropped.water_bucket: #22, 1(0%)
minecraft.mined.sweet_berry_bush: #22, 1(0%)
minecraft.picked_up.flowering_azalea_leaves: #22, 60(0%)
minecraft.dropped.shulker_box: #22, 2(0%)
minecraft.used.dark_oak_trapdoor: #22, 29(0%)
minecraft.picked_up.crossbow: #22, 2(0%)
minecraft.dropped.glass_bottle: #22, 7(0%)
minecraft.used.pumpkin_pie: #22, 21(0%)
minecraft.used.red_concrete: #22, 19(0%)
minecraft.killed.glow_squid: #22, 1(0%)
minecraft.mined.pink_shulker_box: #22, 1(0%)
minecraft.mined.yellow_terracotta: #22, 5(0%)
minecraft.used.warped_planks: #22, 6(0%)
minecraft.mined.warped_roots: #22, 1(0%)
minecraft.used.lantern: #23, 52(1%)
minecraft.picked_up.pumpkin_pie: #23, 81(1%)
minecraft.picked_up.lead: #23, 20(1%)
minecraft.mined.player_head: #23, 6(0%)
minecraft.picked_up.birch_sign: #23, 18(0%)
minecraft.picked_up.spruce_trapdoor: #23, 31(0%)
minecraft.killed.zombie_villager: #23, 1(0%)
minecraft.mined.carrots: #23, 40(0%)
minecraft.used.oak_boat: #23, 3(0%)
minecraft.mined.oak_wall_sign: #23, 2(0%)
minecraft.picked_up.snow: #23, 83(0%)
minecraft.picked_up.chain: #23, 7(0%)
minecraft.picked_up.iron_chestplate: #23, 1(0%)
minecraft.used.splash_potion: #23, 1(0%)
minecraft.mined.crimson_planks: #23, 2(0%)
minecraft.picked_up.cookie: #23, 1(0%)
minecraft.picked_up.prismarine_bricks: #23, 5(0%)
minecraft.used.snow_block: #23, 67(0%)
minecraft.picked_up.pink_shulker_box: #23, 1(0%)
minecraft.mined.red_concrete: #23, 13(0%)
minecraft.picked_up.yellow_terracotta: #23, 5(0%)
minecraft.crafted.snow_block: #23, 24(0%)
minecraft.mined.mud: #23, 19(0%)
minecraft.mined.fern: #23, 2(0%)
minecraft.crafted.dispenser: #23, 1(0%)
minecraft.picked_up.quartz_block: #23, 4(0%)
minecraft.used.mangrove_log: #23, 1(0%)
minecraft.used.quartz_block: #23, 2(0%)
minecraft.picked_up.warped_roots: #23, 1(0%)
minecraft.custom.deaths: #24, 52(1%)
minecraft.picked_up.diamond_pickaxe: #24, 16(1%)
minecraft.dropped.diamond_sword: #24, 2(1%)
minecraft.dropped.diamond_pickaxe: #24, 3(1%)
minecraft.used.player_head: #24, 21(1%)
minecraft.crafted.diamond_axe: #24, 1(1%)
minecraft.crafted.dark_oak_planks: #24, 1640(0%)
minecraft.picked_up.written_book: #24, 3(0%)
minecraft.crafted.oak_sign: #24, 9(0%)
minecraft.mined.dispenser: #24, 4(0%)
minecraft.used.golden_carrot: #24, 66(0%)
minecraft.picked_up.flint_and_steel: #24, 2(0%)
minecraft.picked_up.spore_blossom: #24, 1(0%)
minecraft.picked_up.rotten_flesh: #24, 100(0%)
minecraft.crafted.spruce_sign: #24, 3(0%)
minecraft.picked_up.splash_potion: #24, 1(0%)
minecraft.picked_up.redstone_torch: #24, 9(0%)
minecraft.picked_up.red_mushroom: #24, 8(0%)
minecraft.used.stripped_crimson_stem: #24, 1(0%)
minecraft.mined.red_mushroom_block: #24, 38(0%)
minecraft.picked_up.snowball: #24, 187(0%)
minecraft.picked_up.stripped_crimson_stem: #24, 1(0%)
minecraft.mined.stripped_crimson_stem: #24, 1(0%)
minecraft.crafted.comparator: #24, 2(0%)
minecraft.used.terracotta: #24, 4(0%)
minecraft.used.crimson_planks: #24, 1(0%)
minecraft.picked_up.copper_ingot: #24, 3(0%)
minecraft.killed.pillager: #24, 2(0%)
minecraft.picked_up.diamond_boots: #25, 7(1%)
minecraft.custom.player_kills: #25, 6(1%)
minecraft.dropped.diamond_leggings: #25, 1(0%)
minecraft.custom.horse_one_cm: #25, 249337(0%)
minecraft.used.snowball: #25, 16(0%)
minecraft.picked_up.dark_oak_log: #25, 405(0%)
minecraft.killed.pig: #25, 1(0%)
minecraft.picked_up.iron_leggings: #25, 1(0%)
minecraft.mined.oak_trapdoor: #25, 2(0%)
minecraft.picked_up.lever: #25, 6(0%)
minecraft.custom.inspect_dispenser: #25, 30(0%)
minecraft.used.note_block: #25, 5(0%)
minecraft.used.dispenser: #25, 6(0%)
minecraft.picked_up.crimson_planks: #25, 3(0%)
minecraft.mined.snow_block: #25, 50(0%)
minecraft.used.potato: #25, 3(0%)
minecraft.crafted.stone: #25, 3(0%)
minecraft.custom.interact_with_brewingstand: #25, 1(0%)
minecraft.dropped.arrow: #25, 7(0%)
minecraft.picked_up.diamond_helmet: #26, 2(0%)
minecraft.custom.damage_taken: #26, 34442(0%)
minecraft.used.iron_shovel: #26, 315(0%)
minecraft.picked_up.leather_helmet: #26, 1(0%)
minecraft.picked_up.porkchop: #26, 7(0%)
minecraft.used.spruce_boat: #26, 2(0%)
minecraft.picked_up.item_frame: #26, 11(0%)
minecraft.picked_up.player_head: #26, 41(0%)
minecraft.picked_up.moss_carpet: #26, 70(0%)
minecraft.picked_up.calcite: #26, 64(0%)
minecraft.custom.play_noteblock: #26, 7(0%)
minecraft.picked_up.hopper: #26, 14(0%)
minecraft.picked_up.beef: #26, 15(0%)
minecraft.mined.dropper: #26, 3(0%)
minecraft.picked_up.shears: #26, 1(0%)
minecraft.picked_up.oak_boat: #26, 1(0%)
minecraft.picked_up.dropper: #26, 3(0%)
minecraft.mined.hopper: #26, 6(0%)
minecraft.picked_up.bucket: #26, 1(0%)
minecraft.crafted.diamond: #26, 18(0%)
minecraft.used.dropper: #26, 5(0%)
minecraft.used.comparator: #26, 6(0%)
minecraft.picked_up.terracotta: #26, 100(0%)
minecraft.picked_up.yellow_shulker_box: #26, 2(0%)
minecraft.mined.yellow_shulker_box: #26, 2(0%)
minecraft.crafted.lever: #26, 2(0%)
minecraft.used.yellow_shulker_box: #26, 2(0%)
minecraft.crafted.dropper: #26, 2(0%)
minecraft.mined.spruce_slab: #26, 1(0%)
minecraft.dropped.spruce_log: #26, 1(0%)
minecraft.picked_up.cobbled_deepslate_slab: #26, 1(0%)
minecraft.dropped.gunpowder: #26, 3(0%)
minecraft.picked_up.light_gray_terracotta: #26, 1(0%)
minecraft.picked_up.mud: #26, 1(0%)
minecraft.crafted.diamond_pickaxe: #27, 2(1%)
minecraft.killed.player: #27, 6(0%)
minecraft.picked_up.iron_ingot: #27, 85(0%)
minecraft.used.sweet_berries: #27, 24(0%)
minecraft.used.lever: #27, 8(0%)
minecraft.killed.spider: #27, 3(0%)
minecraft.dropped.iron_ingot: #27, 18(0%)
minecraft.picked_up.apple: #27, 6(0%)
minecraft.dropped.firework_rocket: #27, 211(0%)
minecraft.mined.lever: #27, 1(0%)
minecraft.picked_up.potion: #27, 2(0%)
minecraft.picked_up.diamond_block: #27, 2(0%)
minecraft.picked_up.stone_button: #27, 2(0%)
minecraft.mined.glass: #27, 7(0%)
minecraft.used.hopper: #27, 10(0%)
minecraft.used.flint_and_steel: #27, 4(0%)
minecraft.crafted.hopper: #27, 4(0%)
minecraft.picked_up.clay_ball: #27, 21(0%)
minecraft.used.stone_button: #27, 2(0%)
minecraft.picked_up.potato: #27, 3(0%)
minecraft.picked_up.sunflower: #27, 2(0%)
minecraft.dropped.rotten_flesh: #27, 18(0%)
minecraft.mined.coarse_dirt: #27, 1(0%)
minecraft.picked_up.coarse_dirt: #27, 1(0%)
minecraft.picked_up.dark_oak_sapling: #27, 1(0%)
minecraft.used.sand: #27, 3(0%)
minecraft.custom.aviate_one_cm: #28, 44365877(0%)
minecraft.used.carved_pumpkin: #28, 2(0%)
minecraft.crafted.iron_pickaxe: #28, 1(0%)
minecraft.custom.sneak_time: #28, 140365(0%)
minecraft.custom.open_barrel: #28, 233(0%)
minecraft.used.firework_rocket: #28, 1160(0%)
minecraft.picked_up.quartz: #28, 184(0%)
minecraft.custom.swim_one_cm: #28, 147437(0%)
minecraft.mined.spruce_trapdoor: #28, 6(0%)
minecraft.picked_up.dirt: #28, 863(0%)
minecraft.custom.interact_with_smithing_table: #28, 1(0%)
minecraft.picked_up.iron_ore: #28, 17(0%)
minecraft.custom.inspect_dropper: #28, 13(0%)
minecraft.picked_up.white_bed: #28, 1(0%)
minecraft.mined.birch_leaves: #28, 32(0%)
minecraft.mined.redstone_wire: #28, 6(0%)
minecraft.used.birch_sign: #28, 2(0%)
minecraft.crafted.redstone: #28, 135(0%)
minecraft.picked_up.green_shulker_box: #28, 1(0%)
minecraft.used.redstone_torch: #28, 4(0%)
minecraft.used.oak_trapdoor: #28, 2(0%)
minecraft.used.spruce_planks: #28, 14(0%)
minecraft.used.glass: #28, 12(0%)
minecraft.killed.zombie: #28, 22(0%)
minecraft.crafted.redstone_torch: #28, 8(0%)
minecraft.picked_up.gunpowder: #28, 10(0%)
minecraft.picked_up.spruce_slab: #28, 1(0%)
minecraft.mined.terracotta: #28, 4(0%)
minecraft.dropped.emerald: #28, 1(0%)
minecraft.picked_up.golden_carrot: #29, 167(0%)
minecraft.picked_up.crafting_table: #29, 21(0%)
minecraft.custom.jump: #29, 17086(0%)
minecraft.custom.walk_one_cm: #29, 4446860(0%)
minecraft.picked_up.carved_pumpkin: #29, 34(0%)
minecraft.used.iron_pickaxe: #29, 141(0%)
minecraft.picked_up.spruce_log: #29, 367(0%)
minecraft.custom.target_hit: #29, 3(0%)
minecraft.used.dirt: #29, 589(0%)
minecraft.dropped.golden_carrot: #29, 9(0%)
minecraft.picked_up.stick: #29, 96(0%)
minecraft.crafted.dark_oak_trapdoor: #29, 12(0%)
minecraft.custom.damage_resisted: #29, 89(0%)
minecraft.used.stone_pickaxe: #29, 8(0%)
minecraft.picked_up.barrel: #29, 2(0%)
minecraft.mined.dirt: #29, 337(0%)
minecraft.picked_up.snow_block: #29, 42(0%)
minecraft.mined.dirt_path: #29, 2(0%)
minecraft.dropped.bow: #29, 1(0%)
minecraft.mined.azalea: #29, 1(0%)
minecraft.picked_up.birch_sapling: #29, 6(0%)
minecraft.used.glow_berries: #29, 1(0%)
minecraft.picked_up.spruce_sapling: #29, 5(0%)
minecraft.used.item_frame: #29, 2(0%)
minecraft.mined.spruce_planks: #29, 4(0%)
minecraft.used.redstone: #29, 13(0%)
minecraft.used.shulker_box: #29, 8(0%)
minecraft.custom.inspect_hopper: #29, 5(0%)
minecraft.used.bucket: #29, 10(0%)
minecraft.picked_up.paper: #29, 4(0%)
minecraft.mined.snow: #29, 25(0%)
minecraft.dropped.bone: #29, 1(0%)
minecraft.custom.talked_to_villager: #29, 2(0%)
minecraft.used.spruce_slab: #29, 1(0%)
minecraft.picked_up.sand: #29, 24(0%)
minecraft.custom.fall_one_cm: #30, 421702(0%)
minecraft.crafted.crafting_table: #30, 6(0%)
minecraft.custom.sprint_one_cm: #30, 3789759(0%)
minecraft.picked_up.redstone: #30, 361(0%)
minecraft.custom.interact_with_crafting_table: #30, 94(0%)
minecraft.custom.drop: #30, 260(0%)
minecraft.used.diamond_axe: #30, 859(0%)
minecraft.custom.sleep_in_bed: #30, 22(0%)
minecraft.custom.crouch_one_cm: #30, 340440(0%)
minecraft.mined.grass_block: #30, 569(0%)
minecraft.custom.open_shulker_box: #30, 448(0%)
minecraft.custom.open_enderchest: #30, 37(0%)
minecraft.dropped.player_head: #30, 5(0%)
minecraft.picked_up.sweet_berries: #30, 13(0%)
minecraft.picked_up.arrow: #30, 30(0%)
minecraft.used.bow: #30, 21(0%)
minecraft.used.potion: #30, 2(0%)
minecraft.used.barrel: #30, 2(0%)
minecraft.picked_up.shulker_box: #30, 10(0%)
minecraft.picked_up.bone: #30, 10(0%)
minecraft.used.stone: #30, 99(0%)
minecraft.picked_up.ender_chest: #30, 2(0%)
minecraft.mined.shulker_box: #30, 7(0%)
minecraft.picked_up.grass_block: #30, 65(0%)
minecraft.killed.skeleton: #30, 4(0%)
minecraft.mined.podzol: #30, 1(0%)
minecraft.killed.creeper: #30, 2(0%)
minecraft.picked_up.netherrack: #30, 6(0%)
minecraft.mined.sand: #30, 6(0%)
minecraft.dropped.carved_pumpkin: #31, 4(0%)
minecraft.picked_up.diamond_sword: #31, 2(0%)
minecraft.picked_up.torch: #31, 113(0%)
minecraft.custom.climb_one_cm: #31, 63499(0%)
minecraft.used.crafting_table: #31, 7(0%)
minecraft.picked_up.bow: #31, 3(0%)
minecraft.mined.cobblestone: #31, 21(0%)
minecraft.crafted.spruce_trapdoor: #31, 8(0%)
minecraft.crafted.spruce_planks: #31, 156(0%)
minecraft.used.spruce_trapdoor: #31, 7(0%)
minecraft.used.writable_book: #31, 1(0%)
minecraft.mined.light_blue_shulker_box: #31, 2(0%)
minecraft.used.light_blue_shulker_box: #31, 2(0%)
minecraft.picked_up.light_blue_shulker_box: #31, 2(0%)
minecraft.used.diamond_shovel: #31, 413(0%)
