stat, rank, value, (percentage) 
minecraft.used.light_gray_carpet: #2, 2052(12%)
minecraft.crafted.packed_ice: #2, 4049(23%)
minecraft.mined.brown_stained_glass_pane: #1, 6(60%)
minecraft.dropped.mud_brick_wall: #1, 35(90%)
minecraft.used.dark_oak_trapdoor: #3, 2406(13%)
minecraft.crafted.green_stained_glass: #2, 2472(19%)
minecraft.crafted.acacia_boat: #2, 19(25%)
minecraft.picked_up.yellow_stained_glass: #2, 811(17%)
minecraft.dropped.magenta_wool: #2, 1118(46%)
minecraft.crafted.yellow_stained_glass_pane: #2, 464(20%)
minecraft.used.stone_brick_slab: #2, 2409(11%)
minecraft.used.lilac: #3, 119(16%)
minecraft.used.blue_banner: #1, 18(58%)
minecraft.mined.blue_wall_banner: #1, 6(86%)
minecraft.dropped.candle: #1, 54(43%)
minecraft.dropped.granite_wall: #1, 40(56%)
minecraft.dropped.deepslate_brick_slab: #2, 205(22%)
minecraft.picked_up.polished_diorite_stairs: #2, 90(24%)
minecraft.picked_up.golden_hoe: #1, 4(33%)
minecraft.used.lime_stained_glass: #2, 2155(15%)
minecraft.picked_up.cyan_stained_glass_pane: #2, 78(22%)
minecraft.used.cyan_concrete: #2, 1993(13%)
minecraft.used.packed_ice: #3, 17265(14%)
minecraft.mined.cyan_concrete: #2, 2221(13%)
minecraft.picked_up.dark_oak_log: #3, 25447(11%)
minecraft.picked_up.gunpowder: #2, 9667(7%)
minecraft.picked_up.spruce_slab: #2, 1210(9%)
minecraft.crafted.stone_brick_stairs: #2, 812(13%)
minecraft.dropped.cherry_door: #1, 4(40%)
minecraft.dropped.yellow_candle: #1, 4(80%)
minecraft.used.diamond_helmet: #2, 18(15%)
minecraft.picked_up.cyan_banner: #2, 27(29%)
minecraft.picked_up.purple_stained_glass_pane: #2, 84(20%)
minecraft.used.green_stained_glass: #2, 1324(18%)
minecraft.picked_up.azure_bluet: #3, 834(13%)
minecraft.crafted.white_stained_glass: #3, 8592(15%)
minecraft.dropped.painting: #1, 12(38%)
minecraft.picked_up.polished_granite_slab: #3, 424(17%)
minecraft.dropped.heavy_weighted_pressure_plate: #2, 45(25%)
minecraft.mined.dark_oak_log: #3, 20133(11%)
minecraft.mined.nether_sprouts: #3, 653(17%)
minecraft.custom.open_chest: #3, 61308(7%)
minecraft.crafted.blue_stained_glass: #3, 1280(20%)
minecraft.dropped.jungle_trapdoor: #2, 145(31%)
minecraft.picked_up.purple_concrete: #3, 1514(20%)
minecraft.crafted.mossy_cobblestone_slab: #2, 246(13%)
minecraft.used.stripped_jungle_log: #2, 584(22%)
minecraft.dropped.brown_stained_glass_pane: #1, 79(69%)
minecraft.used.brown_concrete_powder: #3, 617(15%)
minecraft.picked_up.black_concrete: #3, 7158(13%)
minecraft.picked_up.bricks: #2, 1118(10%)
minecraft.crafted.purple_concrete_powder: #2, 1488(15%)
minecraft.dropped.chiseled_bookshelf: #1, 2(67%)
minecraft.picked_up.stripped_warped_stem: #3, 2255(13%)
minecraft.crafted.diorite_wall: #2, 312(16%)
