stat, rank, value, (percentage) 
minecraft.dropped.iron_shovel: #3, 13(10%)
minecraft.crafted.rail: #3, 3936(10%)
minecraft.mined.black_stained_glass: #3, 637(13%)
minecraft.mined.magenta_stained_glass: #3, 72(14%)
minecraft.picked_up.cod: #3, 450(12%)
minecraft.mined.stone_brick_stairs: #3, 265(11%)
minecraft.custom.inspect_dropper: #3, 2675(8%)
minecraft.mined.green_stained_glass_pane: #2, 69(18%)
minecraft.picked_up.cyan_stained_glass: #2, 184(10%)
minecraft.used.scaffolding: #3, 25589(10%)
minecraft.crafted.netherite_hoe: #2, 3(23%)
minecraft.used.deepslate: #3, 15209(9%)
minecraft.crafted.crimson_stairs: #3, 436(14%)
minecraft.mined.bamboo_fence: #2, 12(40%)
minecraft.mined.torch: #3, 1943(7%)
minecraft.picked_up.golden_sword: #3, 159(11%)
minecraft.used.light_blue_glazed_terracotta: #2, 35(38%)
minecraft.used.crimson_door: #2, 12(14%)
minecraft.picked_up.sandstone_wall: #3, 185(17%)
minecraft.used.axolotl_bucket: #3, 73(13%)
minecraft.used.repeater: #3, 1879(9%)
minecraft.mined.coal_ore: #3, 9614(8%)
minecraft.picked_up.oak_sign: #3, 200(8%)
minecraft.mined.red_stained_glass_pane: #2, 43(15%)
minecraft.dropped.pink_shulker_box: #2, 3(30%)
minecraft.mined.warped_sign: #2, 6(17%)
minecraft.used.sandstone_wall: #3, 1584(18%)
minecraft.picked_up.acacia_fence: #2, 11(12%)
minecraft.crafted.waxed_cut_copper_stairs: #2, 96(25%)
minecraft.used.iron_sword: #3, 1112(8%)
minecraft.used.smooth_sandstone_slab: #2, 943(13%)
minecraft.crafted.stone_brick_wall: #3, 829(12%)
minecraft.used.ender_pearl: #4, 811(10%)
minecraft.used.sculk: #3, 3651(12%)
minecraft.dropped.leather_boots: #3, 175(10%)
minecraft.custom.climb_one_cm: #4, 6267350(7%)
minecraft.killed.mooshroom: #2, 237(29%)
minecraft.dropped.netherite_sword: #2, 6(10%)
minecraft.mined.crimson_door: #2, 3(16%)
minecraft.picked_up.crimson_roots: #3, 5137(9%)
minecraft.mined.redstone_lamp: #3, 92(11%)
minecraft.picked_up.gunpowder: #3, 8855(7%)
minecraft.mined.granite_stairs: #2, 13(18%)
minecraft.picked_up.cornflower: #4, 9404(14%)
minecraft.crafted.mangrove_stairs: #3, 304(14%)
minecraft.picked_up.player_head: #4, 2550(8%)
minecraft.killed.elder_guardian: #2, 10(10%)
minecraft.killed.fox: #2, 3(27%)
minecraft.picked_up.smooth_sandstone_slab: #2, 161(13%)
minecraft.dropped.leather_chestplate: #3, 76(13%)
minecraft.used.stripped_bamboo_block: #2, 18(19%)
minecraft.crafted.deepslate_tiles: #3, 2090(10%)
minecraft.mined.anvil: #3, 102(9%)
minecraft.crafted.wooden_sword: #4, 329(17%)
minecraft.mined.beehive: #3, 144(18%)
minecraft.picked_up.coal_ore: #3, 3913(8%)
minecraft.used.crimson_planks: #3, 945(9%)
minecraft.crafted.iron_chestplate: #3, 49(8%)
minecraft.used.polished_granite_stairs: #2, 175(18%)
