stat, rank, value, (percentage) 
minecraft.custom.fish_caught: #12, 1(0%)
minecraft.used.bubble_coral_fan: #12, 1(0%)
minecraft.used.sculk_shrieker: #12, 1(0%)
minecraft.dropped.prismarine_crystals: #12, 4(0%)
minecraft.dropped.shroomlight: #12, 1(0%)
minecraft.mined.grass_block: #13, 22483(2%)
minecraft.custom.target_hit: #13, 77(3%)
minecraft.crafted.oak_sign: #13, 60(2%)
minecraft.mined.polished_andesite: #13, 98(2%)
minecraft.dropped.cooked_cod: #13, 5(3%)
minecraft.picked_up.bamboo: #13, 4350(2%)
minecraft.crafted.blue_shulker_box: #13, 2(2%)
minecraft.dropped.tuff: #13, 392(2%)
minecraft.used.deepslate_bricks: #13, 1237(1%)
minecraft.crafted.redstone_lamp: #13, 64(1%)
minecraft.mined.red_tulip: #13, 3(2%)
minecraft.dropped.gravel: #13, 463(1%)
minecraft.mined.oak_fence_gate: #13, 2(1%)
minecraft.picked_up.target: #13, 7(1%)
minecraft.crafted.spyglass: #13, 1(1%)
minecraft.crafted.deepslate_tile_slab: #13, 36(1%)
minecraft.mined.warped_fungus: #13, 13(1%)
minecraft.mined.soul_lantern: #13, 5(1%)
minecraft.crafted.cooked_porkchop: #13, 8(1%)
minecraft.crafted.hopper_minecart: #13, 30(1%)
minecraft.picked_up.oak_fence_gate: #13, 2(1%)
minecraft.dropped.copper_ore: #13, 18(1%)
minecraft.picked_up.warped_fence: #13, 6(1%)
minecraft.mined.polished_blackstone_button: #13, 3(1%)
minecraft.crafted.quartz_stairs: #13, 8(1%)
minecraft.crafted.oak_fence_gate: #13, 6(1%)
minecraft.picked_up.prismarine_crystals: #13, 27(0%)
minecraft.dropped.gold_ore: #13, 1(1%)
minecraft.used.experience_bottle: #13, 167(0%)
minecraft.dropped.smooth_stone_slab: #13, 4(1%)
minecraft.crafted.cobbled_deepslate_stairs: #13, 12(1%)
minecraft.mined.warped_planks: #13, 40(0%)
minecraft.picked_up.quartz_stairs: #13, 4(1%)
minecraft.crafted.detector_rail: #13, 6(1%)
minecraft.dropped.yellow_terracotta: #13, 3(1%)
minecraft.used.detector_rail: #13, 3(0%)
minecraft.mined.chiseled_stone_bricks: #13, 6(0%)
minecraft.used.decorated_pot: #13, 3(0%)
minecraft.crafted.glowstone: #13, 64(0%)
minecraft.crafted.decorated_pot: #13, 2(0%)
minecraft.picked_up.decorated_pot: #13, 1(0%)
minecraft.dropped.iron_axe: #13, 3(0%)
minecraft.dropped.deepslate_iron_ore: #13, 1(0%)
minecraft.picked_up.bamboo_planks: #13, 1(0%)
minecraft.mined.green_terracotta: #13, 23(0%)
minecraft.dropped.polished_deepslate: #13, 4(0%)
minecraft.dropped.rooted_dirt: #13, 1(0%)
minecraft.used.tube_coral_fan: #13, 1(0%)
minecraft.mined.sculk_vein: #13, 8(0%)
minecraft.crafted.oak_door: #14, 6(4%)
minecraft.picked_up.oak_pressure_plate: #14, 2(4%)
minecraft.used.diamond_shovel: #14, 70623(2%)
minecraft.dropped.dirt: #14, 1451(2%)
minecraft.crafted.grindstone: #14, 25(2%)
minecraft.picked_up.golden_apple: #14, 17(2%)
minecraft.crafted.stone_bricks: #14, 2476(1%)
