stat, rank, value, (percentage) 
minecraft.used.ochre_froglight: #6, 331(3%)
minecraft.used.white_candle: #6, 8(6%)
minecraft.dropped.dispenser: #6, 56(5%)
minecraft.mined.stripped_spruce_wood: #6, 88(3%)
minecraft.mined.gold_block: #6, 137(2%)
minecraft.dropped.diamond_horse_armor: #6, 2(6%)
minecraft.mined.tnt: #6, 76(3%)
minecraft.crafted.light_gray_dye: #7, 1860(6%)
minecraft.crafted.hopper: #7, 1952(6%)
minecraft.crafted.smithing_table: #6, 66(2%)
minecraft.dropped.stone_shovel: #6, 4(3%)
minecraft.dropped.stone_button: #6, 130(3%)
minecraft.used.hopper: #7, 1927(6%)
minecraft.used.stripped_spruce_wood: #6, 90(3%)
minecraft.picked_up.amethyst_block: #7, 1493(6%)
minecraft.crafted.gray_dye: #7, 1862(6%)
minecraft.used.iron_pickaxe: #7, 4275(5%)
minecraft.picked_up.tnt: #6, 1255(2%)
minecraft.killed_by.warden: #7, 16(6%)
minecraft.dropped.purpur_block: #6, 15(3%)
minecraft.mined.end_stone: #6, 1050(2%)
minecraft.picked_up.end_stone: #6, 1045(2%)
minecraft.used.light_gray_candle: #6, 8(4%)
minecraft.picked_up.pink_candle: #6, 4(4%)
minecraft.used.spruce_chest_boat: #6, 1(5%)
minecraft.used.purple_bed: #6, 18(2%)
minecraft.crafted.spruce_fence: #7, 1041(5%)
minecraft.picked_up.end_stone_brick_wall: #6, 3(4%)
minecraft.picked_up.yellow_candle: #6, 8(3%)
minecraft.mined.honey_block: #7, 87(5%)
minecraft.mined.dragon_wall_head: #7, 7(7%)
minecraft.used.sweet_berries: #8, 1441(7%)
minecraft.mined.yellow_candle: #6, 2(3%)
minecraft.mined.azure_bluet: #7, 38(4%)
minecraft.broken.stone_shovel: #6, 3(2%)
minecraft.mined.sweet_berry_bush: #7, 21(5%)
minecraft.mined.end_stone_brick_wall: #6, 3(3%)
minecraft.crafted.blue_wool: #6, 18(2%)
minecraft.used.green_candle: #6, 16(2%)
minecraft.dropped.wet_sponge: #6, 5(3%)
minecraft.mined.black_shulker_box: #7, 206(4%)
minecraft.picked_up.black_shulker_box: #7, 207(4%)
minecraft.dropped.purpur_slab: #7, 9(8%)
minecraft.picked_up.end_stone_brick_stairs: #6, 1(2%)
minecraft.mined.end_stone_brick_stairs: #6, 1(2%)
minecraft.crafted.netherite_upgrade_smithing_template: #6, 2(2%)
minecraft.mined.coal_ore: #8, 7878(6%)
minecraft.custom.open_enderchest: #8, 5183(4%)
minecraft.killed.rabbit: #7, 13(8%)
minecraft.broken.iron_axe: #7, 5(5%)
minecraft.picked_up.crafting_table: #8, 422(5%)
minecraft.used.dandelion: #7, 19(4%)
minecraft.killed.wither_skeleton: #6, 148(0%)
minecraft.dropped.ender_chest: #7, 12(4%)
minecraft.used.spruce_leaves: #7, 1614(4%)
minecraft.mined.dripstone_block: #7, 460(3%)
minecraft.dropped.iron_block: #7, 327(4%)
minecraft.dropped.podzol: #7, 22(5%)
minecraft.mined.crimson_trapdoor: #7, 19(4%)
minecraft.picked_up.chicken: #7, 1290(3%)
minecraft.dropped.diamond: #7, 225(3%)
minecraft.picked_up.rabbit_hide: #7, 18(5%)
minecraft.used.powered_rail: #7, 1295(3%)
minecraft.crafted.bucket: #8, 558(6%)
minecraft.crafted.redstone_lamp: #7, 189(3%)
minecraft.killed_by.evoker: #7, 1(10%)
minecraft.killed_by.stray: #7, 1(8%)
minecraft.picked_up.powered_rail: #7, 431(3%)
minecraft.mined.yellow_terracotta: #7, 478(3%)
minecraft.dropped.carrot: #7, 971(3%)
minecraft.used.deepslate_copper_ore: #7, 42(4%)
minecraft.dropped.oak_pressure_plate: #7, 2(9%)
minecraft.picked_up.detector_rail: #7, 19(4%)
minecraft.mined.stone_brick_slab: #7, 111(3%)
minecraft.picked_up.yellow_terracotta: #7, 478(3%)
minecraft.mined.powered_rail: #7, 255(3%)
minecraft.used.spruce_sign: #8, 137(5%)
minecraft.used.stone_shovel: #7, 511(3%)
minecraft.picked_up.red_candle: #7, 20(4%)
minecraft.dropped.gunpowder: #7, 1031(2%)
minecraft.used.stone_brick_slab: #7, 534(2%)
minecraft.mined.white_stained_glass_pane: #7, 21(3%)
minecraft.used.shulker_box: #8, 3610(5%)
minecraft.picked_up.diamond_horse_armor: #7, 3(5%)
minecraft.picked_up.iron_nugget: #8, 3720(5%)
minecraft.crafted.amethyst_block: #7, 283(5%)
minecraft.picked_up.spruce_button: #7, 12(2%)
minecraft.used.salmon: #7, 2(5%)
minecraft.picked_up.conduit: #7, 2(6%)
minecraft.used.conduit: #7, 2(5%)
minecraft.dropped.honey_block: #7, 64(5%)
minecraft.dropped.netherite_ingot: #7, 2(3%)
minecraft.killed.ender_dragon: #7, 1(5%)
minecraft.crafted.iron_pickaxe: #8, 20(5%)
minecraft.dropped.cooked_salmon: #7, 8(3%)
minecraft.dropped.ochre_froglight: #7, 14(5%)
minecraft.mined.spruce_sign: #8, 6(6%)
minecraft.picked_up.stone_sword: #7, 10(1%)
minecraft.used.spruce_trapdoor: #8, 1149(4%)
minecraft.picked_up.crimson_fungus: #7, 130(1%)
minecraft.mined.smooth_quartz_stairs: #8, 61(5%)
minecraft.dropped.spruce_planks: #8, 181(5%)
minecraft.dropped.stone_sword: #7, 11(1%)
minecraft.crafted.smooth_sandstone_slab: #7, 50(2%)
minecraft.dropped.light_gray_stained_glass_pane: #7, 5(2%)
minecraft.dropped.iron_chestplate: #7, 6(1%)
minecraft.dropped.wheat_seeds: #8, 2884(4%)
minecraft.mined.redstone_ore: #8, 80(5%)
minecraft.picked_up.white_candle: #7, 4(2%)
minecraft.crafted.gold_nugget: #7, 914(1%)
minecraft.mined.ender_chest: #8, 684(4%)
minecraft.mined.purple_bed: #7, 10(1%)
minecraft.mined.white_candle: #7, 1(2%)
minecraft.picked_up.red_tulip: #7, 19(1%)
minecraft.picked_up.hopper_minecart: #7, 28(1%)
minecraft.dropped.redstone: #8, 599(4%)
minecraft.used.yellow_candle: #7, 12(1%)
minecraft.picked_up.oxeye_daisy: #7, 45(0%)
minecraft.used.black_shulker_box: #8, 205(4%)
minecraft.picked_up.stripped_crimson_stem: #8, 150(4%)
minecraft.picked_up.spruce_wood: #8, 166(5%)
minecraft.mined.birch_trapdoor: #8, 33(6%)
minecraft.dropped.bamboo_block: #7, 3(1%)
minecraft.mined.emerald_ore: #8, 36(4%)
