stat, rank, value, (percentage) 
minecraft.picked_up.polished_blackstone_slab: #1, 1416(34%)
minecraft.custom.damage_taken: #1, 1768686(13%)
minecraft.crafted.blackstone_wall: #1, 282(61%)
minecraft.mined.diorite: #2, 61227(23%)
minecraft.picked_up.leather: #1, 4767(21%)
minecraft.used.warped_hanging_sign: #1, 172(84%)
minecraft.used.music_disc_strad: #1, 43(56%)
minecraft.picked_up.jukebox: #1, 158(28%)
minecraft.used.sculk_vein: #1, 2124(48%)
minecraft.crafted.blackstone_slab: #1, 714(61%)
minecraft.picked_up.potion: #1, 756(21%)
minecraft.used.twisting_vines: #1, 469(48%)
minecraft.dropped.polished_blackstone_brick_stairs: #1, 1045(95%)
minecraft.used.deepslate: #1, 38563(24%)
minecraft.picked_up.music_disc_far: #1, 69(60%)
minecraft.dropped.polished_blackstone_slab: #1, 741(73%)
minecraft.used.blast_furnace: #1, 289(29%)
minecraft.dropped.chiseled_polished_blackstone: #1, 758(94%)
minecraft.dropped.blaze_powder: #1, 1170(94%)
minecraft.mined.spruce_log: #1, 49736(21%)
minecraft.dropped.polished_blackstone_brick_slab: #1, 711(93%)
minecraft.picked_up.crimson_stairs: #1, 271(46%)
minecraft.used.sculk: #1, 9653(31%)
minecraft.mined.podzol: #2, 10322(24%)
minecraft.used.deepslate_brick_slab: #1, 6995(29%)
minecraft.mined.crimson_stairs: #1, 164(46%)
minecraft.picked_up.clock: #1, 63(40%)
minecraft.dropped.spruce_button: #1, 120(42%)
minecraft.picked_up.nether_brick_fence: #1, 873(45%)
minecraft.custom.interact_with_beacon: #1, 261(23%)
minecraft.dropped.cobblestone_wall: #1, 426(39%)
minecraft.dropped.nether_brick_fence: #1, 751(90%)
minecraft.crafted.observer: #1, 5800(24%)
minecraft.custom.walk_under_water_one_cm: #3, 37066128(12%)
minecraft.dropped.heavy_weighted_pressure_plate: #1, 113(62%)
minecraft.custom.play_time: #1, 204046017(9%)
minecraft.custom.total_world_time: #1, 204046017(9%)
minecraft.mined.pointed_dripstone: #1, 830(27%)
minecraft.dropped.polished_blackstone_stairs: #1, 1196(89%)
minecraft.picked_up.spruce_log: #1, 50137(19%)
minecraft.mined.target: #1, 170(35%)
minecraft.picked_up.spruce_button: #2, 159(30%)
minecraft.dropped.polished_blackstone_bricks: #1, 2056(48%)
minecraft.mined.blackstone_slab: #1, 238(44%)
minecraft.custom.interact_with_stonecutter: #1, 2275(21%)
minecraft.dropped.nether_brick_stairs: #1, 214(88%)
minecraft.crafted.gray_shulker_box: #1, 64(28%)
minecraft.picked_up.light_gray_shulker_box: #1, 845(27%)
minecraft.picked_up.flowering_azalea: #1, 1802(22%)
minecraft.used.cobbled_deepslate_stairs: #1, 1225(28%)
minecraft.dropped.moss_block: #1, 2471(22%)
minecraft.dropped.elytra: #1, 62(17%)
minecraft.dropped.sculk_vein: #1, 268(67%)
minecraft.crafted.iron_ingot: #1, 106421(17%)
minecraft.used.music_disc_blocks: #1, 43(54%)
minecraft.mined.sculk: #2, 21783(30%)
minecraft.used.snow_block: #2, 40730(25%)
minecraft.picked_up.moss_carpet: #1, 8562(18%)
minecraft.dropped.lapis_ore: #1, 83(46%)
minecraft.picked_up.azalea: #1, 3008(20%)
minecraft.mined.tall_grass: #1, 3124(18%)
minecraft.picked_up.blackstone_slab: #1, 293(42%)
minecraft.custom.interact_with_campfire: #1, 209(53%)
minecraft.custom.leave_game: #1, 2970(8%)
minecraft.crafted.nether_brick_fence: #1, 2118(65%)
minecraft.crafted.nether_brick_slab: #1, 3425(73%)
