stat, rank, value, (percentage) 
minecraft.used.red_terracotta: #3, 3391(7%)
minecraft.picked_up.quartz_stairs: #3, 65(9%)
minecraft.mined.oak_stairs: #4, 160(10%)
minecraft.mined.cyan_concrete: #3, 1275(7%)
minecraft.picked_up.magenta_terracotta: #3, 256(12%)
minecraft.used.purpur_pillar: #3, 42(10%)
minecraft.used.birch_sign: #4, 442(7%)
minecraft.mined.birch_sign: #4, 36(10%)
minecraft.dropped.white_carpet: #3, 96(9%)
minecraft.used.horn_coral_fan: #3, 22(11%)
minecraft.crafted.trapped_chest: #3, 4(15%)
minecraft.crafted.white_shulker_box: #4, 32(10%)
minecraft.dropped.raw_iron_block: #3, 30(16%)
minecraft.dropped.mushroom_stem: #3, 31(12%)
minecraft.used.leather_helmet: #3, 3(11%)
minecraft.picked_up.lapis_lazuli: #4, 6394(7%)
minecraft.killed_by.enderman: #3, 2(8%)
minecraft.picked_up.filled_map: #4, 6531(6%)
minecraft.broken.stone_axe: #3, 3(8%)
minecraft.crafted.brain_coral_block: #2, 1(11%)
minecraft.crafted.item_frame: #4, 641(8%)
minecraft.used.cactus: #4, 402(9%)
minecraft.picked_up.quartz_slab: #4, 344(10%)
minecraft.killed.zombie_villager: #4, 24(7%)
minecraft.mined.light_blue_banner: #2, 1(5%)
minecraft.custom.walk_one_cm: #6, 249166277(7%)
minecraft.mined.stone_brick_slab: #3, 172(4%)
minecraft.mined.player_wall_head: #4, 53(7%)
minecraft.mined.gray_concrete_powder: #4, 95(11%)
minecraft.picked_up.baked_potato: #4, 181(9%)
minecraft.used.red_mushroom: #3, 374(7%)
minecraft.mined.glowstone: #4, 664(7%)
minecraft.used.music_disc_mall: #3, 5(12%)
minecraft.crafted.lapis_block: #4, 715(8%)
minecraft.picked_up.exposed_cut_copper_slab: #3, 27(13%)
minecraft.mined.orange_terracotta: #4, 5029(8%)
minecraft.dropped.deepslate_redstone_ore: #4, 47(14%)
minecraft.dropped.orange_concrete_powder: #3, 32(23%)
minecraft.dropped.porkchop: #3, 32(5%)
minecraft.custom.open_barrel: #5, 10771(6%)
minecraft.used.cobblestone: #5, 8248(8%)
minecraft.picked_up.orange_terracotta: #4, 5115(7%)
minecraft.crafted.pink_concrete_powder: #4, 1808(13%)
minecraft.crafted.shield: #4, 21(8%)
minecraft.broken.golden_helmet: #3, 1(9%)
minecraft.used.melon_slice: #3, 35(8%)
minecraft.dropped.emerald_ore: #3, 5(7%)
minecraft.crafted.gray_shulker_box: #4, 18(8%)
minecraft.used.stone_axe: #4, 515(7%)
minecraft.crafted.black_carpet: #4, 5184(11%)
minecraft.mined.lily_pad: #4, 37(11%)
minecraft.crafted.stone: #4, 920(7%)
minecraft.broken.diamond_axe: #3, 1(17%)
minecraft.mined.brown_terracotta: #5, 11839(12%)
minecraft.used.apple: #4, 39(8%)
minecraft.dropped.orange_terracotta: #4, 67(8%)
minecraft.mined.oak_wall_hanging_sign: #3, 2(12%)
minecraft.used.wooden_shovel: #3, 354(6%)
minecraft.crafted.warped_hyphae: #4, 678(10%)
minecraft.mined.purple_wool: #3, 30(4%)
minecraft.used.clay: #4, 2067(7%)
minecraft.used.brain_coral: #3, 8(4%)
minecraft.crafted.smooth_sandstone: #4, 664(9%)
minecraft.picked_up.music_disc_11: #3, 3(6%)
minecraft.picked_up.quartz: #5, 9129(8%)
minecraft.picked_up.potato: #5, 2475(8%)
minecraft.dropped.music_disc_far: #3, 2(7%)
minecraft.used.lime_terracotta: #4, 3158(5%)
minecraft.used.cyan_concrete: #4, 1055(7%)
minecraft.mined.light_blue_bed: #3, 6(5%)
minecraft.used.potato: #5, 705(9%)
minecraft.crafted.cyan_shulker_box: #4, 21(6%)
minecraft.crafted.shears: #5, 847(8%)
minecraft.mined.green_banner: #3, 2(5%)
minecraft.dropped.music_disc_mellohi: #3, 2(6%)
minecraft.picked_up.birch_sign: #5, 280(7%)
minecraft.broken.wooden_shovel: #3, 6(6%)
minecraft.dropped.yellow_wool: #4, 129(9%)
minecraft.used.diamond_axe: #5, 75065(6%)
minecraft.crafted.golden_axe: #3, 1(3%)
minecraft.dropped.music_disc_11: #3, 1(3%)
minecraft.used.warped_button: #4, 46(6%)
minecraft.crafted.leather_helmet: #4, 8(7%)
minecraft.crafted.orange_terracotta: #4, 480(8%)
minecraft.dropped.music_disc_strad: #3, 1(3%)
minecraft.dropped.stripped_crimson_hyphae: #3, 1(2%)
minecraft.used.white_stained_glass_pane: #4, 406(5%)
minecraft.dropped.light_blue_carpet: #3, 3(1%)
minecraft.killed.bat: #4, 16(6%)
minecraft.mined.deepslate_lapis_ore: #5, 389(6%)
minecraft.custom.interact_with_furnace: #5, 2773(5%)
minecraft.mined.sand: #5, 109403(6%)
minecraft.crafted.spyglass: #4, 5(7%)
minecraft.dropped.white_terracotta: #4, 93(5%)
minecraft.used.blue_wool: #4, 168(6%)
minecraft.used.oak_hanging_sign: #4, 7(8%)
minecraft.dropped.crimson_roots: #4, 210(5%)
minecraft.used.netherrack: #5, 11484(7%)
minecraft.killed.cod: #4, 52(5%)
minecraft.picked_up.raw_gold: #5, 2306(6%)
minecraft.picked_up.stone_sword: #4, 24(3%)
minecraft.picked_up.sand: #5, 112188(6%)
minecraft.picked_up.poisonous_potato: #5, 15(9%)
minecraft.mined.stone_brick_stairs: #4, 78(3%)
minecraft.mined.crimson_stem: #5, 1968(7%)
minecraft.picked_up.leather_helmet: #5, 18(6%)
minecraft.dropped.crimson_fungus: #4, 11(5%)
minecraft.killed.dolphin: #4, 2(10%)
minecraft.picked_up.gilded_blackstone: #4, 38(4%)
minecraft.crafted.wooden_axe: #4, 4(3%)
minecraft.picked_up.stone_brick_slab: #4, 227(2%)
minecraft.dropped.crimson_hyphae: #4, 19(7%)
minecraft.mined.spawner: #4, 8(5%)
