stat, rank, value, (percentage) 
minecraft.dropped.composter: #2, 57(33%)
minecraft.crafted.acacia_button: #2, 78(30%)
minecraft.dropped.oak_stairs: #1, 23(20%)
minecraft.mined.dark_oak_trapdoor: #2, 528(16%)
minecraft.dropped.compass: #2, 154(17%)
minecraft.used.melon_seeds: #2, 373(20%)
minecraft.used.pink_glazed_terracotta: #1, 76(63%)
minecraft.mined.black_concrete_powder: #2, 1134(18%)
minecraft.crafted.lime_wool: #2, 266(29%)
minecraft.used.blue_concrete_powder: #2, 3461(17%)
minecraft.used.composter: #2, 371(15%)
minecraft.mined.acacia_door: #1, 11(41%)
minecraft.crafted.light_blue_banner: #1, 106(30%)
minecraft.picked_up.pink_banner: #1, 10(40%)
minecraft.used.dark_prismarine_stairs: #1, 468(27%)
minecraft.dropped.granite_slab: #1, 32(40%)
minecraft.picked_up.red_sandstone_slab: #1, 16(59%)
minecraft.crafted.cake: #2, 129(22%)
minecraft.used.birch_log: #2, 2809(15%)
minecraft.dropped.birch_fence_gate: #1, 25(39%)
minecraft.killed.villager: #2, 123(21%)
minecraft.crafted.painting: #2, 148(16%)
minecraft.used.smooth_red_sandstone_slab: #1, 136(33%)
minecraft.custom.interact_with_smoker: #2, 407(18%)
minecraft.mined.spruce_wood: #2, 114(19%)
minecraft.used.acacia_boat: #2, 32(25%)
minecraft.dropped.cooked_chicken: #2, 155(16%)
minecraft.crafted.dark_oak_wood: #2, 1764(27%)
minecraft.picked_up.cookie: #2, 300(17%)
minecraft.used.white_concrete_powder: #2, 41856(13%)
minecraft.crafted.spruce_pressure_plate: #2, 124(20%)
minecraft.crafted.smooth_red_sandstone_slab: #1, 156(44%)
minecraft.crafted.suspicious_stew: #2, 58(36%)
minecraft.picked_up.gray_banner: #1, 17(55%)
minecraft.dropped.pink_banner: #1, 8(73%)
minecraft.mined.blue_wall_banner: #1, 6(55%)
minecraft.crafted.smooth_quartz_slab: #2, 5282(20%)
minecraft.dropped.shears: #2, 119(16%)
minecraft.used.brown_carpet: #2, 990(16%)
minecraft.dropped.oak_wood: #1, 76(43%)
minecraft.mined.potted_fern: #1, 5(24%)
minecraft.mined.birch_wood: #1, 25(21%)
minecraft.picked_up.acacia_wood: #1, 199(24%)
minecraft.mined.hay_block: #2, 242(14%)
minecraft.crafted.blue_concrete_powder: #2, 3584(16%)
minecraft.picked_up.music_disc_cat: #2, 41(17%)
minecraft.crafted.oak_planks: #2, 46908(12%)
minecraft.used.light_blue_banner: #1, 89(30%)
minecraft.picked_up.cake: #1, 5(16%)
