stat, rank, value, (percentage) 
minecraft.killed.wither: #3, 43(14%)
minecraft.picked_up.prismarine_brick_stairs: #2, 120(14%)
minecraft.dropped.ender_pearl: #3, 39011(9%)
minecraft.mined.brick_stairs: #3, 87(15%)
minecraft.used.mossy_stone_brick_slab: #2, 32(13%)
minecraft.mined.polished_blackstone_wall: #3, 193(10%)
minecraft.picked_up.iron_chestplate: #3, 21(10%)
minecraft.picked_up.birch_stairs: #3, 185(13%)
minecraft.used.sweet_berries: #2, 1045(6%)
minecraft.mined.chain: #3, 267(9%)
minecraft.dropped.polished_blackstone_brick_wall: #2, 6(29%)
minecraft.mined.oxeye_daisy: #3, 136(11%)
minecraft.crafted.campfire: #3, 340(10%)
minecraft.used.birch_slab: #3, 1125(10%)
minecraft.used.bow: #3, 10016(9%)
minecraft.picked_up.stonecutter: #3, 254(9%)
minecraft.picked_up.acacia_button: #2, 3(9%)
minecraft.mined.wall_torch: #3, 1406(8%)
minecraft.crafted.slime_block: #3, 5293(10%)
minecraft.picked_up.campfire: #3, 257(9%)
minecraft.dropped.music_disc_ward: #2, 1(33%)
minecraft.mined.acacia_pressure_plate: #2, 1(33%)
minecraft.used.mycelium: #3, 3186(9%)
minecraft.picked_up.polished_andesite_slab: #3, 1005(9%)
minecraft.dropped.golden_helmet: #3, 33(9%)
minecraft.dropped.melon_seeds: #3, 47(12%)
minecraft.mined.blackstone_stairs: #3, 181(11%)
minecraft.mined.iron_block: #3, 5980(9%)
minecraft.crafted.oak_stairs: #3, 272(8%)
minecraft.used.warped_door: #3, 17(17%)
minecraft.used.wither_skeleton_skull: #3, 135(12%)
minecraft.dropped.spruce_door: #3, 28(14%)
minecraft.crafted.mossy_stone_bricks: #3, 456(11%)
minecraft.picked_up.poppy: #4, 5786(11%)
minecraft.dropped.birch_sapling: #3, 137(9%)
minecraft.picked_up.iron_leggings: #3, 17(8%)
minecraft.picked_up.white_carpet: #3, 1051(8%)
minecraft.mined.potted_red_mushroom: #2, 1(17%)
minecraft.mined.grass_block: #3, 77838(7%)
minecraft.crafted.bow: #3, 458(7%)
minecraft.used.orange_bed: #3, 25(14%)
minecraft.picked_up.coal_ore: #3, 7098(8%)
minecraft.dropped.brown_mushroom: #3, 231(8%)
