stat, rank, value, (percentage) 
minecraft.dropped.melon: #8, 67(2%)
minecraft.dropped.spruce_leaves: #8, 48(1%)
minecraft.dropped.stone_slab: #8, 223(1%)
minecraft.mined.green_bed: #8, 9(1%)
minecraft.picked_up.green_bed: #8, 9(1%)
minecraft.mined.piston_head: #9, 15(6%)
minecraft.mined.observer: #9, 336(5%)
minecraft.mined.sticky_piston: #9, 211(5%)
minecraft.mined.bubble_coral: #8, 6(1%)
minecraft.mined.horn_coral: #8, 6(1%)
minecraft.picked_up.observer: #9, 413(5%)
minecraft.picked_up.nether_quartz_ore: #9, 1787(5%)
minecraft.picked_up.dark_oak_wood: #8, 10(1%)
minecraft.used.chorus_fruit: #8, 12(1%)
minecraft.picked_up.light_weighted_pressure_plate: #8, 16(1%)
minecraft.used.horn_coral: #8, 1(1%)
minecraft.dropped.light_blue_stained_glass: #8, 5(1%)
minecraft.mined.honeycomb_block: #8, 8(1%)
minecraft.killed.zombie: #9, 1527(4%)
minecraft.picked_up.stripped_dark_oak_wood: #8, 5(0%)
minecraft.used.shield: #8, 6(1%)
minecraft.dropped.polished_blackstone_brick_stairs: #8, 1(1%)
minecraft.dropped.green_carpet: #8, 6(0%)
minecraft.dropped.light_blue_dye: #8, 2(0%)
minecraft.mined.pink_carpet: #8, 2(0%)
minecraft.crafted.magenta_terracotta: #8, 18(0%)
minecraft.crafted.gray_bed: #8, 1(0%)
minecraft.used.purpur_slab: #8, 3(0%)
minecraft.mined.emerald_block: #8, 10(0%)
minecraft.dropped.brown_concrete_powder: #8, 1(0%)
minecraft.used.lever: #9, 289(4%)
minecraft.dropped.pink_concrete: #8, 1(0%)
minecraft.dropped.mushroom_stem: #8, 1(0%)
minecraft.crafted.experience_bottle: #8, 1(0%)
minecraft.mined.blue_orchid: #9, 38(5%)
minecraft.used.bell: #9, 14(4%)
minecraft.picked_up.hay_block: #9, 165(4%)
minecraft.picked_up.emerald: #9, 628(4%)
minecraft.mined.white_concrete: #9, 7263(3%)
minecraft.picked_up.nether_brick_fence: #9, 59(4%)
minecraft.used.white_banner: #9, 33(3%)
minecraft.crafted.iron_pickaxe: #9, 19(3%)
minecraft.mined.light_gray_concrete: #9, 1799(3%)
minecraft.mined.emerald_ore: #9, 23(5%)
minecraft.crafted.diamond_chestplate: #9, 3(3%)
minecraft.crafted.acacia_fence: #9, 39(5%)
minecraft.mined.cobblestone_stairs: #9, 42(3%)
minecraft.crafted.cobblestone_stairs: #9, 120(3%)
minecraft.dropped.bone_meal: #9, 642(3%)
minecraft.mined.bamboo: #9, 418(3%)
minecraft.dropped.torch: #9, 528(2%)
minecraft.crafted.minecart: #9, 103(2%)
minecraft.used.pumpkin_seeds: #9, 51(3%)
minecraft.used.andesite_stairs: #9, 62(3%)
minecraft.picked_up.diorite_wall: #9, 36(4%)
minecraft.used.hay_block: #9, 42(2%)
minecraft.crafted.spruce_boat: #9, 5(3%)
minecraft.crafted.white_banner: #9, 30(2%)
minecraft.crafted.polished_blackstone_brick_stairs: #9, 66(3%)
minecraft.crafted.cracked_stone_bricks: #9, 130(3%)
minecraft.dropped.bowl: #9, 2(3%)
minecraft.dropped.milk_bucket: #9, 2(3%)
minecraft.picked_up.crimson_roots: #9, 363(2%)
minecraft.broken.diamond_shovel: #9, 1(2%)
minecraft.dropped.carrot: #9, 1153(2%)
minecraft.crafted.fishing_rod: #9, 5(2%)
minecraft.mined.bubble_coral_wall_fan: #9, 20(2%)
minecraft.used.cracked_polished_blackstone_bricks: #9, 97(2%)
minecraft.picked_up.cobweb: #9, 87(2%)
minecraft.mined.brain_coral_wall_fan: #9, 20(2%)
minecraft.crafted.purple_stained_glass: #9, 360(2%)
minecraft.crafted.jungle_boat: #9, 4(2%)
minecraft.used.jukebox: #9, 2(2%)
minecraft.crafted.cyan_terracotta: #9, 3264(1%)
minecraft.dropped.spruce_log: #9, 198(2%)
minecraft.crafted.name_tag: #9, 43(2%)
minecraft.used.end_stone: #9, 212(2%)
minecraft.picked_up.oak_boat: #10, 75(5%)
minecraft.mined.target: #9, 15(2%)
minecraft.dropped.soul_soil: #9, 51(2%)
minecraft.used.netherite_sword: #9, 7815(1%)
minecraft.picked_up.netherite_ingot: #9, 2(2%)
minecraft.crafted.chiseled_stone_bricks: #9, 192(2%)
minecraft.crafted.red_banner: #9, 8(2%)
minecraft.picked_up.target: #9, 15(2%)
minecraft.picked_up.sugar: #9, 57(1%)
minecraft.custom.traded_with_villager: #9, 11919(1%)
minecraft.crafted.sponge: #9, 106(2%)
minecraft.crafted.slime_ball: #9, 621(1%)
minecraft.crafted.birch_door: #9, 6(1%)
minecraft.used.green_bed: #9, 9(1%)
minecraft.dropped.tripwire_hook: #9, 5(1%)
minecraft.used.cake: #9, 2(1%)
minecraft.used.crimson_roots: #9, 2(1%)
minecraft.crafted.quartz_slab: #9, 204(1%)
minecraft.crafted.nether_brick_fence: #9, 30(1%)
minecraft.dropped.golden_sword: #9, 25(1%)
minecraft.picked_up.brain_coral: #9, 2(1%)
minecraft.dropped.iron_axe: #9, 2(1%)
minecraft.picked_up.andesite_stairs: #9, 22(1%)
minecraft.used.red_stained_glass: #9, 201(1%)
minecraft.crafted.light_gray_terracotta: #9, 208(1%)
minecraft.used.dark_oak_sapling: #9, 69(1%)
minecraft.dropped.netherite_ingot: #9, 1(1%)
minecraft.crafted.gray_wool: #9, 24(1%)
minecraft.picked_up.orange_stained_glass_pane: #9, 16(1%)
minecraft.picked_up.horn_coral: #9, 2(1%)
minecraft.used.sweet_berries: #9, 87(0%)
minecraft.used.dark_oak_wood: #9, 35(1%)
minecraft.mined.brain_coral: #9, 3(1%)
minecraft.dropped.golden_apple: #9, 2(1%)
minecraft.dropped.lime_concrete: #9, 4(1%)
minecraft.used.chiseled_quartz_block: #9, 39(0%)
minecraft.crafted.dark_oak_wood: #9, 33(1%)
minecraft.dropped.prismarine_crystals: #9, 66(0%)
minecraft.mined.polished_blackstone_pressure_plate: #9, 1(0%)
minecraft.dropped.birch_trapdoor: #9, 2(0%)
minecraft.picked_up.jungle_door: #9, 1(0%)
minecraft.picked_up.pink_carpet: #9, 3(0%)
minecraft.crafted.green_wool: #9, 8(0%)
minecraft.used.jungle_sapling: #9, 9(0%)
minecraft.dropped.stone_hoe: #9, 1(0%)
minecraft.used.stripped_jungle_log: #9, 1(0%)
minecraft.picked_up.acacia_leaves: #9, 17(0%)
minecraft.dropped.spruce_fence: #9, 6(0%)
minecraft.dropped.clay: #9, 1(0%)
minecraft.dropped.red_mushroom_block: #9, 6(0%)
minecraft.used.mossy_cobblestone_wall: #9, 1(0%)
minecraft.mined.lime_concrete_powder: #9, 2(0%)
minecraft.used.water_bucket: #10, 2855(4%)
minecraft.used.red_tulip: #9, 1(0%)
minecraft.crafted.beehive: #9, 2(0%)
minecraft.crafted.acacia_wood: #9, 3(0%)
