stat, rank, value, (percentage) 
minecraft.used.diamond_ore: #5, 989(5%)
minecraft.crafted.packed_ice: #4, 206(1%)
minecraft.mined.warped_pressure_plate: #4, 1(3%)
minecraft.dropped.pink_carpet: #4, 1(3%)
minecraft.crafted.magenta_concrete_powder: #5, 1728(9%)
minecraft.dropped.redstone_torch: #5, 63(6%)
minecraft.crafted.stripped_spruce_wood: #4, 3(2%)
minecraft.crafted.emerald: #6, 68358(9%)
minecraft.used.dropper: #6, 701(9%)
minecraft.crafted.brown_wool: #5, 108(7%)
minecraft.used.iron_sword: #5, 1911(4%)
minecraft.killed_by.slime: #5, 1(20%)
minecraft.dropped.repeater: #5, 64(7%)
minecraft.dropped.egg: #5, 795(4%)
minecraft.used.spruce_planks: #6, 5264(8%)
minecraft.picked_up.orange_stained_glass: #5, 254(5%)
minecraft.broken.diamond_helmet: #5, 1(14%)
minecraft.picked_up.purple_stained_glass: #5, 179(6%)
minecraft.mined.oak_button: #5, 7(6%)
minecraft.picked_up.light_gray_stained_glass: #5, 418(5%)
minecraft.picked_up.stripped_birch_wood: #5, 66(6%)
minecraft.picked_up.poppy: #6, 3570(7%)
minecraft.mined.spruce_planks: #6, 1436(7%)
minecraft.used.white_wool: #5, 1196(3%)
minecraft.crafted.sugar: #5, 704(3%)
minecraft.used.stripped_birch_wood: #5, 79(6%)
minecraft.picked_up.sunflower: #6, 523(9%)
minecraft.used.black_stained_glass_pane: #6, 1579(9%)
minecraft.used.soul_torch: #5, 46(6%)
minecraft.dropped.brown_bed: #5, 1(8%)
minecraft.crafted.bookshelf: #5, 578(3%)
minecraft.used.magenta_concrete_powder: #5, 595(4%)
minecraft.used.stripped_dark_oak_log: #6, 501(9%)
minecraft.mined.stripped_dark_oak_log: #6, 548(8%)
minecraft.crafted.black_stained_glass_pane: #6, 1680(8%)
minecraft.picked_up.light_blue_stained_glass: #5, 241(3%)
minecraft.used.yellow_bed: #5, 17(4%)
minecraft.picked_up.stripped_dark_oak_log: #6, 543(8%)
minecraft.mined.crimson_button: #5, 2(10%)
minecraft.crafted.cyan_dye: #6, 3436(7%)
minecraft.used.purple_concrete_powder: #5, 384(3%)
minecraft.custom.interact_with_grindstone: #6, 165(7%)
minecraft.mined.yellow_bed: #5, 16(4%)
minecraft.picked_up.yellow_bed: #5, 16(4%)
minecraft.dropped.emerald: #6, 512(8%)
minecraft.crafted.cookie: #5, 432(4%)
minecraft.picked_up.lilac: #6, 261(6%)
minecraft.dropped.black_stained_glass: #5, 52(4%)
minecraft.dropped.melon_slice: #5, 649(3%)
minecraft.dropped.oak_planks: #6, 266(6%)
minecraft.dropped.light_blue_concrete: #5, 20(3%)
minecraft.picked_up.chainmail_leggings: #6, 7(6%)
minecraft.used.painting: #6, 240(6%)
minecraft.dropped.crafting_table: #6, 36(6%)
minecraft.crafted.black_stained_glass: #6, 6160(7%)
minecraft.picked_up.iron_door: #6, 34(6%)
minecraft.used.green_wool: #6, 441(8%)
minecraft.picked_up.soul_sand: #6, 3164(6%)
minecraft.used.oak_slab: #6, 900(5%)
minecraft.used.soul_sand: #6, 1254(5%)
minecraft.mined.crimson_stem: #6, 948(5%)
minecraft.used.chain: #6, 669(5%)
minecraft.dropped.white_tulip: #5, 2(2%)
minecraft.picked_up.spruce_planks: #6, 1404(5%)
minecraft.crafted.fermented_spider_eye: #5, 90(1%)
minecraft.used.crimson_stem: #6, 466(6%)
minecraft.picked_up.magenta_terracotta: #5, 75(2%)
minecraft.crafted.magenta_dye: #6, 689(6%)
minecraft.crafted.magenta_wool: #5, 25(2%)
minecraft.picked_up.warped_pressure_plate: #5, 1(3%)
minecraft.crafted.diamond_axe: #6, 10(5%)
minecraft.used.white_concrete: #6, 13331(5%)
minecraft.used.iron_block: #6, 6965(5%)
minecraft.picked_up.red_carpet: #6, 183(5%)
minecraft.dropped.birch_slab: #6, 52(7%)
minecraft.mined.dark_oak_sign: #6, 3(7%)
minecraft.dropped.birch_planks: #6, 113(5%)
minecraft.used.white_concrete_powder: #6, 13254(4%)
minecraft.crafted.yellow_stained_glass: #6, 896(7%)
minecraft.used.birch_slab: #6, 519(5%)
minecraft.picked_up.birch_leaves: #6, 3708(4%)
minecraft.used.black_concrete: #6, 3636(4%)
minecraft.dropped.powered_rail: #6, 72(5%)
minecraft.crafted.orange_stained_glass: #6, 960(5%)
minecraft.picked_up.white_stained_glass: #6, 581(4%)
minecraft.crafted.brown_stained_glass_pane: #6, 80(8%)
minecraft.mined.birch_fence_gate: #6, 21(6%)
minecraft.crafted.crimson_door: #6, 6(8%)
minecraft.mined.mossy_stone_bricks: #6, 60(4%)
minecraft.crafted.stone_brick_wall: #6, 252(4%)
minecraft.mined.green_carpet: #6, 110(4%)
minecraft.picked_up.melon_slice: #6, 2006(4%)
minecraft.mined.stripped_birch_wood: #6, 67(6%)
minecraft.killed_by.wither_skeleton: #6, 1(10%)
minecraft.used.stripped_birch_log: #6, 126(5%)
minecraft.mined.white_stained_glass: #6, 397(4%)
minecraft.custom.talked_to_villager: #7, 8442(7%)
minecraft.used.light_gray_stained_glass: #6, 1257(5%)
minecraft.dropped.water_bucket: #6, 14(4%)
minecraft.crafted.warped_stairs: #6, 100(4%)
minecraft.dropped.leather_helmet: #6, 25(4%)
minecraft.mined.dark_oak_leaves: #6, 1714(3%)
minecraft.used.bookshelf: #6, 505(3%)
minecraft.crafted.golden_carrot: #6, 5371(3%)
minecraft.mined.iron_door: #6, 11(4%)
minecraft.crafted.red_stained_glass: #6, 1216(3%)
minecraft.mined.light_blue_terracotta: #6, 55(5%)
minecraft.used.yellow_stained_glass: #6, 395(4%)
minecraft.killed.silverfish: #6, 27(3%)
minecraft.crafted.magenta_shulker_box: #6, 3(5%)
minecraft.crafted.magenta_carpet: #6, 111(4%)
minecraft.dropped.stripped_spruce_log: #6, 6(4%)
minecraft.crafted.brown_stained_glass: #6, 168(4%)
