stat, rank, value, (percentage) 
minecraft.picked_up.netherite_helmet: #2, 80(17%)
minecraft.picked_up.stone: #1, 378668(11%)
minecraft.picked_up.chest: #1, 3118(12%)
minecraft.dropped.netherite_hoe: #1, 8(31%)
minecraft.dropped.leather_boots: #2, 74(19%)
minecraft.used.brown_concrete_powder: #3, 5137(22%)
minecraft.mined.acacia_log: #2, 5855(17%)
minecraft.dropped.diamond_block: #1, 349(13%)
minecraft.used.cyan_terracotta: #2, 38002(16%)
minecraft.dropped.redstone: #2, 1932(16%)
minecraft.dropped.arrow: #3, 20687(20%)
minecraft.used.warped_planks: #2, 1770(23%)
minecraft.picked_up.spruce_log: #2, 31661(15%)
minecraft.picked_up.netherite_boots: #2, 89(16%)
minecraft.picked_up.leather_boots: #1, 50(11%)
minecraft.crafted.light_gray_stained_glass: #2, 9792(24%)
minecraft.picked_up.spruce_button: #2, 207(18%)
minecraft.mined.stone: #1, 693653(10%)
minecraft.used.gray_stained_glass_pane: #2, 975(22%)
minecraft.picked_up.red_stained_glass_pane: #2, 211(30%)
minecraft.dropped.oak_planks: #2, 675(15%)
minecraft.mined.potted_oxeye_daisy: #1, 5(62%)
minecraft.dropped.iron_shovel: #2, 29(17%)
minecraft.crafted.melon: #2, 49548(25%)
minecraft.custom.jump: #2, 701758(8%)
minecraft.picked_up.cocoa_beans: #2, 8786(17%)
minecraft.picked_up.dark_oak_fence: #2, 719(16%)
minecraft.mined.magma_block: #2, 12947(15%)
minecraft.crafted.crafting_table: #1, 264(10%)
minecraft.picked_up.yellow_stained_glass_pane: #2, 667(29%)
minecraft.crafted.firework_rocket: #2, 152936(17%)
minecraft.picked_up.netherite_sword: #2, 78(15%)
minecraft.dropped.stick: #2, 7211(14%)
minecraft.dropped.netherite_ingot: #2, 31(34%)
minecraft.picked_up.black_dye: #2, 276(20%)
minecraft.crafted.diamond_leggings: #2, 18(15%)
minecraft.mined.gray_bed: #2, 220(25%)
minecraft.used.music_disc_stal: #1, 23(57%)
minecraft.dropped.spruce_boat: #1, 9(19%)
minecraft.picked_up.magma_block: #2, 12111(14%)
minecraft.crafted.netherite_ingot: #2, 181(14%)
minecraft.mined.black_concrete: #2, 6727(15%)
minecraft.dropped.piston: #1, 110(23%)
minecraft.picked_up.orange_stained_glass_pane: #2, 504(23%)
minecraft.used.black_terracotta: #2, 5118(20%)
minecraft.crafted.chainmail_chestplate: #1, 10(37%)
minecraft.picked_up.netherite_ingot: #2, 26(23%)
minecraft.dropped.red_bed: #1, 4(36%)
minecraft.killed.dolphin: #2, 18(24%)
minecraft.picked_up.netherite_hoe: #2, 37(23%)
minecraft.crafted.orange_stained_glass_pane: #2, 926(21%)
minecraft.crafted.cyan_terracotta: #2, 34696(16%)
minecraft.used.stone: #2, 106395(11%)
minecraft.dropped.cooked_cod: #2, 246(24%)
minecraft.killed.silverfish: #2, 145(17%)
minecraft.custom.fall_one_cm: #2, 25168004(11%)
minecraft.dropped.golden_carrot: #2, 1445(14%)
minecraft.picked_up.grindstone: #2, 337(13%)
minecraft.custom.damage_taken: #2, 869388(10%)
minecraft.used.melon_slice: #2, 193(18%)
minecraft.crafted.dark_oak_slab: #2, 5056(13%)
minecraft.crafted.polished_andesite_stairs: #2, 1264(20%)
minecraft.picked_up.elytra: #2, 199(12%)
minecraft.picked_up.music_disc_ward: #2, 16(25%)
