stat, rank, value, (percentage) 
minecraft.used.diorite_stairs: #2, 94(19%)
minecraft.picked_up.red_wool: #3, 2239(10%)
minecraft.picked_up.smooth_sandstone: #3, 3779(10%)
minecraft.crafted.orange_glazed_terracotta: #2, 64(22%)
minecraft.mined.cyan_glazed_terracotta: #2, 33(27%)
minecraft.picked_up.ghast_tear: #3, 194(9%)
minecraft.used.polished_diorite_slab: #3, 881(21%)
minecraft.picked_up.smooth_red_sandstone: #2, 133(11%)
minecraft.used.birch_fence_gate: #3, 254(12%)
minecraft.killed.husk: #3, 76(10%)
minecraft.picked_up.loom: #3, 47(11%)
minecraft.used.yellow_banner: #2, 20(15%)
minecraft.crafted.flower_banner_pattern: #2, 1(20%)
minecraft.mined.mossy_stone_brick_wall: #2, 3(25%)
minecraft.broken.diamond_axe: #2, 1(33%)
minecraft.mined.polished_andesite_slab: #4, 762(13%)
minecraft.mined.sandstone_slab: #4, 1431(19%)
minecraft.used.stone_sword: #3, 304(12%)
minecraft.mined.sandstone_stairs: #3, 548(12%)
minecraft.picked_up.sandstone_slab: #4, 1743(16%)
minecraft.dropped.red_sandstone: #2, 59(18%)
minecraft.custom.animals_bred: #3, 2394(8%)
minecraft.mined.black_wool: #3, 191(10%)
minecraft.crafted.cooked_salmon: #3, 64(14%)
minecraft.mined.sandstone_wall: #3, 357(11%)
minecraft.picked_up.pink_glazed_terracotta: #2, 9(29%)
minecraft.picked_up.smooth_sandstone_slab: #3, 693(10%)
minecraft.crafted.compass: #3, 412(9%)
minecraft.picked_up.quartz_slab: #3, 584(8%)
minecraft.picked_up.shield: #3, 29(9%)
minecraft.custom.damage_blocked_by_shield: #3, 18970(12%)
minecraft.picked_up.iron_door: #3, 46(8%)
minecraft.used.polished_diorite_stairs: #3, 609(20%)
minecraft.picked_up.magenta_glazed_terracotta: #2, 12(15%)
minecraft.crafted.acacia_button: #3, 38(15%)
minecraft.mined.acacia_button: #2, 2(8%)
minecraft.picked_up.orange_glazed_terracotta: #2, 90(12%)
minecraft.mined.orange_wall_banner: #2, 2(18%)
minecraft.picked_up.sandstone_wall: #3, 356(10%)
minecraft.used.music_disc_stal: #2, 7(18%)
minecraft.crafted.acacia_door: #3, 54(18%)
minecraft.mined.brown_glazed_terracotta: #2, 32(13%)
minecraft.mined.birch_fence_gate: #3, 39(11%)
minecraft.dropped.brown_stained_glass_pane: #2, 14(32%)
minecraft.crafted.stripped_birch_wood: #2, 51(10%)
minecraft.used.jungle_door: #2, 60(6%)
minecraft.used.yellow_glazed_terracotta: #3, 383(16%)
minecraft.crafted.jungle_door: #2, 63(5%)
minecraft.crafted.cooked_rabbit: #2, 4(12%)
minecraft.mined.white_wall_banner: #3, 17(9%)
minecraft.mined.potted_lily_of_the_valley: #2, 1(8%)
minecraft.used.polished_basalt: #4, 3403(12%)
minecraft.mined.orange_glazed_terracotta: #2, 28(9%)
minecraft.picked_up.blue_glazed_terracotta: #2, 16(11%)
