stat, rank, value, (percentage) 
minecraft.picked_up.nether_gold_ore: #4, 316(4%)
minecraft.picked_up.magma_block: #5, 7377(9%)
minecraft.broken.netherite_shovel: #4, 1(25%)
minecraft.mined.jungle_wood: #4, 114(8%)
minecraft.used.cut_red_sandstone: #4, 36(11%)
minecraft.killed.pig: #4, 41(4%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #5, 1508(9%)
minecraft.killed.phantom: #4, 140(4%)
minecraft.used.light_blue_carpet: #4, 354(5%)
minecraft.picked_up.pufferfish: #5, 64(8%)
minecraft.crafted.name_tag: #4, 129(5%)
minecraft.used.stone_hoe: #4, 428(5%)
minecraft.mined.prismarine_slab: #4, 39(9%)
minecraft.mined.potted_red_mushroom: #4, 1(17%)
minecraft.crafted.light_blue_carpet: #4, 408(5%)
minecraft.picked_up.chainmail_boots: #5, 11(9%)
minecraft.killed.tropical_fish: #4, 43(5%)
minecraft.dropped.peony: #5, 15(13%)
minecraft.crafted.stone: #5, 4104(8%)
minecraft.mined.oak_wood: #4, 141(5%)
minecraft.mined.horn_coral_block: #4, 90(6%)
minecraft.picked_up.horn_coral_block: #4, 88(6%)
minecraft.killed.skeleton_horse: #4, 1(14%)
minecraft.used.experience_bottle: #4, 285(5%)
minecraft.used.bow: #5, 7933(7%)
minecraft.picked_up.salmon: #5, 105(8%)
minecraft.mined.stone_brick_slab: #5, 900(7%)
minecraft.picked_up.prismarine: #4, 900(3%)
minecraft.dropped.acacia_sign: #4, 16(5%)
minecraft.mined.prismarine: #4, 910(3%)
minecraft.crafted.enchanted_book: #4, 225(3%)
minecraft.used.jungle_wood: #4, 359(4%)
minecraft.picked_up.gold_ore: #5, 1815(6%)
minecraft.dropped.black_stained_glass: #4, 64(4%)
minecraft.mined.tube_coral: #4, 17(3%)
minecraft.dropped.cooked_beef: #5, 234(7%)
minecraft.picked_up.chiseled_red_sandstone: #4, 8(9%)
minecraft.mined.fire_coral_fan: #4, 16(4%)
minecraft.used.fire_coral: #4, 2(5%)
minecraft.used.wheat_seeds: #5, 5262(6%)
minecraft.crafted.iron_axe: #5, 17(6%)
minecraft.crafted.glass_pane: #5, 1056(6%)
minecraft.crafted.coarse_dirt: #5, 4520(6%)
minecraft.dropped.compass: #5, 60(7%)
minecraft.picked_up.compass: #5, 64(6%)
minecraft.dropped.leather_chestplate: #5, 25(7%)
minecraft.mined.dark_oak_log: #5, 4646(6%)
minecraft.dropped.iron_leggings: #5, 13(8%)
minecraft.picked_up.trident: #5, 31(7%)
minecraft.dropped.leather_leggings: #5, 22(6%)
minecraft.crafted.lectern: #5, 72(6%)
