stat, rank, value, (percentage) 
minecraft.crafted.diamond_axe: #3, 23(11%)
minecraft.dropped.lapis_lazuli: #3, 556(16%)
minecraft.picked_up.glowstone: #3, 1486(11%)
minecraft.used.poisonous_potato: #2, 2(18%)
minecraft.dropped.baked_potato: #2, 51(20%)
minecraft.dropped.light_blue_terracotta: #2, 43(26%)
minecraft.dropped.spruce_button: #3, 83(16%)
minecraft.broken.flint_and_steel: #2, 7(11%)
minecraft.crafted.lead: #3, 130(13%)
minecraft.used.cyan_stained_glass_pane: #3, 418(17%)
minecraft.used.powered_rail: #3, 2842(10%)
minecraft.crafted.powered_rail: #3, 2166(11%)
minecraft.used.warped_wart_block: #3, 1799(13%)
minecraft.picked_up.redstone_torch: #3, 1061(11%)
minecraft.mined.cyan_terracotta: #3, 5366(11%)
minecraft.mined.jungle_stairs: #3, 169(13%)
minecraft.picked_up.diamond: #3, 6820(10%)
minecraft.dropped.acacia_trapdoor: #2, 60(12%)
minecraft.used.redstone_lamp: #3, 567(11%)
minecraft.used.stripped_oak_log: #3, 449(13%)
minecraft.dropped.dark_oak_boat: #2, 2(20%)
minecraft.killed_by.phantom: #2, 2(20%)
minecraft.mined.furnace: #3, 335(10%)
minecraft.picked_up.oak_door: #3, 66(11%)
minecraft.crafted.lime_bed: #3, 17(20%)
minecraft.picked_up.bow: #3, 620(9%)
minecraft.used.polished_blackstone_button: #3, 189(14%)
minecraft.crafted.lime_shulker_box: #3, 29(13%)
minecraft.mined.polished_diorite_stairs: #2, 201(16%)
minecraft.dropped.gravel: #3, 3295(10%)
minecraft.picked_up.warped_button: #2, 8(22%)
minecraft.picked_up.observer: #3, 826(10%)
minecraft.dropped.diamond_ore: #2, 115(12%)
minecraft.used.dragon_head: #3, 6(16%)
minecraft.crafted.diamond: #3, 5758(9%)
minecraft.used.gold_ore: #3, 47(12%)
minecraft.used.gravel: #3, 4760(9%)
minecraft.picked_up.glowstone_dust: #3, 1102(9%)
minecraft.used.magma_block: #3, 6089(10%)
minecraft.picked_up.pink_concrete: #2, 1051(7%)
minecraft.custom.use_cauldron: #2, 15(12%)
minecraft.picked_up.repeater: #3, 903(9%)
minecraft.mined.hopper: #3, 1121(9%)
minecraft.dropped.warped_fungus: #2, 45(7%)
minecraft.dropped.magenta_stained_glass_pane: #2, 6(29%)
minecraft.mined.warped_stem: #4, 5380(14%)
minecraft.mined.iron_door: #3, 37(12%)
minecraft.mined.green_concrete: #3, 1355(11%)
minecraft.picked_up.ancient_debris: #3, 693(9%)
minecraft.mined.diorite_stairs: #2, 45(15%)
minecraft.dropped.chainmail_boots: #3, 19(14%)
minecraft.mined.beacon: #3, 90(9%)
minecraft.custom.jump: #4, 611210(7%)
minecraft.used.gray_stained_glass: #3, 5372(13%)
minecraft.dropped.lime_glazed_terracotta: #2, 7(25%)
minecraft.used.tnt_minecart: #2, 39(17%)
minecraft.crafted.tnt_minecart: #2, 39(17%)
minecraft.used.purple_concrete_powder: #3, 1653(12%)
minecraft.picked_up.crossbow: #3, 87(9%)
minecraft.dropped.stripped_warped_stem: #3, 10(20%)
minecraft.mined.warped_button: #2, 4(16%)
minecraft.picked_up.chainmail_boots: #3, 12(9%)
minecraft.crafted.netherite_block: #2, 10(16%)
minecraft.used.warped_button: #2, 20(9%)
minecraft.mined.bamboo_sapling: #3, 33(11%)
minecraft.crafted.player_head: #3, 1148(9%)
minecraft.crafted.oak_sign: #3, 534(8%)
minecraft.crafted.purple_concrete_powder: #3, 1792(11%)
minecraft.mined.spruce_button: #3, 33(11%)
minecraft.crafted.diamond_chestplate: #3, 9(9%)
minecraft.picked_up.bricks: #3, 1664(12%)
minecraft.crafted.minecart: #3, 338(8%)
minecraft.picked_up.mossy_cobblestone: #3, 280(8%)
minecraft.dropped.iron_ore: #3, 788(9%)
minecraft.mined.bell: #3, 23(8%)
minecraft.dropped.music_disc_13: #2, 1(20%)
minecraft.used.experience_bottle: #3, 740(13%)
minecraft.dropped.cactus: #3, 790(8%)
minecraft.crafted.gold_ingot: #4, 105282(12%)
minecraft.picked_up.wooden_sword: #2, 8(5%)
minecraft.crafted.black_stained_glass: #3, 8096(9%)
minecraft.crafted.brown_bed: #2, 32(8%)
minecraft.crafted.warped_button: #2, 20(7%)
minecraft.picked_up.detector_rail: #3, 39(9%)
minecraft.crafted.iron_boots: #3, 16(7%)
minecraft.picked_up.warped_stem: #4, 5294(12%)
minecraft.dropped.jungle_boat: #3, 10(15%)
minecraft.dropped.charcoal: #3, 9(13%)
minecraft.used.iron_bars: #3, 2029(7%)
minecraft.dropped.stripped_oak_log: #3, 25(14%)
minecraft.crafted.iron_helmet: #3, 16(7%)
minecraft.dropped.powered_rail: #3, 123(9%)
minecraft.dropped.lime_stained_glass: #3, 155(14%)
minecraft.dropped.polished_diorite_stairs: #2, 3(13%)
minecraft.mined.purple_concrete_powder: #3, 13(13%)
minecraft.used.honey_block: #3, 1050(7%)
minecraft.mined.magenta_stained_glass_pane: #3, 18(14%)
minecraft.used.lime_bed: #3, 63(10%)
minecraft.picked_up.blackstone_slab: #4, 683(13%)
minecraft.picked_up.pumpkin: #4, 3379(10%)
minecraft.dropped.nether_star: #2, 2(10%)
minecraft.picked_up.netherite_ingot: #3, 12(11%)
minecraft.dropped.coal_ore: #4, 916(12%)
minecraft.picked_up.yellow_shulker_box: #4, 535(10%)
minecraft.dropped.lime_bed: #2, 2(6%)
minecraft.dropped.diorite_wall: #3, 23(14%)
minecraft.dropped.honey_block: #3, 165(12%)
minecraft.dropped.allium: #3, 29(16%)
minecraft.dropped.diamond_helmet: #3, 9(8%)
minecraft.dropped.warped_button: #2, 4(10%)
minecraft.dropped.flint_and_steel: #3, 13(7%)
minecraft.crafted.oak_planks: #4, 35896(9%)
minecraft.dropped.stone_pickaxe: #3, 41(7%)
minecraft.used.yellow_shulker_box: #4, 546(10%)
minecraft.mined.yellow_shulker_box: #4, 533(10%)
minecraft.used.rail: #4, 5285(9%)
minecraft.mined.sticky_piston: #4, 433(11%)
minecraft.dropped.purple_concrete: #3, 40(12%)
minecraft.picked_up.blaze_powder: #3, 169(7%)
minecraft.dropped.cobweb: #3, 45(15%)
minecraft.picked_up.cyan_stained_glass_pane: #3, 184(9%)
minecraft.crafted.andesite_wall: #3, 600(8%)
minecraft.dropped.redstone_ore: #4, 180(13%)
minecraft.crafted.white_bed: #4, 53(10%)
minecraft.mined.redstone_block: #4, 402(10%)
minecraft.picked_up.lime_bed: #3, 58(9%)
minecraft.used.jungle_planks: #4, 1397(11%)
minecraft.picked_up.charcoal: #4, 102(11%)
minecraft.dropped.cookie: #3, 216(7%)
minecraft.crafted.brown_shulker_box: #4, 23(12%)
minecraft.used.emerald_ore: #3, 14(14%)
minecraft.picked_up.cyan_terracotta: #4, 6123(10%)
minecraft.picked_up.shroomlight: #4, 1099(10%)
minecraft.dropped.red_shulker_box: #3, 4(10%)
minecraft.used.diamond_hoe: #4, 16090(10%)
minecraft.picked_up.minecart: #4, 397(9%)
minecraft.dropped.white_carpet: #4, 161(11%)
minecraft.picked_up.ender_chest: #4, 1425(9%)
minecraft.picked_up.oak_sign: #4, 415(9%)
minecraft.mined.lime_bed: #3, 51(9%)
minecraft.dropped.stripped_spruce_log: #3, 12(7%)
minecraft.crafted.chainmail_boots: #3, 12(15%)
minecraft.picked_up.magma_block: #4, 7610(9%)
minecraft.dropped.stone: #4, 27366(9%)
minecraft.dropped.polished_blackstone_button: #3, 46(15%)
minecraft.dropped.carved_pumpkin: #3, 9(8%)
minecraft.mined.end_stone_brick_stairs: #2, 3(1%)
minecraft.mined.magma_block: #4, 7627(9%)
minecraft.picked_up.end_stone_brick_stairs: #2, 4(1%)
minecraft.picked_up.rail: #4, 3962(8%)
minecraft.crafted.lime_glazed_terracotta: #3, 7(19%)
minecraft.mined.ender_chest: #4, 1227(8%)
minecraft.mined.weeping_vines_plant: #4, 124(9%)
minecraft.crafted.diamond_shovel: #4, 29(8%)
minecraft.used.ender_chest: #4, 1225(8%)
minecraft.custom.fall_one_cm: #4, 15505762(7%)
minecraft.mined.oak_trapdoor: #4, 175(9%)
minecraft.dropped.nether_brick: #3, 343(6%)
minecraft.picked_up.netherite_sword: #4, 43(8%)
minecraft.picked_up.andesite_slab: #3, 572(4%)
minecraft.dropped.cobblestone: #4, 16955(8%)
minecraft.used.green_terracotta: #3, 493(5%)
minecraft.used.furnace_minecart: #3, 4(14%)
minecraft.used.detector_rail: #4, 44(9%)
minecraft.mined.red_concrete_powder: #4, 67(11%)
minecraft.picked_up.bone_block: #4, 1149(8%)
minecraft.picked_up.jungle_sign: #4, 70(9%)
minecraft.crafted.furnace_minecart: #3, 4(14%)
minecraft.used.oak_sign: #4, 565(8%)
minecraft.dropped.seagrass: #3, 83(6%)
minecraft.crafted.cyan_stained_glass_pane: #4, 432(11%)
minecraft.dropped.book: #4, 77(10%)
minecraft.mined.detector_rail: #4, 25(10%)
minecraft.picked_up.white_stained_glass: #4, 1158(8%)
minecraft.mined.weeping_vines: #4, 75(9%)
minecraft.used.grindstone: #3, 147(3%)
