stat, rank, value, (percentage) 
minecraft.picked_up.name_tag: #2, 141(14%)
minecraft.picked_up.iron_sword: #2, 50(13%)
minecraft.dropped.black_shulker_box: #2, 16(29%)
minecraft.dropped.crying_obsidian: #2, 242(40%)
minecraft.crafted.iron_sword: #2, 50(13%)
minecraft.picked_up.crying_obsidian: #2, 348(14%)
minecraft.picked_up.coal_block: #2, 1123(14%)
minecraft.dropped.polished_andesite: #2, 1214(16%)
minecraft.dropped.crimson_stairs: #1, 244(53%)
minecraft.picked_up.lever: #2, 674(13%)
minecraft.picked_up.blackstone_slab: #2, 846(16%)
minecraft.used.armor_stand: #2, 644(13%)
minecraft.dropped.string: #2, 2570(13%)
minecraft.mined.daylight_detector: #2, 35(15%)
minecraft.dropped.water_bucket: #3, 76(20%)
minecraft.crafted.diamond_sword: #2, 22(13%)
minecraft.dropped.light_blue_stained_glass_pane: #2, 165(38%)
minecraft.picked_up.dropper: #2, 506(13%)
minecraft.dropped.black_glazed_terracotta: #1, 418(99%)
minecraft.mined.sunflower: #2, 21(19%)
minecraft.used.pufferfish_bucket: #2, 37(23%)
minecraft.dropped.soul_sand: #2, 1055(14%)
minecraft.picked_up.stone_pressure_plate: #2, 212(14%)
minecraft.dropped.brown_mushroom_block: #2, 1104(27%)
minecraft.dropped.crimson_slab: #1, 101(38%)
minecraft.dropped.ancient_debris: #2, 114(24%)
minecraft.picked_up.tropical_fish_bucket: #1, 32(94%)
minecraft.dropped.jungle_leaves: #2, 594(18%)
minecraft.picked_up.mossy_cobblestone: #2, 443(13%)
minecraft.dropped.acacia_door: #1, 6(46%)
minecraft.dropped.music_disc_cat: #1, 6(46%)
minecraft.dropped.azure_bluet: #2, 296(18%)
minecraft.dropped.spruce_fence_gate: #2, 81(31%)
minecraft.dropped.painting: #2, 70(28%)
minecraft.picked_up.light_gray_stained_glass: #2, 1447(16%)
minecraft.dropped.light_gray_glazed_terracotta: #1, 16(89%)
minecraft.picked_up.pink_dye: #2, 158(23%)
minecraft.picked_up.black_wool: #3, 2778(17%)
minecraft.dropped.daylight_detector: #1, 3(43%)
minecraft.used.brain_coral_block: #2, 82(30%)
minecraft.picked_up.armor_stand: #3, 663(17%)
minecraft.mined.furnace: #2, 376(11%)
minecraft.crafted.green_stained_glass: #3, 3040(23%)
minecraft.picked_up.repeater: #2, 1098(12%)
minecraft.picked_up.barrel: #2, 509(11%)
minecraft.dropped.netherite_scrap: #1, 4(80%)
minecraft.broken.iron_boots: #1, 4(40%)
minecraft.dropped.fletching_table: #1, 12(80%)
minecraft.picked_up.smooth_stone_slab: #2, 3247(11%)
minecraft.picked_up.cobblestone: #2, 200662(9%)
minecraft.picked_up.iron_horse_armor: #2, 6(18%)
minecraft.picked_up.gray_stained_glass: #2, 999(17%)
minecraft.custom.drop: #2, 23811(9%)
minecraft.picked_up.warped_trapdoor: #2, 119(13%)
minecraft.picked_up.furnace: #2, 531(10%)
minecraft.dropped.diamond_shovel: #2, 30(12%)
minecraft.picked_up.end_stone: #2, 8019(12%)
minecraft.picked_up.quartz_block: #3, 3048(16%)
minecraft.picked_up.chipped_anvil: #2, 56(11%)
minecraft.picked_up.green_wool: #3, 3028(22%)
minecraft.picked_up.gray_terracotta: #2, 1210(20%)
minecraft.dropped.redstone_lamp: #2, 26(40%)
minecraft.dropped.vine: #2, 110(21%)
minecraft.broken.wooden_sword: #1, 2(67%)
minecraft.dropped.blue_wool: #2, 242(26%)
minecraft.picked_up.red_tulip: #3, 1650(19%)
minecraft.dropped.warped_sign: #2, 24(28%)
minecraft.dropped.elytra: #2, 20(11%)
minecraft.dropped.stone: #3, 43129(14%)
minecraft.mined.bamboo_sapling: #2, 38(13%)
minecraft.picked_up.end_crystal: #2, 32(17%)
minecraft.picked_up.diamond_horse_armor: #2, 8(20%)
minecraft.used.oak_pressure_plate: #2, 19(12%)
minecraft.picked_up.paper: #2, 12518(10%)
minecraft.dropped.melon_slice: #3, 5240(23%)
minecraft.dropped.scute: #1, 18(58%)
minecraft.dropped.chest: #3, 236(15%)
minecraft.mined.green_stained_glass: #2, 333(17%)
minecraft.picked_up.torch: #2, 15075(9%)
minecraft.dropped.target: #2, 48(36%)
minecraft.dropped.pufferfish_bucket: #2, 21(27%)
minecraft.broken.fishing_rod: #2, 6(15%)
minecraft.dropped.red_banner: #2, 4(19%)
minecraft.mined.piston_head: #2, 27(11%)
minecraft.used.damaged_anvil: #2, 19(10%)
minecraft.dropped.apple: #3, 222(15%)
minecraft.picked_up.lime_wool: #3, 1806(17%)
minecraft.killed_by.armor_stand: #1, 1(100%)
minecraft.crafted.green_carpet: #3, 1815(16%)
minecraft.picked_up.light_gray_carpet: #2, 1359(9%)
minecraft.dropped.piston: #2, 97(20%)
minecraft.dropped.diorite: #3, 9120(13%)
minecraft.dropped.ghast_tear: #2, 56(12%)
minecraft.picked_up.smooth_quartz_slab: #3, 1883(15%)
minecraft.dropped.jungle_door: #2, 13(22%)
