stat, rank, value, (percentage) 
minecraft.crafted.red_banner: #10, 6(1%)
minecraft.mined.cut_sandstone_slab: #10, 11(1%)
minecraft.killed.vex: #10, 1(1%)
minecraft.used.rose_bush: #10, 9(0%)
minecraft.picked_up.brown_concrete_powder: #10, 31(0%)
minecraft.used.oxeye_daisy: #10, 1(0%)
minecraft.crafted.cut_sandstone: #10, 72(0%)
minecraft.used.pink_tulip: #10, 1(0%)
minecraft.picked_up.red_nether_brick_stairs: #10, 2(0%)
minecraft.crafted.baked_potato: #10, 4(0%)
minecraft.crafted.written_book: #10, 4(0%)
minecraft.used.red_nether_brick_stairs: #10, 1(0%)
minecraft.used.white_tulip: #10, 1(0%)
minecraft.mined.yellow_glazed_terracotta: #10, 1(0%)
minecraft.picked_up.smooth_red_sandstone: #10, 1(0%)
minecraft.used.smooth_red_sandstone: #10, 5(0%)
minecraft.used.yellow_glazed_terracotta: #10, 1(0%)
minecraft.killed.evoker: #10, 1(0%)
minecraft.used.cooked_beef: #11, 860(4%)
minecraft.mined.redstone_ore: #11, 3823(4%)
minecraft.picked_up.iron_ore: #11, 3721(3%)
minecraft.mined.netherrack: #11, 55575(2%)
minecraft.crafted.oak_stairs: #11, 76(2%)
minecraft.picked_up.vine: #11, 360(2%)
minecraft.crafted.spruce_planks: #11, 12208(2%)
minecraft.crafted.nether_bricks: #11, 1248(2%)
minecraft.crafted.iron_pickaxe: #11, 13(2%)
minecraft.mined.birch_stairs: #11, 37(3%)
minecraft.picked_up.birch_stairs: #11, 37(3%)
minecraft.crafted.netherite_ingot: #11, 24(2%)
minecraft.crafted.light_gray_concrete_powder: #11, 2048(2%)
minecraft.dropped.iron_hoe: #11, 1(3%)
minecraft.broken.golden_helmet: #11, 1(3%)
minecraft.picked_up.spruce_fence: #11, 144(1%)
minecraft.picked_up.ancient_debris: #11, 99(1%)
minecraft.picked_up.spruce_wood: #11, 10(2%)
minecraft.used.smooth_quartz: #11, 488(1%)
minecraft.mined.polished_blackstone_stairs: #11, 29(1%)
minecraft.mined.spruce_fence_gate: #11, 6(2%)
minecraft.used.smooth_quartz_slab: #11, 579(1%)
minecraft.used.spruce_fence: #11, 257(1%)
minecraft.picked_up.netherite_ingot: #11, 2(2%)
minecraft.crafted.polished_basalt: #11, 260(1%)
minecraft.crafted.spruce_door: #11, 15(1%)
minecraft.mined.birch_slab: #11, 45(1%)
minecraft.mined.smooth_quartz_stairs: #11, 41(1%)
minecraft.used.cut_sandstone_slab: #11, 57(1%)
minecraft.used.acacia_planks: #11, 22(1%)
minecraft.picked_up.blackstone_stairs: #11, 16(1%)
minecraft.mined.smooth_quartz_slab: #11, 65(1%)
minecraft.mined.coal_block: #11, 16(1%)
minecraft.crafted.red_bed: #11, 1(1%)
minecraft.used.spruce_fence_gate: #11, 15(1%)
minecraft.picked_up.blue_concrete: #11, 73(1%)
minecraft.mined.birch_pressure_plate: #11, 1(1%)
minecraft.used.mushroom_stem: #11, 29(0%)
minecraft.picked_up.sugar: #11, 17(0%)
minecraft.picked_up.birch_pressure_plate: #11, 1(1%)
minecraft.mined.green_concrete_powder: #11, 26(0%)
minecraft.used.light_gray_banner: #11, 1(1%)
minecraft.used.polished_granite_slab: #11, 4(0%)
minecraft.custom.raid_win: #11, 1(0%)
minecraft.used.red_nether_brick_slab: #11, 7(0%)
minecraft.picked_up.stripped_crimson_stem: #11, 1(0%)
minecraft.crafted.smooth_sandstone_stairs: #11, 12(0%)
minecraft.mined.stripped_crimson_stem: #11, 1(0%)
minecraft.picked_up.yellow_glazed_terracotta: #11, 1(0%)
minecraft.picked_up.gold_ore: #12, 784(3%)
minecraft.killed.enderman: #12, 19597(3%)
minecraft.crafted.wheat: #12, 720(3%)
minecraft.used.polished_blackstone: #12, 1093(3%)
minecraft.mined.nether_quartz_ore: #12, 2663(2%)
minecraft.picked_up.crimson_nylium: #12, 208(2%)
minecraft.used.grass_block: #12, 7369(2%)
minecraft.mined.crimson_nylium: #12, 209(2%)
minecraft.used.oak_stairs: #12, 69(2%)
minecraft.mined.spruce_fence: #12, 94(2%)
minecraft.mined.pink_tulip: #12, 14(2%)
minecraft.mined.white_carpet: #12, 76(2%)
minecraft.picked_up.lilac: #12, 70(2%)
minecraft.used.mossy_stone_bricks: #12, 52(2%)
minecraft.used.white_carpet: #12, 560(1%)
minecraft.crafted.netherite_scrap: #12, 45(2%)
minecraft.used.birch_slab: #12, 157(1%)
minecraft.used.iron_sword: #12, 551(1%)
minecraft.used.polished_blackstone_stairs: #12, 149(1%)
minecraft.mined.oak_pressure_plate: #12, 1(2%)
minecraft.mined.spruce_wood: #12, 9(2%)
minecraft.picked_up.brown_mushroom_block: #12, 651(1%)
minecraft.crafted.polished_diorite: #12, 196(1%)
minecraft.crafted.white_stained_glass: #12, 768(1%)
minecraft.crafted.spruce_fence: #12, 189(1%)
minecraft.mined.blackstone_stairs: #12, 16(1%)
minecraft.picked_up.oak_pressure_plate: #12, 1(1%)
minecraft.mined.gilded_blackstone: #12, 7(1%)
minecraft.picked_up.spruce_fence_gate: #12, 6(1%)
minecraft.used.birch_pressure_plate: #12, 2(1%)
minecraft.picked_up.mossy_cobblestone_slab: #12, 2(1%)
minecraft.picked_up.gold_nugget: #12, 2036(0%)
minecraft.picked_up.pink_tulip: #12, 25(0%)
minecraft.crafted.red_sandstone: #12, 64(0%)
minecraft.picked_up.baked_potato: #12, 4(1%)
minecraft.used.coal_block: #12, 16(0%)
minecraft.mined.orange_tulip: #12, 3(0%)
minecraft.dropped.blaze_rod: #12, 4(0%)
minecraft.mined.sandstone_stairs: #12, 14(0%)
minecraft.crafted.beacon: #12, 1(0%)
minecraft.picked_up.stripped_acacia_log: #12, 1(0%)
minecraft.picked_up.red_tulip: #12, 9(0%)
minecraft.dropped.cyan_carpet: #12, 1(0%)
minecraft.crafted.gray_wool: #12, 3(0%)
minecraft.custom.raid_trigger: #12, 1(0%)
minecraft.used.magenta_concrete_powder: #12, 8(0%)
minecraft.custom.strider_one_cm: #12, 462(0%)
minecraft.killed.vindicator: #12, 2(0%)
minecraft.mined.iron_ore: #13, 3505(3%)
minecraft.crafted.coal_block: #13, 932(3%)
minecraft.picked_up.diamond: #13, 1615(2%)
minecraft.used.cracked_stone_bricks: #13, 184(3%)
minecraft.killed_by.ravager: #13, 3(3%)
minecraft.used.iron_pickaxe: #13, 2614(2%)
minecraft.picked_up.lantern: #13, 168(2%)
minecraft.mined.oxeye_daisy: #13, 23(2%)
minecraft.crafted.polished_blackstone: #13, 1396(1%)
minecraft.mined.brown_mushroom_block: #13, 648(1%)
minecraft.picked_up.polished_blackstone_stairs: #13, 28(1%)
minecraft.used.smooth_quartz_stairs: #13, 211(1%)
minecraft.picked_up.activator_rail: #13, 3(1%)
minecraft.used.bookshelf: #13, 165(1%)
minecraft.picked_up.grass: #13, 208(1%)
minecraft.picked_up.smooth_quartz_stairs: #13, 48(1%)
minecraft.crafted.blackstone_wall: #13, 24(1%)
minecraft.picked_up.dead_bush: #13, 30(1%)
minecraft.picked_up.dark_oak_sign: #13, 13(1%)
minecraft.crafted.smooth_quartz_slab: #13, 246(1%)
minecraft.used.polished_blackstone_brick_wall: #13, 10(1%)
minecraft.crafted.birch_slab: #13, 180(1%)
minecraft.picked_up.smooth_quartz_slab: #13, 79(1%)
minecraft.crafted.quartz_block: #13, 1162(1%)
minecraft.crafted.golden_chestplate: #13, 1(1%)
minecraft.mined.polished_blackstone_brick_wall: #13, 3(1%)
minecraft.picked_up.mushroom_stem: #13, 102(0%)
minecraft.picked_up.polished_blackstone_brick_wall: #13, 3(1%)
minecraft.crafted.polished_blackstone_slab: #13, 108(0%)
minecraft.picked_up.sandstone_stairs: #13, 25(0%)
minecraft.picked_up.blue_orchid: #13, 23(0%)
minecraft.used.dead_bush: #13, 5(0%)
minecraft.picked_up.light_gray_wool: #13, 121(0%)
minecraft.used.grass: #13, 60(0%)
minecraft.dropped.soul_soil: #13, 12(0%)
minecraft.used.cyan_bed: #13, 5(0%)
minecraft.crafted.birch_pressure_plate: #13, 1(0%)
minecraft.picked_up.red_mushroom_block: #13, 92(0%)
minecraft.picked_up.chiseled_nether_bricks: #13, 2(0%)
minecraft.mined.chiseled_nether_bricks: #13, 2(0%)
minecraft.picked_up.green_concrete_powder: #13, 39(0%)
minecraft.picked_up.stripped_birch_wood: #13, 2(0%)
minecraft.mined.stripped_birch_wood: #13, 2(0%)
minecraft.picked_up.orange_tulip: #13, 3(0%)
minecraft.crafted.sandstone_slab: #13, 30(0%)
minecraft.crafted.sandstone_stairs: #13, 4(0%)
minecraft.dropped.sugar: #13, 4(0%)
minecraft.killed.zombie_villager: #14, 14(3%)
minecraft.crafted.coal: #14, 3344(3%)
minecraft.used.cobblestone: #14, 4926(2%)
minecraft.killed_by.creeper: #14, 4(3%)
minecraft.picked_up.grass_block: #14, 13984(2%)
minecraft.mined.polished_blackstone: #14, 126(2%)
minecraft.crafted.dispenser: #14, 70(2%)
minecraft.crafted.golden_helmet: #14, 2(1%)
minecraft.crafted.ender_chest: #14, 11(1%)
minecraft.mined.campfire: #14, 18(1%)
minecraft.crafted.hay_block: #14, 105(1%)
minecraft.used.redstone_lamp: #14, 56(1%)
minecraft.picked_up.birch_slab: #14, 51(1%)
minecraft.picked_up.birch_leaves: #14, 724(1%)
minecraft.mined.bookshelf: #14, 81(1%)
minecraft.picked_up.flower_pot: #14, 18(1%)
minecraft.picked_up.cooked_chicken: #14, 20(1%)
minecraft.used.brown_mushroom: #14, 11(1%)
minecraft.crafted.golden_boots: #14, 1(1%)
minecraft.used.polished_blackstone_slab: #14, 259(1%)
minecraft.crafted.yellow_shulker_box: #14, 2(1%)
minecraft.crafted.smooth_quartz: #14, 64(1%)
minecraft.picked_up.netherite_hoe: #14, 1(1%)
minecraft.picked_up.gray_concrete_powder: #14, 448(0%)
minecraft.crafted.spruce_fence_gate: #14, 9(0%)
minecraft.used.smoker: #14, 2(0%)
minecraft.killed.wither: #14, 1(0%)
minecraft.mined.acacia_wall_sign: #14, 2(0%)
minecraft.dropped.light_gray_concrete: #14, 3(0%)
minecraft.picked_up.dark_oak_fence_gate: #14, 4(0%)
minecraft.killed.wither_skeleton: #14, 60(0%)
minecraft.mined.green_bed: #14, 1(0%)
minecraft.killed.blaze: #14, 41(0%)
minecraft.used.birch_leaves: #14, 46(0%)
minecraft.used.chiseled_nether_bricks: #14, 2(0%)
minecraft.killed.cave_spider: #14, 16(0%)
minecraft.used.cut_sandstone: #14, 10(0%)
minecraft.picked_up.acacia_leaves: #14, 2(0%)
minecraft.killed.witch: #14, 9(0%)
minecraft.crafted.melon: #14, 1(0%)
minecraft.crafted.air: #14, 0(0%)
minecraft.used.chest: #15, 1562(3%)
minecraft.picked_up.cobblestone: #15, 54044(3%)
minecraft.picked_up.iron_chestplate: #15, 5(2%)
minecraft.picked_up.netherrack: #15, 24381(2%)
minecraft.mined.soul_sand: #15, 992(2%)
minecraft.crafted.iron_hoe: #15, 2(2%)
minecraft.crafted.iron_sword: #15, 6(2%)
minecraft.used.netherite_pickaxe: #15, 106699(2%)
minecraft.picked_up.polished_blackstone: #15, 126(2%)
minecraft.mined.spruce_trapdoor: #15, 204(1%)
minecraft.crafted.white_carpet: #15, 507(1%)
minecraft.picked_up.spruce_trapdoor: #15, 277(1%)
minecraft.picked_up.totem_of_undying: #15, 7(1%)
minecraft.killed_by.vex: #15, 1(2%)
minecraft.picked_up.terracotta: #15, 4406(1%)
minecraft.mined.terracotta: #15, 4207(1%)
minecraft.mined.stone_slab: #15, 139(1%)
minecraft.mined.stone_button: #15, 22(1%)
minecraft.killed.bat: #15, 16(1%)
minecraft.crafted.crimson_planks: #15, 528(1%)
minecraft.mined.soul_soil: #15, 377(1%)
minecraft.crafted.magenta_dye: #15, 128(1%)
minecraft.picked_up.acacia_planks: #15, 22(1%)
minecraft.mined.mushroom_stem: #15, 102(1%)
minecraft.picked_up.sandstone: #15, 3993(1%)
minecraft.mined.sandstone: #15, 3671(1%)
minecraft.picked_up.saddle: #15, 3(1%)
minecraft.picked_up.warped_nylium: #15, 68(1%)
minecraft.picked_up.smooth_quartz: #15, 103(1%)
minecraft.crafted.smooth_stone: #15, 512(1%)
minecraft.dropped.oak_boat: #15, 1(1%)
minecraft.picked_up.gray_shulker_box: #15, 25(1%)
minecraft.mined.light_gray_carpet: #15, 27(1%)
minecraft.mined.gray_shulker_box: #15, 25(1%)
minecraft.used.netherite_shovel: #15, 14834(1%)
minecraft.mined.smooth_quartz: #15, 40(1%)
minecraft.used.gold_ore: #15, 2(1%)
minecraft.used.packed_ice: #15, 130(0%)
