stat, rank, value, (percentage) 
minecraft.picked_up.light_gray_shulker_box: #6, 179(7%)
minecraft.crafted.trapped_chest: #5, 2(4%)
minecraft.dropped.purple_carpet: #5, 7(3%)
minecraft.used.jungle_fence_gate: #5, 56(2%)
minecraft.picked_up.lever: #6, 268(5%)
minecraft.dropped.podzol: #5, 76(2%)
minecraft.used.iron_bars: #6, 1500(5%)
minecraft.used.orange_concrete: #6, 1009(6%)
minecraft.dropped.jungle_sapling: #6, 30(8%)
minecraft.used.brown_shulker_box: #6, 212(5%)
minecraft.picked_up.iron_shovel: #6, 16(5%)
minecraft.mined.brown_shulker_box: #6, 206(5%)
minecraft.picked_up.brown_shulker_box: #6, 207(5%)
minecraft.dropped.lime_carpet: #5, 14(1%)
minecraft.used.purpur_slab: #5, 17(1%)
minecraft.dropped.brown_wool: #5, 44(1%)
minecraft.used.potato: #6, 388(6%)
minecraft.crafted.pink_stained_glass_pane: #5, 32(1%)
minecraft.used.jungle_leaves: #6, 1374(5%)
minecraft.mined.yellow_stained_glass_pane: #5, 16(1%)
minecraft.dropped.red_stained_glass: #5, 8(1%)
minecraft.dropped.dropper: #5, 2(1%)
minecraft.picked_up.stone_pickaxe: #6, 7(7%)
minecraft.picked_up.pink_stained_glass: #5, 3(0%)
minecraft.dropped.blue_dye: #5, 35(0%)
minecraft.mined.dead_brain_coral_wall_fan: #5, 1(1%)
minecraft.picked_up.netherite_helmet: #6, 22(5%)
minecraft.picked_up.piston: #6, 311(4%)
minecraft.picked_up.cornflower: #6, 1157(4%)
minecraft.picked_up.lapis_block: #6, 198(5%)
minecraft.mined.magenta_stained_glass_pane: #6, 12(9%)
minecraft.mined.end_stone_brick_slab: #5, 1(0%)
minecraft.crafted.crimson_stairs: #6, 152(7%)
minecraft.picked_up.netherite_leggings: #6, 19(4%)
minecraft.used.wooden_pickaxe: #6, 27(4%)
minecraft.used.stone_pressure_plate: #6, 87(4%)
minecraft.used.honey_block: #6, 620(4%)
minecraft.dropped.chainmail_boots: #6, 8(6%)
minecraft.mined.stone_pressure_plate: #6, 23(4%)
minecraft.picked_up.golden_shovel: #6, 7(5%)
minecraft.used.white_terracotta: #6, 841(4%)
minecraft.dropped.potato: #6, 447(4%)
minecraft.crafted.oak_button: #6, 53(4%)
minecraft.used.brown_wool: #6, 310(4%)
minecraft.mined.dropper: #7, 204(8%)
minecraft.mined.jack_o_lantern: #6, 26(6%)
minecraft.used.oak_leaves: #6, 7174(3%)
minecraft.used.warped_stairs: #6, 105(4%)
minecraft.used.gold_block: #6, 553(3%)
minecraft.used.acacia_sign: #6, 49(4%)
minecraft.mined.carved_pumpkin: #6, 156(4%)
minecraft.crafted.target: #6, 133(5%)
minecraft.broken.golden_shovel: #6, 5(5%)
minecraft.crafted.minecart: #6, 129(3%)
minecraft.used.yellow_terracotta: #6, 423(4%)
minecraft.dropped.iron_block: #6, 391(3%)
minecraft.picked_up.cyan_concrete: #6, 1050(3%)
minecraft.crafted.jack_o_lantern: #6, 152(5%)
minecraft.crafted.detector_rail: #6, 42(4%)
minecraft.picked_up.music_disc_mall: #6, 2(6%)
minecraft.used.music_disc_chirp: #6, 2(9%)
minecraft.used.purpur_block: #6, 69(3%)
minecraft.picked_up.magma_block: #7, 5941(7%)
minecraft.picked_up.magenta_stained_glass_pane: #6, 12(6%)
minecraft.picked_up.prismarine_crystals: #6, 983(3%)
minecraft.picked_up.hopper: #7, 992(6%)
minecraft.dropped.stripped_warped_stem: #6, 3(6%)
minecraft.mined.magma_block: #7, 5863(7%)
minecraft.dropped.oak_button: #6, 11(4%)
minecraft.mined.repeater: #7, 357(7%)
minecraft.dropped.packed_ice: #6, 104(3%)
minecraft.dropped.iron_trapdoor: #6, 39(3%)
minecraft.mined.target: #6, 27(4%)
minecraft.dropped.green_concrete: #6, 12(5%)
minecraft.crafted.green_stained_glass_pane: #6, 80(6%)
minecraft.dropped.ice: #6, 138(3%)
minecraft.used.magenta_carpet: #6, 99(3%)
minecraft.used.glass_pane: #7, 517(7%)
minecraft.dropped.jungle_door: #6, 3(5%)
minecraft.dropped.oak_log: #7, 325(6%)
minecraft.dropped.andesite: #7, 2881(6%)
minecraft.crafted.powered_rail: #7, 1218(6%)
minecraft.picked_up.comparator: #7, 291(6%)
minecraft.picked_up.trapped_chest: #6, 1(7%)
minecraft.used.mossy_stone_bricks: #7, 193(7%)
minecraft.crafted.furnace: #7, 555(6%)
minecraft.crafted.pink_carpet: #6, 102(3%)
minecraft.crafted.orange_carpet: #6, 387(3%)
minecraft.dropped.chicken: #6, 95(2%)
minecraft.mined.stripped_spruce_wood: #6, 33(4%)
minecraft.dropped.heavy_weighted_pressure_plate: #6, 6(3%)
minecraft.picked_up.crimson_fence: #6, 10(2%)
minecraft.mined.jungle_fence_gate: #6, 8(3%)
minecraft.picked_up.stripped_spruce_wood: #6, 33(3%)
minecraft.dropped.cod: #6, 490(2%)
minecraft.picked_up.pink_carpet: #6, 20(3%)
minecraft.dropped.netherite_pickaxe: #7, 11(6%)
minecraft.dropped.chipped_anvil: #6, 2(3%)
minecraft.crafted.lever: #7, 291(5%)
minecraft.crafted.purple_terracotta: #6, 224(2%)
minecraft.dropped.crimson_door: #6, 1(5%)
minecraft.crafted.firework_star: #6, 654(3%)
minecraft.dropped.light_gray_terracotta: #7, 101(7%)
minecraft.used.music_disc_ward: #6, 1(4%)
minecraft.used.trapped_chest: #6, 2(4%)
minecraft.custom.leave_game: #8, 2008(5%)
minecraft.crafted.cobblestone_slab: #7, 1548(6%)
minecraft.picked_up.paper: #6, 1264(1%)
minecraft.mined.red_stained_glass_pane: #6, 12(2%)
minecraft.picked_up.jungle_sign: #7, 46(6%)
minecraft.crafted.purple_wool: #6, 16(3%)
minecraft.picked_up.cobblestone: #7, 93600(4%)
minecraft.used.spruce_wood: #6, 63(1%)
minecraft.crafted.melon: #6, 2466(1%)
minecraft.mined.dead_horn_coral_wall_fan: #6, 1(3%)
minecraft.dropped.yellow_concrete: #6, 12(2%)
minecraft.mined.yellow_concrete_powder: #7, 37(9%)
