stat, rank, value, (percentage) 
minecraft.mined.red_wall_banner: #1, 9(22%)
minecraft.used.purple_concrete_powder: #2, 2467(17%)
minecraft.mined.magenta_concrete_powder: #2, 24(27%)
minecraft.dropped.red_nether_brick_stairs: #1, 192(97%)
minecraft.mined.red_bed: #2, 74(18%)
minecraft.mined.stone_button: #2, 269(13%)
minecraft.picked_up.red_bed: #2, 77(18%)
minecraft.used.green_concrete_powder: #3, 10488(20%)
minecraft.dropped.lever: #3, 203(20%)
minecraft.dropped.golden_sword: #2, 517(15%)
minecraft.crafted.white_bed: #2, 67(12%)
minecraft.crafted.green_dye: #2, 2299(14%)
minecraft.dropped.damaged_anvil: #1, 4(24%)
minecraft.crafted.lime_stained_glass: #2, 5864(15%)
minecraft.dropped.smooth_red_sandstone_slab: #1, 5(62%)
minecraft.picked_up.yellow_concrete: #2, 2389(13%)
minecraft.mined.red_terracotta: #2, 8855(13%)
minecraft.used.polished_blackstone_stairs: #2, 1531(14%)
minecraft.dropped.sugar_cane: #2, 5167(14%)
minecraft.picked_up.rail: #2, 5662(11%)
minecraft.crafted.green_shulker_box: #2, 20(19%)
minecraft.used.red_bed: #2, 81(18%)
minecraft.picked_up.dandelion: #3, 5689(17%)
minecraft.dropped.bucket: #2, 147(14%)
minecraft.crafted.magenta_concrete_powder: #2, 4352(24%)
minecraft.crafted.iron_bars: #2, 4400(12%)
minecraft.used.chiseled_nether_bricks: #2, 419(18%)
minecraft.mined.light_blue_wool: #2, 191(19%)
minecraft.picked_up.red_nether_brick_wall: #1, 20(22%)
minecraft.crafted.warped_planks: #2, 5368(13%)
minecraft.custom.inspect_hopper: #2, 5867(10%)
minecraft.crafted.blackstone_wall: #2, 396(17%)
minecraft.mined.nether_brick_wall: #2, 247(18%)
minecraft.crafted.redstone: #2, 32429(11%)
minecraft.used.nether_brick_slab: #2, 2484(12%)
minecraft.dropped.slime_ball: #3, 1132(18%)
minecraft.dropped.flint: #3, 1999(16%)
minecraft.dropped.polished_granite_slab: #2, 254(45%)
minecraft.killed.trader_llama: #2, 61(14%)
minecraft.mined.magenta_concrete: #2, 1338(18%)
minecraft.mined.scaffolding: #2, 10582(12%)
minecraft.used.nether_brick_stairs: #2, 1105(16%)
minecraft.custom.walk_one_cm: #3, 333175034(8%)
minecraft.used.end_crystal: #2, 137(30%)
minecraft.used.weeping_vines: #2, 152(19%)
minecraft.mined.sticky_piston: #2, 488(12%)
minecraft.dropped.end_stone_brick_slab: #1, 128(83%)
minecraft.mined.lime_stained_glass: #2, 494(15%)
minecraft.picked_up.oxeye_daisy: #3, 3037(16%)
minecraft.picked_up.cobblestone_wall: #2, 577(11%)
minecraft.picked_up.redstone_block: #2, 1233(11%)
minecraft.crafted.tripwire_hook: #3, 548(16%)
minecraft.mined.stone_brick_stairs: #2, 590(12%)
minecraft.mined.purple_wool: #2, 169(17%)
minecraft.used.lever: #2, 730(11%)
minecraft.dropped.iron_chestplate: #2, 20(17%)
minecraft.crafted.activator_rail: #2, 54(23%)
minecraft.dropped.glass: #2, 1057(12%)
minecraft.used.item_frame: #2, 1032(10%)
minecraft.crafted.diorite_wall: #2, 366(23%)
minecraft.picked_up.iron_trapdoor: #2, 755(12%)
minecraft.dropped.blue_banner: #1, 3(50%)
minecraft.dropped.cyan_wool: #2, 153(28%)
minecraft.used.mossy_stone_brick_wall: #1, 22(29%)
minecraft.mined.polished_blackstone_pressure_plate: #2, 43(20%)
minecraft.crafted.minecart: #2, 455(10%)
minecraft.picked_up.dragon_breath: #2, 71(41%)
minecraft.mined.brewing_stand: #2, 62(12%)
minecraft.broken.diamond_pickaxe: #2, 8(14%)
minecraft.mined.chiseled_stone_bricks: #2, 266(14%)
minecraft.dropped.orange_concrete: #2, 49(24%)
minecraft.crafted.light_gray_banner: #2, 71(30%)
minecraft.crafted.compass: #2, 533(12%)
minecraft.crafted.coal_block: #2, 3495(10%)
minecraft.crafted.black_concrete_powder: #2, 17216(11%)
minecraft.dropped.cracked_polished_blackstone_bricks: #2, 116(20%)
minecraft.picked_up.iron_pickaxe: #2, 32(13%)
minecraft.dropped.iron_trapdoor: #3, 257(23%)
minecraft.used.cobblestone_stairs: #3, 586(15%)
minecraft.mined.red_nether_bricks: #2, 263(21%)
minecraft.dropped.stripped_warped_stem: #2, 12(24%)
minecraft.crafted.smooth_quartz: #2, 1613(14%)
minecraft.broken.leather_boots: #1, 4(19%)
minecraft.dropped.cartography_table: #1, 2(33%)
minecraft.crafted.carrot_on_a_stick: #1, 2(67%)
minecraft.dropped.red_wool: #2, 212(19%)
minecraft.picked_up.golden_horse_armor: #2, 9(21%)
minecraft.dropped.writable_book: #2, 22(11%)
minecraft.used.carved_pumpkin: #2, 68(15%)
minecraft.killed.wither: #2, 43(14%)
minecraft.mined.diorite: #2, 35978(9%)
minecraft.dropped.diamond_leggings: #2, 13(11%)
minecraft.dropped.red_terracotta: #3, 321(17%)
minecraft.crafted.orange_dye: #3, 2282(15%)
minecraft.picked_up.item_frame: #2, 676(9%)
minecraft.used.black_concrete_powder: #2, 14658(11%)
minecraft.picked_up.chiseled_stone_bricks: #2, 275(11%)
minecraft.dropped.oak_sign: #2, 120(12%)
minecraft.used.black_concrete: #2, 8513(10%)
minecraft.dropped.oak_planks: #3, 611(14%)
minecraft.crafted.respawn_anchor: #2, 203(27%)
minecraft.mined.white_banner: #2, 13(15%)
minecraft.mined.lime_concrete_powder: #2, 212(20%)
minecraft.dropped.iron_leggings: #2, 21(13%)
minecraft.crafted.chest: #2, 6246(9%)
minecraft.dropped.mossy_cobblestone_stairs: #1, 16(57%)
minecraft.crafted.enchanting_table: #3, 10(15%)
minecraft.crafted.andesite_stairs: #2, 308(13%)
minecraft.mined.bell: #2, 27(10%)
minecraft.picked_up.fermented_spider_eye: #2, 63(35%)
minecraft.mined.wither_skeleton_skull: #2, 7(23%)
minecraft.dropped.green_concrete_powder: #2, 532(30%)
minecraft.dropped.honey_bottle: #2, 22(23%)
minecraft.used.light_gray_banner: #2, 37(19%)
minecraft.custom.damage_absorbed: #2, 950(11%)
minecraft.crafted.iron_nugget: #3, 24535(13%)
minecraft.mined.crying_obsidian: #3, 168(16%)
minecraft.custom.interact_with_crafting_table: #2, 7862(8%)
minecraft.used.dark_oak_boat: #2, 9(18%)
minecraft.mined.stone_bricks: #3, 9600(13%)
minecraft.dropped.carrot_on_a_stick: #1, 1(50%)
minecraft.dropped.flower_banner_pattern: #1, 1(50%)
minecraft.used.ravager_spawn_egg: #1, 4(100%)
