stat, rank, value, (percentage) 
minecraft.crafted.red_wool: #2, 503(20%)
minecraft.mined.brain_coral_block: #2, 481(30%)
minecraft.used.orange_carpet: #2, 2755(19%)
minecraft.used.lime_concrete_powder: #2, 7813(17%)
minecraft.dropped.honey_block: #2, 384(27%)
minecraft.used.dragon_head: #1, 6(16%)
minecraft.mined.oak_fence: #1, 578(9%)
minecraft.used.andesite_stairs: #2, 391(19%)
minecraft.dropped.chainmail_chestplate: #2, 25(23%)
minecraft.used.chest_minecart: #2, 43(21%)
minecraft.used.pink_shulker_box: #2, 255(15%)
minecraft.picked_up.warped_pressure_plate: #1, 14(44%)
minecraft.crafted.golden_leggings: #2, 23(24%)
minecraft.used.polished_blackstone_bricks: #2, 5619(15%)
minecraft.used.jungle_log: #3, 3851(20%)
minecraft.crafted.golden_boots: #2, 23(20%)
minecraft.used.magenta_glazed_terracotta: #1, 63(53%)
minecraft.picked_up.pink_shulker_box: #2, 262(16%)
minecraft.used.jungle_leaves: #2, 3898(13%)
minecraft.used.white_carpet: #2, 5180(13%)
minecraft.used.nether_wart_block: #2, 2251(15%)
minecraft.crafted.golden_helmet: #2, 20(15%)
minecraft.dropped.iron_block: #2, 1736(14%)
minecraft.killed.piglin_brute: #1, 28(51%)
minecraft.mined.bee_nest: #2, 77(13%)
minecraft.killed.salmon: #3, 189(22%)
minecraft.crafted.cyan_carpet: #2, 1542(17%)
minecraft.picked_up.podzol: #2, 10233(14%)
minecraft.mined.orange_banner: #1, 6(50%)
minecraft.dropped.light_blue_banner: #1, 6(40%)
minecraft.crafted.turtle_helmet: #1, 359(100%)
minecraft.dropped.dried_kelp_block: #1, 960(66%)
minecraft.used.redstone_block: #2, 1264(12%)
minecraft.used.enchanting_table: #2, 16(14%)
minecraft.crafted.beehive: #2, 746(33%)
minecraft.crafted.lime_concrete_powder: #2, 7816(17%)
minecraft.custom.open_barrel: #2, 21427(11%)
minecraft.crafted.light_gray_dye: #2, 4254(13%)
minecraft.used.bubble_coral: #1, 14(39%)
minecraft.dropped.diamond: #2, 1656(13%)
minecraft.custom.interact_with_stonecutter: #2, 1047(13%)
minecraft.killed.bat: #2, 207(12%)
minecraft.custom.open_enderchest: #2, 11677(11%)
minecraft.used.apple: #2, 127(19%)
minecraft.mined.pink_shulker_box: #2, 253(15%)
minecraft.used.writable_book: #2, 522(13%)
minecraft.crafted.wooden_axe: #1, 3(16%)
minecraft.used.bread: #2, 575(14%)
minecraft.mined.white_stained_glass: #2, 1458(14%)
minecraft.picked_up.jungle_leaves: #2, 7662(12%)
minecraft.used.green_wool: #2, 968(18%)
minecraft.used.hopper: #2, 4906(12%)
minecraft.used.stone_pressure_plate: #2, 276(14%)
minecraft.used.stone_bricks: #2, 29219(12%)
minecraft.picked_up.tube_coral_block: #2, 432(28%)
minecraft.killed.turtle: #1, 8(18%)
minecraft.mined.tube_coral_block: #2, 434(28%)
minecraft.mined.hopper: #2, 1448(12%)
minecraft.used.dried_kelp: #1, 205(15%)
minecraft.custom.interact_with_loom: #2, 116(13%)
minecraft.mined.beacon: #2, 122(12%)
minecraft.used.sunflower: #2, 23(17%)
minecraft.picked_up.iron_bars: #2, 1299(12%)
minecraft.dropped.salmon: #2, 100(15%)
minecraft.mined.crimson_roots: #2, 446(12%)
minecraft.picked_up.jungle_sign: #2, 105(13%)
minecraft.picked_up.bee_nest: #2, 72(12%)
minecraft.used.birch_boat: #2, 54(14%)
minecraft.picked_up.basalt: #2, 14971(11%)
minecraft.used.fire_coral_fan: #2, 34(21%)
minecraft.dropped.leather_helmet: #2, 95(14%)
minecraft.picked_up.bow: #2, 709(10%)
minecraft.used.yellow_wool: #2, 823(17%)
minecraft.dropped.gold_nugget: #2, 2281(12%)
minecraft.used.yellow_bed: #2, 90(22%)
minecraft.crafted.stone_bricks: #2, 29816(11%)
minecraft.mined.potted_red_mushroom: #1, 2(33%)
minecraft.picked_up.leather: #2, 4684(11%)
minecraft.used.redstone: #2, 8248(10%)
minecraft.used.dark_oak_pressure_plate: #2, 14(22%)
minecraft.mined.jungle_fence_gate: #2, 64(22%)
minecraft.picked_up.yellow_bed: #2, 95(24%)
minecraft.mined.yellow_bed: #2, 92(24%)
minecraft.used.brown_mushroom: #2, 201(13%)
minecraft.used.brain_coral_fan: #2, 48(22%)
minecraft.used.polished_blackstone_button: #2, 209(15%)
minecraft.used.honeycomb_block: #2, 1916(22%)
minecraft.used.gilded_blackstone: #2, 89(17%)
minecraft.used.netherite_hoe: #2, 111814(19%)
minecraft.used.birch_fence_gate: #2, 311(15%)
minecraft.dropped.spruce_pressure_plate: #2, 40(21%)
minecraft.dropped.minecart: #2, 106(13%)
minecraft.used.scaffolding: #2, 24572(11%)
minecraft.crafted.stone_pressure_plate: #2, 331(11%)
minecraft.picked_up.golden_axe: #1, 3(75%)
minecraft.mined.jungle_wall_sign: #2, 38(18%)
minecraft.mined.brown_concrete_powder: #2, 83(13%)
minecraft.crafted.orange_carpet: #2, 2712(18%)
minecraft.picked_up.polished_granite_stairs: #2, 59(25%)
minecraft.used.iron_bars: #2, 3011(11%)
minecraft.killed_by.ender_dragon: #1, 4(36%)
minecraft.used.birch_button: #2, 104(16%)
minecraft.mined.podzol: #2, 8119(11%)
minecraft.used.jungle_sapling: #2, 501(17%)
minecraft.used.oak_leaves: #3, 31696(14%)
minecraft.mined.dragon_head: #1, 2(29%)
minecraft.picked_up.jungle_sapling: #3, 946(17%)
minecraft.picked_up.birch_fence_gate: #2, 54(15%)
minecraft.mined.piston: #2, 470(10%)
minecraft.picked_up.lime_glazed_terracotta: #1, 29(28%)
minecraft.picked_up.jungle_trapdoor: #2, 309(15%)
minecraft.mined.vine: #2, 2883(10%)
minecraft.crafted.magenta_banner: #1, 8(35%)
minecraft.crafted.yellow_dye: #3, 3486(15%)
minecraft.crafted.birch_button: #2, 109(17%)
minecraft.used.piston: #2, 1478(10%)
minecraft.picked_up.horn_coral_fan: #2, 130(15%)
minecraft.picked_up.jungle_log: #3, 20587(15%)
minecraft.mined.brown_shulker_box: #3, 601(16%)
minecraft.picked_up.brown_shulker_box: #3, 606(16%)
minecraft.picked_up.dragon_egg: #1, 2(67%)
minecraft.used.dragon_egg: #1, 2(67%)
minecraft.mined.green_concrete: #2, 1520(13%)
minecraft.mined.pumpkin_stem: #3, 68(22%)
minecraft.picked_up.scaffolding: #2, 23164(10%)
minecraft.picked_up.hopper: #2, 1433(9%)
minecraft.crafted.shears: #2, 1672(10%)
minecraft.crafted.orange_terracotta: #2, 760(23%)
minecraft.crafted.iron_ingot: #2, 54219(10%)
minecraft.mined.acacia_fence: #2, 52(18%)
minecraft.mined.jungle_leaves: #3, 13779(14%)
minecraft.used.brown_shulker_box: #3, 604(16%)
minecraft.picked_up.smooth_red_sandstone_stairs: #2, 43(28%)
minecraft.mined.birch_fence_gate: #2, 54(15%)
minecraft.used.ladder: #2, 992(9%)
minecraft.picked_up.white_stained_glass: #2, 1471(10%)
minecraft.picked_up.chainmail_helmet: #2, 13(12%)
minecraft.used.smooth_stone: #3, 18637(13%)
minecraft.used.flint_and_steel: #3, 884(13%)
minecraft.mined.enchanting_table: #2, 11(13%)
minecraft.used.dispenser: #2, 372(10%)
minecraft.picked_up.acacia_fence: #2, 52(16%)
minecraft.used.white_stained_glass: #2, 7884(10%)
minecraft.picked_up.bamboo: #3, 25975(13%)
minecraft.mined.smooth_red_sandstone_stairs: #2, 43(27%)
minecraft.used.crimson_sign: #2, 69(14%)
minecraft.crafted.nether_bricks: #3, 8008(15%)
minecraft.used.cyan_wool: #2, 472(12%)
minecraft.used.red_wool: #2, 1386(11%)
minecraft.used.cyan_concrete_powder: #3, 6660(15%)
minecraft.used.brick_slab: #2, 502(19%)
minecraft.used.yellow_glazed_terracotta: #2, 492(21%)
minecraft.used.nether_bricks: #3, 4724(13%)
minecraft.dropped.magma_cream: #3, 196(14%)
minecraft.crafted.dark_oak_pressure_plate: #2, 11(14%)
minecraft.killed_by.slime: #1, 1(20%)
minecraft.picked_up.enchanted_golden_apple: #1, 1(50%)
minecraft.picked_up.turtle_helmet: #1, 1(50%)
minecraft.broken.netherite_shovel: #1, 1(25%)
minecraft.crafted.golden_hoe: #1, 1(100%)
minecraft.crafted.flower_banner_pattern: #1, 1(20%)
minecraft.crafted.mojang_banner_pattern: #1, 1(50%)
minecraft.dropped.light_gray_banner: #1, 1(50%)
minecraft.dropped.yellow_bed: #1, 1(50%)
minecraft.killed_by.husk: #1, 1(33%)
minecraft.dropped.book: #3, 129(17%)
minecraft.picked_up.iron_helmet: #2, 38(9%)
minecraft.mined.bamboo: #3, 2153(13%)
minecraft.dropped.pink_concrete: #3, 252(21%)
minecraft.used.netherite_axe: #2, 56962(10%)
minecraft.used.horn_coral_fan: #2, 24(16%)
minecraft.used.gray_wool: #3, 4418(13%)
minecraft.picked_up.fire_coral_fan: #2, 109(13%)
minecraft.mined.polished_blackstone: #3, 863(13%)
minecraft.crafted.red_nether_bricks: #2, 3720(15%)
minecraft.used.tropical_fish_bucket: #2, 42(16%)
minecraft.mined.cracked_stone_bricks: #3, 246(13%)
minecraft.used.nether_quartz_ore: #3, 3036(13%)
minecraft.crafted.white_carpet: #3, 4641(13%)
minecraft.used.dried_kelp_block: #2, 7450(38%)
minecraft.mined.jungle_sapling: #2, 101(31%)
minecraft.used.stripped_spruce_log: #3, 317(14%)
minecraft.picked_up.clay_ball: #3, 5137(12%)
minecraft.picked_up.black_concrete_powder: #3, 10083(14%)
minecraft.used.light_blue_concrete_powder: #3, 6677(18%)
minecraft.mined.brown_stained_glass_pane: #2, 18(26%)
minecraft.used.bee_nest: #2, 69(15%)
minecraft.crafted.book: #3, 1408(13%)
minecraft.dropped.netherite_leggings: #2, 5(15%)
minecraft.used.blue_stained_glass_pane: #2, 193(20%)
minecraft.used.light_gray_bed: #2, 90(16%)
minecraft.crafted.jungle_boat: #2, 23(12%)
minecraft.picked_up.pufferfish_bucket: #2, 13(20%)
minecraft.crafted.golden_chestplate: #3, 24(20%)
minecraft.used.yellow_carpet: #2, 2106(10%)
minecraft.used.oak_stairs: #3, 423(12%)
minecraft.crafted.cracked_nether_bricks: #2, 320(30%)
minecraft.crafted.cyan_dye: #3, 6462(13%)
minecraft.crafted.polished_blackstone_brick_wall: #2, 246(16%)
minecraft.mined.cracked_nether_bricks: #2, 115(34%)
minecraft.mined.red_carpet: #3, 263(12%)
minecraft.picked_up.carrot: #3, 13389(11%)
minecraft.used.crimson_roots: #3, 34(16%)
