stat, rank, value, (percentage) 
minecraft.crafted.jungle_planks: #3, 32148(10%)
minecraft.picked_up.netherite_leggings: #3, 46(11%)
minecraft.used.cooked_porkchop: #3, 1544(10%)
minecraft.mined.sea_pickle: #3, 141(12%)
minecraft.picked_up.chiseled_sandstone: #3, 376(16%)
minecraft.used.acacia_stairs: #2, 289(10%)
minecraft.used.egg: #4, 1443(14%)
minecraft.custom.target_hit: #3, 1465(11%)
minecraft.picked_up.stone_axe: #2, 5(8%)
minecraft.mined.pink_tulip: #3, 78(12%)
minecraft.used.cooked_chicken: #3, 534(12%)
minecraft.used.potion: #3, 234(9%)
minecraft.crafted.warped_pressure_plate: #3, 42(25%)
minecraft.broken.iron_boots: #2, 3(30%)
minecraft.killed.zombie: #3, 3131(8%)
minecraft.mined.soul_lantern: #3, 56(10%)
minecraft.mined.stone_brick_slab: #3, 1226(10%)
minecraft.used.carved_pumpkin: #3, 65(15%)
minecraft.mined.warped_sign: #2, 2(17%)
minecraft.used.shears: #3, 67128(9%)
minecraft.picked_up.wither_rose: #3, 673(11%)
minecraft.used.red_stained_glass: #3, 3544(11%)
minecraft.broken.iron_helmet: #2, 2(14%)
minecraft.used.hay_block: #3, 186(10%)
minecraft.mined.chiseled_sandstone: #3, 298(16%)
minecraft.picked_up.crying_obsidian: #3, 232(9%)
minecraft.dropped.yellow_carpet: #2, 37(11%)
minecraft.picked_up.egg: #4, 2776(12%)
minecraft.used.spruce_door: #3, 66(10%)
minecraft.used.oak_boat: #3, 121(8%)
minecraft.used.chicken: #2, 4(27%)
minecraft.crafted.heavy_weighted_pressure_plate: #3, 86(10%)
minecraft.mined.oak_log: #3, 13511(9%)
minecraft.crafted.black_banner: #3, 139(15%)
minecraft.picked_up.golden_chestplate: #3, 38(9%)
minecraft.used.pink_tulip: #2, 28(11%)
minecraft.crafted.polished_blackstone_slab: #4, 3704(17%)
minecraft.mined.polished_diorite_slab: #2, 135(11%)
minecraft.broken.stone_hoe: #2, 4(13%)
minecraft.used.beetroot_seeds: #3, 661(16%)
minecraft.mined.oak_sapling: #3, 64(9%)
minecraft.used.green_carpet: #4, 1556(14%)
minecraft.used.apple: #3, 87(13%)
minecraft.dropped.bowl: #3, 10(13%)
minecraft.used.cut_red_sandstone_slab: #2, 8(24%)
minecraft.crafted.acacia_stairs: #2, 184(7%)
minecraft.mined.crimson_fence: #3, 35(12%)
minecraft.picked_up.acacia_slab: #3, 123(13%)
