stat, rank, value, (percentage) 
minecraft.broken.stone_sword: #2, 3(23%)
minecraft.mined.potted_cornflower: #2, 2(29%)
minecraft.picked_up.firework_star: #2, 65(29%)
minecraft.picked_up.oak_sign: #3, 416(9%)
minecraft.dropped.polished_granite_stairs: #2, 16(16%)
minecraft.picked_up.netherrack: #3, 96562(8%)
minecraft.mined.torch: #3, 4595(8%)
minecraft.mined.crimson_roots: #3, 332(9%)
minecraft.used.light_gray_concrete_powder: #3, 9139(9%)
minecraft.mined.wet_sponge: #3, 1436(11%)
minecraft.used.chiseled_stone_bricks: #3, 416(11%)
minecraft.crafted.black_dye: #3, 10827(9%)
minecraft.picked_up.peony: #3, 381(9%)
minecraft.dropped.peony: #3, 17(14%)
minecraft.used.chiseled_nether_bricks: #3, 295(12%)
minecraft.picked_up.yellow_dye: #3, 187(14%)
minecraft.used.bone_meal: #3, 27087(9%)
minecraft.crafted.furnace: #3, 784(8%)
minecraft.crafted.stone_brick_slab: #3, 4170(8%)
minecraft.mined.crimson_sign: #2, 3(13%)
minecraft.used.stripped_warped_stem: #3, 177(16%)
minecraft.crafted.daylight_detector: #3, 223(10%)
minecraft.used.orange_carpet: #3, 1561(10%)
minecraft.used.tropical_fish_bucket: #3, 41(16%)
minecraft.used.twisting_vines: #3, 185(12%)
minecraft.mined.end_stone_bricks: #2, 1418(5%)
minecraft.picked_up.end_stone_bricks: #2, 1522(5%)
minecraft.used.carrot: #3, 2399(8%)
minecraft.killed.slime: #2, 2051(4%)
minecraft.dropped.lily_of_the_valley: #3, 12(12%)
minecraft.used.dead_fire_coral_fan: #2, 3(19%)
minecraft.mined.bubble_column: #2, 1(25%)
minecraft.picked_up.mossy_cobblestone_slab: #3, 35(14%)
minecraft.dropped.magenta_concrete: #3, 40(25%)
minecraft.custom.interact_with_brewingstand: #3, 636(7%)
minecraft.dropped.white_bed: #3, 10(13%)
minecraft.picked_up.dead_fire_coral_fan: #2, 3(14%)
minecraft.mined.gravel: #4, 95935(11%)
minecraft.picked_up.cartography_table: #3, 19(9%)
minecraft.dropped.cut_red_sandstone: #2, 1(33%)
minecraft.used.crimson_fence: #3, 215(12%)
minecraft.used.diorite: #4, 2568(11%)
minecraft.picked_up.lilac: #3, 303(7%)
minecraft.picked_up.iron_ore: #3, 7277(7%)
minecraft.broken.stone_axe: #3, 3(14%)
minecraft.mined.iron_ore: #3, 6847(7%)
minecraft.used.horn_coral_fan: #3, 20(14%)
minecraft.used.stone_axe: #3, 432(7%)
minecraft.picked_up.rabbit_stew: #2, 3(9%)
minecraft.crafted.chiseled_quartz_block: #3, 386(11%)
minecraft.crafted.end_stone_brick_stairs: #2, 40(11%)
minecraft.dropped.black_stained_glass: #2, 74(5%)
minecraft.used.warped_slab: #4, 813(14%)
minecraft.dropped.acacia_fence_gate: #2, 7(27%)
minecraft.used.crimson_sign: #3, 48(9%)
minecraft.picked_up.pink_bed: #3, 8(12%)
