stat, rank, value, (percentage) 
minecraft.crafted.lime_wool: #6, 1(1%)
minecraft.crafted.cyan_concrete_powder: #6, 8(1%)
minecraft.mined.green_stained_glass: #6, 14(1%)
minecraft.picked_up.green_stained_glass: #6, 14(1%)
minecraft.picked_up.cracked_polished_blackstone_bricks: #6, 8(1%)
minecraft.picked_up.chiseled_stone_bricks: #6, 9(1%)
minecraft.used.warped_fence_gate: #6, 2(1%)
minecraft.crafted.blue_carpet: #6, 3(1%)
minecraft.picked_up.potato: #7, 2932(4%)
minecraft.mined.nether_gold_ore: #7, 150(5%)
minecraft.picked_up.lime_dye: #6, 2(0%)
minecraft.mined.birch_wall_sign: #7, 18(5%)
minecraft.picked_up.iron_pickaxe: #7, 9(5%)
minecraft.crafted.purple_concrete_powder: #6, 24(0%)
minecraft.used.spruce_stairs: #7, 371(4%)
minecraft.used.blue_carpet: #6, 1(0%)
minecraft.mined.blue_concrete: #6, 1(0%)
minecraft.picked_up.blue_concrete: #6, 1(0%)
minecraft.killed.guardian: #6, 2(0%)
minecraft.used.cut_sandstone: #6, 4(0%)
minecraft.picked_up.purple_concrete: #6, 1(0%)
minecraft.mined.purple_concrete: #6, 1(0%)
minecraft.used.orange_concrete_powder: #6, 1(0%)
minecraft.crafted.cooked_porkchop: #7, 30(5%)
minecraft.used.spruce_fence_gate: #7, 97(4%)
minecraft.crafted.spruce_fence_gate: #7, 91(4%)
minecraft.used.cobblestone_slab: #7, 256(4%)
minecraft.picked_up.glowstone_dust: #7, 165(4%)
minecraft.picked_up.stone_brick_stairs: #7, 87(4%)
minecraft.crafted.book: #7, 161(4%)
minecraft.crafted.cyan_dye: #7, 258(4%)
minecraft.killed.slime: #7, 293(3%)
minecraft.used.stone_brick_stairs: #7, 269(4%)
minecraft.picked_up.iron_trapdoor: #7, 37(3%)
minecraft.mined.light_gray_carpet: #7, 26(5%)
minecraft.mined.chiseled_sandstone: #7, 1(8%)
minecraft.picked_up.chiseled_sandstone: #7, 1(8%)
minecraft.used.pumpkin_seeds: #7, 72(4%)
minecraft.picked_up.emerald_ore: #7, 8(5%)
minecraft.used.peony: #7, 3(4%)
minecraft.dropped.poppy: #7, 883(2%)
minecraft.used.slime_block: #7, 186(3%)
minecraft.crafted.purple_dye: #7, 66(3%)
minecraft.mined.stone_brick_slab: #7, 94(3%)
minecraft.mined.deepslate_brick_wall: #7, 5(4%)
minecraft.used.red_dye: #7, 4(4%)
minecraft.crafted.polished_deepslate_slab: #7, 126(2%)
minecraft.used.detector_rail: #7, 4(3%)
minecraft.custom.damage_dealt: #7, 628900(2%)
minecraft.used.white_stained_glass: #7, 276(3%)
minecraft.mined.furnace: #8, 82(6%)
minecraft.mined.white_stained_glass: #7, 37(3%)
minecraft.used.apple: #7, 8(2%)
minecraft.used.torch: #8, 9308(5%)
minecraft.mined.nether_quartz_ore: #8, 1904(6%)
minecraft.mined.dark_oak_button: #7, 1(5%)
minecraft.picked_up.peony: #7, 25(2%)
minecraft.picked_up.netherite_sword: #7, 3(2%)
minecraft.crafted.hopper: #8, 661(5%)
minecraft.picked_up.spruce_button: #7, 6(2%)
minecraft.picked_up.stone_shovel: #7, 1(4%)
minecraft.crafted.copper_ingot: #8, 2333(5%)
minecraft.crafted.smooth_sandstone: #7, 256(3%)
minecraft.mined.iron_block: #8, 1481(5%)
minecraft.picked_up.diamond_horse_armor: #7, 1(3%)
minecraft.picked_up.pink_wool: #7, 29(2%)
minecraft.crafted.quartz_stairs: #7, 14(2%)
minecraft.picked_up.furnace: #8, 83(5%)
minecraft.crafted.nether_brick_fence: #7, 18(3%)
minecraft.picked_up.shulker_box: #8, 1248(5%)
minecraft.picked_up.coal: #8, 8589(5%)
minecraft.mined.red_shulker_box: #8, 120(6%)
minecraft.used.shulker_box: #8, 1189(4%)
minecraft.used.fishing_rod: #7, 15(1%)
minecraft.picked_up.red_shulker_box: #8, 120(6%)
minecraft.used.red_shulker_box: #8, 120(6%)
minecraft.mined.prismarine: #7, 63(1%)
minecraft.used.orange_wool: #7, 15(1%)
minecraft.crafted.paper: #8, 7764(4%)
minecraft.used.light_blue_wool: #7, 15(1%)
minecraft.crafted.blue_concrete_powder: #7, 8(1%)
minecraft.mined.red_tulip: #7, 2(1%)
minecraft.mined.brain_coral_wall_fan: #7, 8(1%)
minecraft.used.white_tulip: #7, 1(1%)
minecraft.crafted.oak_planks: #8, 7236(4%)
minecraft.killed.wither_skeleton: #7, 66(0%)
minecraft.killed.goat: #7, 1(1%)
