stat, rank, value, (percentage) 
minecraft.picked_up.lime_carpet: #2, 13(7%)
minecraft.used.red_wool: #4, 1633(13%)
minecraft.mined.dark_oak_sapling: #3, 13(10%)
minecraft.dropped.birch_sapling: #4, 114(15%)
minecraft.dropped.cake: #2, 1(14%)
minecraft.used.red_sandstone: #2, 72(5%)
minecraft.picked_up.crimson_pressure_plate: #2, 1(12%)
minecraft.used.waxed_weathered_cut_copper_stairs: #2, 13(6%)
minecraft.picked_up.emerald_ore: #3, 16(10%)
minecraft.mined.red_wall_banner: #2, 1(11%)
minecraft.used.crimson_pressure_plate: #2, 2(11%)
minecraft.picked_up.warped_roots: #4, 442(11%)
minecraft.picked_up.redstone_block: #4, 411(8%)
minecraft.dropped.red_concrete: #2, 43(5%)
minecraft.crafted.pink_shulker_box: #3, 2(13%)
minecraft.picked_up.warped_door: #3, 4(20%)
minecraft.crafted.crimson_pressure_plate: #2, 1(9%)
minecraft.mined.red_sandstone_stairs: #2, 4(6%)
minecraft.dropped.wooden_shovel: #3, 5(17%)
minecraft.custom.sneak_time: #5, 2599974(6%)
minecraft.dropped.acacia_fence: #2, 1(8%)
minecraft.picked_up.jungle_sapling: #3, 157(6%)
minecraft.used.red_sandstone_stairs: #2, 32(4%)
minecraft.dropped.dark_oak_door: #3, 2(22%)
minecraft.used.prismarine_brick_slab: #2, 12(4%)
minecraft.picked_up.warped_fence_gate: #3, 15(14%)
minecraft.crafted.orange_stained_glass_pane: #3, 16(18%)
minecraft.broken.wooden_hoe: #3, 2(18%)
minecraft.mined.stripped_spruce_log: #3, 260(5%)
minecraft.mined.cyan_stained_glass_pane: #2, 2(3%)
minecraft.mined.dark_oak_leaves: #3, 885(4%)
minecraft.used.dried_kelp_block: #2, 7(2%)
minecraft.mined.warped_sign: #3, 4(13%)
minecraft.used.jungle_sapling: #3, 85(7%)
minecraft.used.polished_granite_slab: #3, 41(12%)
minecraft.crafted.green_glazed_terracotta: #2, 4(2%)
minecraft.crafted.orange_glazed_terracotta: #2, 13(1%)
minecraft.picked_up.cyan_stained_glass_pane: #2, 2(1%)
minecraft.custom.crouch_one_cm: #4, 10217037(7%)
minecraft.used.deepslate_iron_ore: #4, 143(11%)
minecraft.used.spruce_door: #4, 52(10%)
minecraft.used.iron_leggings: #3, 2(11%)
minecraft.crafted.oak_pressure_plate: #3, 2(8%)
minecraft.used.mossy_cobblestone: #4, 507(12%)
minecraft.picked_up.stone_shovel: #3, 3(11%)
