stat, rank, value, (percentage) 
minecraft.picked_up.polished_blackstone_brick_wall: #1, 9(38%)
minecraft.killed_by.skeleton: #2, 13(17%)
minecraft.dropped.chorus_fruit: #1, 21(36%)
minecraft.dropped.deepslate_redstone_ore: #2, 20(35%)
minecraft.crafted.jukebox: #1, 3(30%)
minecraft.killed.squid: #3, 423(16%)
minecraft.dropped.stone_brick_wall: #2, 100(31%)
minecraft.used.golden_carrot: #2, 3842(11%)
minecraft.mined.cobbled_deepslate_stairs: #2, 48(20%)
minecraft.dropped.chest: #3, 81(17%)
minecraft.mined.blackstone_stairs: #1, 19(25%)
minecraft.mined.kelp: #2, 407(11%)
minecraft.mined.purple_stained_glass: #1, 28(57%)
minecraft.dropped.dead_tube_coral_block: #1, 4(57%)
minecraft.picked_up.cobbled_deepslate_wall: #2, 100(17%)
minecraft.crafted.oak_slab: #2, 1458(10%)
minecraft.mined.potted_cactus: #1, 2(33%)
minecraft.mined.dispenser: #2, 67(11%)
minecraft.used.jungle_boat: #2, 21(27%)
minecraft.used.polished_blackstone_stairs: #2, 977(18%)
minecraft.killed_by.creeper: #2, 16(12%)
minecraft.killed.sheep: #2, 54(12%)
minecraft.used.black_carpet: #2, 733(26%)
minecraft.used.cobbled_deepslate_stairs: #2, 414(16%)
minecraft.picked_up.cobbled_deepslate_slab: #3, 283(20%)
minecraft.dropped.end_stone: #2, 62(21%)
minecraft.crafted.gray_wool: #2, 417(18%)
minecraft.used.waxed_oxidized_cut_copper_stairs: #1, 19(76%)
minecraft.crafted.cooked_mutton: #2, 68(14%)
minecraft.dropped.light_blue_dye: #2, 56(42%)
minecraft.used.leather_chestplate: #1, 2(50%)
minecraft.picked_up.diamond_sword: #2, 55(9%)
minecraft.used.black_glazed_terracotta: #1, 53(50%)
minecraft.mined.obsidian: #3, 2363(15%)
minecraft.picked_up.gray_bed: #1, 53(74%)
minecraft.dropped.polished_deepslate_wall: #1, 70(36%)
minecraft.picked_up.cooked_chicken: #2, 193(15%)
minecraft.crafted.cooked_chicken: #2, 124(16%)
minecraft.crafted.acacia_boat: #2, 15(30%)
minecraft.dropped.medium_amethyst_bud: #1, 6(46%)
minecraft.crafted.white_stained_glass: #3, 2424(17%)
minecraft.used.white_stained_glass: #3, 2109(20%)
minecraft.mined.soul_wall_torch: #1, 2(33%)
minecraft.mined.purple_stained_glass_pane: #1, 4(44%)
minecraft.used.chainmail_leggings: #1, 2(67%)
minecraft.dropped.deepslate_brick_wall: #1, 4(67%)
minecraft.picked_up.ice: #2, 10136(14%)
minecraft.picked_up.polished_deepslate_wall: #2, 203(13%)
minecraft.mined.wither_skeleton_wall_skull: #1, 3(43%)
minecraft.picked_up.name_tag: #2, 144(10%)
minecraft.crafted.chest: #3, 4068(12%)
minecraft.mined.polished_blackstone_stairs: #2, 137(15%)
minecraft.used.stone_button: #2, 3134(9%)
minecraft.picked_up.dispenser: #3, 102(14%)
minecraft.dropped.white_shulker_box: #1, 2(25%)
minecraft.custom.trigger_trapped_chest: #1, 14(41%)
minecraft.picked_up.chorus_flower: #2, 34(19%)
minecraft.mined.cobbled_deepslate_wall: #2, 75(18%)
minecraft.used.elytra: #2, 26(13%)
minecraft.killed.husk: #2, 17(11%)
minecraft.used.dragon_head: #2, 5(21%)
minecraft.dropped.jungle_fence: #2, 50(23%)
minecraft.mined.andesite_stairs: #2, 24(19%)
minecraft.used.blackstone_stairs: #2, 130(23%)
minecraft.crafted.stone_button: #2, 3003(8%)
minecraft.picked_up.acacia_boat: #2, 15(21%)
minecraft.crafted.purpur_block: #1, 384(51%)
minecraft.killed_by.stray: #1, 1(100%)
minecraft.killed_by.hoglin: #1, 1(50%)
minecraft.broken.golden_leggings: #1, 1(20%)
minecraft.broken.leather_chestplate: #1, 1(50%)
minecraft.used.trapped_chest: #1, 2(100%)
minecraft.used.leather_helmet: #1, 1(14%)
minecraft.used.music_disc_13: #1, 3(50%)
minecraft.used.music_disc_cat: #1, 2(50%)
minecraft.crafted.waxed_oxidized_copper: #1, 268(100%)
minecraft.crafted.waxed_oxidized_cut_copper_stairs: #1, 20(100%)
minecraft.crafted.fire_charge: #1, 48(100%)
minecraft.crafted.trapped_chest: #1, 3(100%)
minecraft.dropped.waxed_cut_copper_slab: #1, 2(100%)
minecraft.dropped.netherite_hoe: #1, 1(25%)
minecraft.dropped.nether_star: #1, 1(25%)
minecraft.dropped.mycelium: #1, 1(50%)
minecraft.dropped.detector_rail: #1, 1(50%)
minecraft.dropped.gray_bed: #1, 58(100%)
minecraft.dropped.damaged_anvil: #1, 1(33%)
minecraft.dropped.charcoal: #1, 2(33%)
minecraft.mined.iron_door: #2, 18(11%)
minecraft.used.black_concrete: #3, 3280(15%)
minecraft.dropped.water_bucket: #2, 5(10%)
minecraft.mined.mossy_cobblestone: #2, 236(10%)
minecraft.picked_up.soul_lantern: #3, 98(18%)
minecraft.mined.scaffolding: #3, 4907(12%)
minecraft.crafted.birch_sign: #3, 183(13%)
minecraft.killed.chicken: #3, 171(13%)
minecraft.crafted.black_carpet: #2, 921(17%)
minecraft.picked_up.flint: #3, 1088(11%)
minecraft.mined.polished_deepslate_stairs: #3, 236(14%)
minecraft.picked_up.white_stained_glass: #3, 284(17%)
minecraft.used.cut_copper_stairs: #2, 452(14%)
minecraft.used.soul_torch: #2, 68(23%)
minecraft.mined.glowstone: #3, 570(11%)
minecraft.picked_up.soul_torch: #2, 55(23%)
minecraft.used.repeater: #3, 851(12%)
minecraft.used.deepslate_tile_slab: #3, 3192(12%)
minecraft.picked_up.nether_wart: #3, 3012(12%)
minecraft.killed.spider: #3, 277(11%)
minecraft.used.diamond_sword: #3, 66142(10%)
minecraft.dropped.arrow: #3, 7428(11%)
minecraft.used.polished_blackstone: #3, 2473(13%)
minecraft.crafted.observer: #3, 571(11%)
minecraft.picked_up.golden_sword: #3, 24(18%)
minecraft.picked_up.black_bed: #2, 63(25%)
minecraft.dropped.potion: #2, 45(9%)
minecraft.crafted.slime_ball: #2, 639(10%)
minecraft.used.gravel: #3, 1851(11%)
minecraft.mined.nether_wart: #3, 721(12%)
minecraft.picked_up.music_disc_13: #2, 3(17%)
minecraft.used.polished_blackstone_wall: #3, 280(20%)
minecraft.picked_up.snowball: #4, 21743(17%)
minecraft.used.activator_rail: #2, 25(23%)
minecraft.custom.inspect_hopper: #3, 1985(10%)
minecraft.mined.black_bed: #2, 60(27%)
minecraft.used.diamond_leggings: #2, 5(9%)
minecraft.crafted.hopper: #3, 1256(10%)
minecraft.used.hopper: #3, 1607(10%)
minecraft.dropped.gold_nugget: #3, 1425(12%)
minecraft.killed.magma_cube: #3, 880(10%)
minecraft.dropped.prismarine_bricks: #2, 64(16%)
minecraft.used.mossy_cobblestone_slab: #2, 280(16%)
minecraft.dropped.piston: #3, 28(18%)
minecraft.picked_up.diamond_leggings: #3, 41(11%)
minecraft.used.pink_shulker_box: #2, 59(17%)
minecraft.mined.sticky_piston: #3, 118(11%)
minecraft.crafted.birch_boat: #2, 25(10%)
minecraft.mined.warped_planks: #2, 162(13%)
minecraft.used.comparator: #3, 349(11%)
minecraft.used.lightning_rod: #3, 258(12%)
minecraft.killed_by.magma_cube: #2, 4(11%)
minecraft.used.jukebox: #2, 4(21%)
minecraft.picked_up.redstone: #3, 13884(9%)
minecraft.crafted.oxidized_cut_copper_slab: #2, 124(15%)
minecraft.mined.birch_fence_gate: #2, 5(21%)
minecraft.picked_up.diamond: #3, 1324(9%)
minecraft.picked_up.magenta_stained_glass: #2, 17(13%)
minecraft.mined.white_wall_banner: #2, 4(16%)
minecraft.used.birch_fence_gate: #2, 11(24%)
minecraft.picked_up.mutton: #3, 86(11%)
minecraft.picked_up.acacia_planks: #3, 300(14%)
minecraft.picked_up.purple_stained_glass: #2, 19(28%)
minecraft.used.black_stained_glass: #3, 16049(17%)
minecraft.crafted.oxidized_cut_copper_stairs: #2, 121(20%)
minecraft.mined.ice: #3, 10358(14%)
minecraft.picked_up.birch_fence_gate: #2, 5(20%)
minecraft.dropped.dark_oak_boat: #2, 17(20%)
minecraft.custom.fall_one_cm: #4, 9210053(8%)
minecraft.used.scaffolding: #3, 10339(10%)
minecraft.mined.dark_prismarine_slab: #2, 10(34%)
minecraft.picked_up.scaffolding: #3, 9908(9%)
minecraft.mined.acacia_planks: #3, 300(20%)
minecraft.dropped.ghast_tear: #2, 65(22%)
minecraft.mined.deepslate: #3, 33070(9%)
minecraft.used.diorite_slab: #2, 99(17%)
minecraft.dropped.kelp: #3, 827(14%)
minecraft.crafted.white_banner: #3, 42(23%)
minecraft.crafted.diamond_pickaxe: #3, 24(9%)
minecraft.mined.light_blue_stained_glass: #2, 159(13%)
minecraft.mined.cobblestone_wall: #2, 79(6%)
minecraft.used.leather_boots: #2, 8(14%)
minecraft.crafted.activator_rail: #2, 24(21%)
minecraft.crafted.detector_rail: #3, 48(21%)
minecraft.crafted.birch_fence_gate: #2, 10(21%)
minecraft.mined.black_shulker_box: #3, 109(19%)
minecraft.dropped.deepslate_tile_stairs: #2, 16(18%)
minecraft.mined.pink_shulker_box: #2, 59(18%)
minecraft.custom.enchant_item: #3, 226(9%)
minecraft.picked_up.pink_shulker_box: #2, 59(17%)
minecraft.crafted.nether_wart_block: #2, 4(40%)
minecraft.dropped.golden_sword: #3, 18(15%)
minecraft.crafted.slime_block: #2, 2026(7%)
minecraft.dropped.spruce_fence_gate: #2, 14(24%)
minecraft.picked_up.lime_shulker_box: #2, 253(6%)
minecraft.dropped.fire_coral_block: #2, 5(38%)
minecraft.picked_up.netherite_helmet: #3, 16(15%)
minecraft.crafted.acacia_fence_gate: #2, 20(13%)
minecraft.crafted.lightning_rod: #3, 193(10%)
minecraft.mined.lime_shulker_box: #2, 242(6%)
minecraft.used.birch_sign: #3, 137(9%)
minecraft.mined.copper_block: #3, 217(10%)
minecraft.picked_up.shield: #3, 17(11%)
minecraft.crafted.gold_ingot: #4, 23583(12%)
minecraft.picked_up.mossy_cobblestone: #3, 341(11%)
minecraft.dropped.deepslate_brick_slab: #3, 60(19%)
minecraft.mined.purple_bed: #2, 6(22%)
minecraft.used.waxed_exposed_copper: #2, 30(28%)
minecraft.picked_up.music_disc_cat: #2, 2(10%)
minecraft.crafted.diamond_sword: #3, 8(8%)
minecraft.used.andesite_wall: #3, 335(14%)
minecraft.mined.lightning_rod: #3, 69(11%)
minecraft.crafted.black_stained_glass: #3, 11024(11%)
