stat, rank, value, (percentage) 
minecraft.killed.creeper: #7, 266(4%)
minecraft.mined.wall_torch: #7, 355(4%)
minecraft.mined.white_tulip: #6, 4(2%)
minecraft.dropped.spore_blossom: #6, 1(2%)
minecraft.picked_up.podzol: #7, 316(5%)
minecraft.dropped.dark_oak_button: #6, 1(1%)
minecraft.crafted.chainmail_boots: #6, 1(1%)
minecraft.used.ender_chest: #7, 218(4%)
minecraft.mined.deepslate_tile_slab: #7, 196(5%)
minecraft.used.sandstone_slab: #7, 173(7%)
minecraft.used.cobbled_deepslate_slab: #7, 393(5%)
minecraft.dropped.deepslate_tile_stairs: #6, 1(1%)
minecraft.used.pink_tulip: #6, 1(1%)
minecraft.used.crossbow: #6, 2(1%)
minecraft.mined.ender_chest: #7, 214(4%)
minecraft.crafted.stone_bricks: #7, 5656(4%)
minecraft.dropped.deepslate_bricks: #6, 2(0%)
minecraft.dropped.jungle_trapdoor: #6, 1(0%)
minecraft.used.dark_oak_leaves: #6, 4(0%)
minecraft.crafted.netherite_ingot: #7, 18(7%)
minecraft.picked_up.end_rod: #7, 209(5%)
minecraft.crafted.packed_ice: #6, 1(0%)
minecraft.used.brewing_stand: #7, 13(4%)
minecraft.mined.brewing_stand: #7, 11(5%)
minecraft.crafted.ender_chest: #7, 11(4%)
minecraft.used.flowering_azalea_leaves: #7, 110(4%)
minecraft.mined.tall_seagrass: #7, 110(3%)
minecraft.dropped.glass: #7, 315(4%)
minecraft.crafted.netherite_pickaxe: #7, 3(7%)
minecraft.picked_up.smooth_sandstone_stairs: #7, 70(4%)
minecraft.mined.smooth_sandstone_stairs: #7, 65(4%)
minecraft.crafted.black_dye: #7, 1057(3%)
minecraft.used.smooth_sandstone_slab: #7, 329(5%)
minecraft.dropped.netherite_pickaxe: #7, 4(4%)
minecraft.picked_up.light_gray_concrete: #7, 189(4%)
minecraft.picked_up.glow_lichen: #7, 845(3%)
minecraft.mined.tnt: #7, 18(4%)
minecraft.picked_up.diamond_block: #7, 37(3%)
minecraft.mined.white_concrete: #7, 1503(3%)
minecraft.picked_up.tropical_fish: #7, 7(4%)
minecraft.picked_up.yellow_bed: #7, 8(3%)
minecraft.mined.yellow_bed: #7, 8(3%)
minecraft.crafted.light_gray_concrete_powder: #7, 576(3%)
minecraft.dropped.raw_copper: #7, 45(4%)
minecraft.picked_up.white_concrete_powder: #7, 260(3%)
minecraft.used.netherite_shovel: #7, 33678(4%)
minecraft.dropped.salmon: #7, 2(4%)
minecraft.picked_up.birch_log: #8, 2309(6%)
minecraft.dropped.chainmail_helmet: #7, 3(4%)
minecraft.mined.smoker: #7, 2(3%)
minecraft.picked_up.ghast_tear: #7, 13(2%)
minecraft.mined.dispenser: #8, 35(6%)
minecraft.dropped.deepslate_coal_ore: #7, 3(3%)
minecraft.crafted.spruce_wood: #7, 111(3%)
minecraft.mined.light_gray_concrete: #7, 97(2%)
minecraft.dropped.slime_block: #7, 64(4%)
minecraft.picked_up.jungle_leaves: #7, 56(2%)
minecraft.picked_up.cod: #7, 201(1%)
minecraft.used.netherrack: #8, 2673(5%)
minecraft.picked_up.saddle: #7, 8(2%)
minecraft.crafted.golden_leggings: #7, 1(4%)
minecraft.mined.red_concrete_powder: #7, 3(3%)
minecraft.used.crafting_table: #8, 179(5%)
minecraft.used.black_wool: #7, 149(1%)
minecraft.mined.smooth_sandstone_slab: #7, 16(1%)
minecraft.dropped.bone_meal: #7, 1079(1%)
minecraft.killed.cow: #8, 330(5%)
minecraft.picked_up.dark_oak_button: #7, 2(2%)
minecraft.dropped.birch_leaves: #7, 11(1%)
minecraft.used.twisting_vines: #7, 24(2%)
minecraft.picked_up.white_terracotta: #7, 104(1%)
minecraft.crafted.raw_gold: #7, 99(2%)
minecraft.used.lily_of_the_valley: #7, 4(2%)
minecraft.picked_up.sandstone: #8, 5800(5%)
minecraft.crafted.jungle_trapdoor: #7, 36(1%)
