stat, rank, value, (percentage) 
minecraft.mined.brick_slab: #2, 9(17%)
minecraft.mined.orange_stained_glass: #2, 14(45%)
minecraft.picked_up.cobblestone_stairs: #3, 90(11%)
minecraft.mined.end_rod: #3, 408(11%)
minecraft.mined.jungle_wood: #2, 15(32%)
minecraft.picked_up.acacia_leaves: #2, 301(11%)
minecraft.mined.brown_candle: #2, 5(42%)
minecraft.dropped.acacia_leaves: #2, 29(17%)
minecraft.used.white_banner: #3, 30(14%)
minecraft.picked_up.light_gray_bed: #2, 15(39%)
minecraft.used.snowball: #3, 459(11%)
minecraft.dropped.jungle_slab: #2, 9(16%)
minecraft.mined.mossy_stone_brick_stairs: #2, 22(13%)
minecraft.crafted.cyan_concrete_powder: #2, 128(19%)
minecraft.used.light_gray_banner: #2, 5(28%)
minecraft.dropped.gold_ore: #2, 7(14%)
minecraft.killed.shulker: #3, 364(12%)
minecraft.used.black_glazed_terracotta: #2, 38(36%)
minecraft.dropped.compass: #2, 23(21%)
minecraft.picked_up.compass: #2, 45(15%)
minecraft.crafted.white_concrete: #2, 240(34%)
minecraft.picked_up.iron_door: #3, 20(11%)
minecraft.dropped.spruce_leaves: #3, 271(15%)
minecraft.picked_up.birch_pressure_plate: #2, 1(50%)
minecraft.dropped.stripped_birch_wood: #2, 1(50%)
minecraft.killed_by.endermite: #2, 1(50%)
minecraft.crafted.emerald: #3, 32229(10%)
minecraft.mined.nether_bricks: #4, 1055(14%)
minecraft.crafted.leather_chestplate: #3, 26(16%)
minecraft.used.oak_fence: #3, 351(8%)
minecraft.picked_up.end_rod: #3, 397(9%)
minecraft.picked_up.mossy_cobblestone_slab: #2, 104(11%)
minecraft.mined.hay_block: #3, 201(8%)
minecraft.used.oak_stairs: #3, 272(11%)
minecraft.mined.nether_brick_slab: #3, 17(17%)
minecraft.mined.stone_brick_stairs: #3, 135(9%)
minecraft.crafted.stripped_birch_wood: #2, 48(29%)
minecraft.picked_up.blue_orchid: #3, 98(14%)
minecraft.dropped.yellow_candle: #2, 12(43%)
minecraft.used.cyan_concrete_powder: #2, 86(17%)
minecraft.picked_up.acacia_wood: #2, 60(14%)
minecraft.crafted.acacia_sign: #2, 30(17%)
minecraft.used.chiseled_quartz_block: #2, 38(16%)
minecraft.mined.stripped_dark_oak_wood: #3, 381(16%)
minecraft.crafted.stripped_dark_oak_wood: #2, 168(20%)
minecraft.used.yellow_terracotta: #3, 237(14%)
minecraft.mined.chiseled_quartz_block: #2, 4(15%)
minecraft.mined.mossy_stone_bricks: #3, 161(12%)
minecraft.used.acacia_leaves: #2, 2(18%)
minecraft.crafted.smooth_quartz_slab: #3, 258(19%)
minecraft.used.totem_of_undying: #2, 4(14%)
minecraft.picked_up.music_disc_far: #2, 2(14%)
minecraft.used.yellow_carpet: #2, 50(9%)
minecraft.used.acacia_sign: #2, 24(14%)
minecraft.crafted.mossy_stone_bricks: #2, 1022(5%)
minecraft.mined.light_blue_wool: #3, 90(15%)
minecraft.dropped.jungle_door: #2, 1(33%)
minecraft.dropped.green_concrete: #2, 1(33%)
minecraft.mined.acacia_sign: #2, 1(33%)
minecraft.picked_up.purpur_pillar: #3, 44(10%)
minecraft.mined.piston_head: #3, 7(9%)
minecraft.picked_up.chiseled_quartz_block: #2, 8(12%)
minecraft.used.warped_fence_gate: #3, 57(20%)
minecraft.used.iron_door: #4, 42(13%)
minecraft.dropped.magenta_stained_glass: #2, 12(12%)
minecraft.dropped.gray_carpet: #3, 63(22%)
minecraft.picked_up.scute: #2, 4(29%)
minecraft.crafted.polished_granite_stairs: #2, 24(11%)
minecraft.used.bookshelf: #4, 746(11%)
minecraft.mined.dark_oak_wood: #3, 70(14%)
minecraft.picked_up.warped_trapdoor: #3, 33(11%)
minecraft.mined.small_dripleaf: #3, 4(14%)
minecraft.picked_up.mossy_cobblestone_stairs: #3, 32(15%)
minecraft.mined.bookshelf: #4, 721(13%)
minecraft.mined.purpur_pillar: #3, 47(9%)
minecraft.mined.andesite_stairs: #3, 17(13%)
minecraft.dropped.netherite_leggings: #3, 3(14%)
minecraft.used.cyan_bed: #2, 12(5%)
minecraft.mined.iron_bars: #4, 100(11%)
minecraft.dropped.jungle_trapdoor: #2, 35(7%)
minecraft.used.brown_bed: #2, 6(10%)
minecraft.crafted.black_glazed_terracotta: #2, 120(13%)
minecraft.picked_up.clock: #3, 53(9%)
minecraft.mined.cyan_concrete: #2, 65(13%)
minecraft.picked_up.cyan_concrete: #2, 65(13%)
minecraft.mined.iron_trapdoor: #4, 120(12%)
minecraft.used.nether_brick_slab: #3, 130(14%)
minecraft.crafted.mossy_stone_brick_stairs: #2, 200(5%)
minecraft.used.brick_slab: #3, 160(17%)
