stat, rank, value, (percentage) 
minecraft.mined.spruce_fence_gate: #5, 37(6%)
minecraft.crafted.lantern: #5, 284(5%)
minecraft.picked_up.black_stained_glass_pane: #5, 91(12%)
minecraft.used.shroomlight: #5, 323(5%)
minecraft.picked_up.chiseled_stone_bricks: #4, 14(1%)
minecraft.dropped.wooden_pickaxe: #5, 2(7%)
minecraft.dropped.poppy: #5, 1814(4%)
minecraft.crafted.cauldron: #5, 196(5%)
minecraft.used.packed_ice: #5, 547(6%)
minecraft.dropped.pufferfish: #4, 1(1%)
minecraft.crafted.diamond_leggings: #5, 3(4%)
minecraft.mined.light_blue_concrete_powder: #4, 1(0%)
minecraft.used.copper_ore: #5, 369(5%)
minecraft.picked_up.deepslate_brick_stairs: #5, 93(6%)
minecraft.crafted.soul_campfire: #5, 38(14%)
minecraft.used.dark_oak_sign: #5, 112(4%)
minecraft.picked_up.glow_lichen: #5, 1206(4%)
minecraft.dropped.iron_bars: #5, 54(10%)
minecraft.mined.polished_basalt: #5, 74(4%)
minecraft.picked_up.smooth_sandstone_slab: #5, 66(5%)
minecraft.dropped.cornflower: #5, 9(9%)
minecraft.used.spruce_fence_gate: #6, 179(8%)
minecraft.used.snowball: #6, 382(9%)
minecraft.broken.diamond_shovel: #5, 1(11%)
minecraft.picked_up.smoker: #5, 6(6%)
minecraft.custom.swim_one_cm: #6, 3380568(6%)
minecraft.used.deepslate_coal_ore: #6, 192(9%)
minecraft.picked_up.polished_basalt: #5, 73(4%)
minecraft.used.stone_stairs: #6, 298(8%)
minecraft.picked_up.diamond_block: #5, 43(3%)
minecraft.mined.andesite: #6, 11107(6%)
minecraft.picked_up.polished_blackstone_wall: #5, 13(7%)
minecraft.used.warped_fungus: #5, 24(6%)
minecraft.picked_up.cooked_porkchop: #5, 53(4%)
minecraft.mined.oak_log: #6, 4433(6%)
minecraft.mined.blackstone_wall: #5, 6(8%)
minecraft.picked_up.big_dripleaf: #5, 452(4%)
minecraft.used.deepslate_tiles: #6, 2519(6%)
minecraft.killed.trader_llama: #6, 14(8%)
minecraft.mined.diorite: #6, 9334(6%)
minecraft.crafted.barrel: #6, 196(6%)
minecraft.picked_up.deepslate_coal_ore: #6, 273(7%)
minecraft.dropped.cooked_chicken: #5, 13(4%)
minecraft.crafted.netherite_helmet: #5, 1(7%)
minecraft.dropped.white_tulip: #5, 1(7%)
minecraft.picked_up.polished_blackstone: #6, 195(7%)
minecraft.picked_up.copper_ore: #6, 644(6%)
minecraft.used.oak_trapdoor: #6, 228(6%)
minecraft.mined.deepslate_coal_ore: #6, 735(6%)
minecraft.used.enchanting_table: #6, 4(7%)
minecraft.crafted.scaffolding: #6, 990(7%)
minecraft.picked_up.orange_concrete: #5, 91(5%)
minecraft.dropped.magma_cream: #6, 53(7%)
minecraft.used.baked_potato: #6, 577(6%)
minecraft.picked_up.smooth_stone: #6, 442(6%)
minecraft.crafted.red_wool: #5, 32(3%)
minecraft.mined.blast_furnace: #6, 10(7%)
minecraft.dropped.stone_brick_slab: #5, 35(3%)
minecraft.picked_up.blackstone_wall: #5, 6(5%)
minecraft.picked_up.netherrack: #6, 15282(5%)
minecraft.crafted.end_rod: #5, 128(3%)
minecraft.killed.wandering_trader: #6, 6(8%)
minecraft.used.dark_oak_slab: #6, 549(6%)
minecraft.picked_up.deepslate_copper_ore: #6, 31(7%)
minecraft.mined.sea_lantern: #6, 65(6%)
minecraft.used.purple_candle: #5, 4(4%)
minecraft.crafted.deepslate_brick_slab: #6, 72(8%)
minecraft.mined.black_wool: #6, 36(9%)
minecraft.crafted.red_carpet: #5, 27(2%)
minecraft.used.weathered_cut_copper: #5, 1(5%)
minecraft.picked_up.ink_sac: #6, 585(5%)
minecraft.used.hopper: #6, 740(5%)
minecraft.crafted.map: #5, 47(1%)
minecraft.crafted.enchanting_table: #6, 2(6%)
minecraft.dropped.red_terracotta: #5, 6(2%)
minecraft.killed.cat: #5, 1(3%)
minecraft.crafted.blackstone_wall: #5, 9(2%)
minecraft.dropped.suspicious_stew: #5, 1(2%)
minecraft.used.tube_coral: #5, 2(1%)
minecraft.mined.granite_slab: #5, 1(1%)
minecraft.dropped.lapis_lazuli: #6, 39(7%)
minecraft.dropped.prismarine: #5, 3(1%)
minecraft.mined.stripped_crimson_stem: #5, 4(1%)
minecraft.picked_up.potato: #6, 2944(4%)
minecraft.picked_up.stripped_crimson_stem: #5, 4(1%)
minecraft.picked_up.light_blue_concrete_powder: #5, 1(0%)
minecraft.used.raw_copper_block: #5, 4(0%)
minecraft.used.tnt: #6, 435(5%)
minecraft.crafted.soul_torch: #6, 176(6%)
minecraft.mined.gravel: #6, 8283(3%)
minecraft.mined.oxeye_daisy: #6, 28(5%)
minecraft.mined.spruce_button: #6, 4(6%)
minecraft.crafted.birch_stairs: #6, 80(6%)
minecraft.picked_up.netherite_chestplate: #6, 1(14%)
minecraft.dropped.repeater: #6, 22(7%)
minecraft.used.dark_oak_door: #6, 11(6%)
minecraft.mined.lily_of_the_valley: #6, 11(5%)
minecraft.used.black_stained_glass_pane: #6, 274(6%)
minecraft.picked_up.poisonous_potato: #6, 16(4%)
minecraft.mined.oak_button: #6, 2(8%)
minecraft.crafted.deepslate_tile_slab: #6, 226(3%)
minecraft.mined.redstone_block: #6, 50(3%)
minecraft.used.light_gray_concrete_powder: #6, 514(3%)
minecraft.dropped.white_carpet: #6, 7(5%)
minecraft.crafted.soul_lantern: #6, 69(4%)
minecraft.dropped.axolotl_bucket: #6, 2(7%)
minecraft.mined.polished_blackstone_slab: #6, 32(4%)
minecraft.crafted.netherite_axe: #6, 1(7%)
minecraft.used.lantern: #7, 276(7%)
minecraft.mined.white_wool: #6, 46(2%)
minecraft.dropped.bread: #6, 230(3%)
minecraft.dropped.dark_oak_sign: #6, 4(4%)
minecraft.used.cyan_shulker_box: #6, 19(6%)
minecraft.mined.torch: #7, 1343(6%)
minecraft.killed_by.iron_golem: #6, 1(8%)
minecraft.picked_up.cyan_shulker_box: #6, 18(6%)
minecraft.mined.chorus_plant: #6, 14(3%)
minecraft.mined.cyan_shulker_box: #6, 18(6%)
minecraft.dropped.cobblestone: #7, 5135(6%)
minecraft.used.bone_block: #7, 360(8%)
minecraft.used.iron_leggings: #6, 1(6%)
minecraft.custom.crouch_one_cm: #7, 7529627(5%)
minecraft.crafted.diamond_boots: #7, 5(5%)
minecraft.dropped.quartz: #6, 68(3%)
minecraft.crafted.cyan_shulker_box: #6, 1(6%)
minecraft.used.bow: #7, 2353(6%)
minecraft.crafted.netherite_sword: #6, 1(7%)
minecraft.picked_up.chorus_fruit: #6, 125(3%)
minecraft.picked_up.oak_log: #7, 4451(5%)
minecraft.picked_up.peony: #6, 29(2%)
minecraft.mined.nether_quartz_ore: #7, 1918(6%)
minecraft.picked_up.andesite: #7, 8594(5%)
minecraft.mined.polished_blackstone_bricks: #6, 39(3%)
minecraft.picked_up.pufferfish: #6, 7(3%)
minecraft.mined.iron_bars: #7, 57(6%)
minecraft.dropped.deepslate_coal_ore: #6, 3(3%)
minecraft.crafted.arrow: #6, 64(4%)
minecraft.used.redstone_ore: #7, 285(6%)
minecraft.dropped.redstone_ore: #6, 4(3%)
minecraft.dropped.iron_block: #6, 109(2%)
minecraft.picked_up.iron_ore: #7, 1292(5%)
minecraft.mined.diamond_ore: #7, 293(5%)
minecraft.crafted.coal: #7, 3375(5%)
minecraft.crafted.cooked_cod: #6, 15(2%)
minecraft.killed.enderman: #7, 20670(6%)
minecraft.crafted.golden_leggings: #6, 1(4%)
minecraft.picked_up.polished_blackstone_bricks: #6, 39(2%)
minecraft.used.red_carpet: #6, 20(2%)
minecraft.crafted.leather_chestplate: #6, 3(2%)
minecraft.picked_up.diorite: #7, 7551(5%)
minecraft.used.grass_block: #7, 8726(5%)
minecraft.dropped.potato: #6, 538(1%)
minecraft.killed.pillager: #6, 36(1%)
minecraft.mined.redstone_ore: #7, 1195(5%)
minecraft.crafted.dark_oak_slab: #7, 696(5%)
minecraft.mined.oak_trapdoor: #7, 64(5%)
minecraft.picked_up.polished_granite_slab: #6, 7(2%)
minecraft.used.polished_blackstone: #7, 1063(6%)
minecraft.dropped.fishing_rod: #6, 1(3%)
minecraft.picked_up.nether_star: #6, 2(1%)
minecraft.used.tropical_fish_bucket: #6, 1(3%)
minecraft.crafted.spore_blossom: #6, 16(2%)
minecraft.dropped.moss_carpet: #7, 106(6%)
minecraft.used.white_tulip: #6, 2(2%)
minecraft.dropped.sticky_piston: #6, 2(3%)
minecraft.dropped.oak_button: #6, 1(2%)
minecraft.killed.phantom: #7, 52(5%)
minecraft.killed.tropical_fish: #6, 1(2%)
minecraft.used.kelp: #7, 475(5%)
minecraft.dropped.spruce_leaves: #6, 15(1%)
minecraft.used.polished_blackstone_brick_stairs: #6, 48(1%)
minecraft.used.powder_snow_bucket: #6, 7(1%)
minecraft.dropped.packed_ice: #6, 5(1%)
minecraft.mined.prismarine_bricks: #6, 41(0%)
minecraft.picked_up.brown_dye: #6, 2(1%)
minecraft.picked_up.lapis_ore: #7, 71(5%)
