stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_fence_gate: #2, 50(18%)
minecraft.picked_up.cyan_concrete_powder: #1, 70(91%)
minecraft.dropped.stripped_spruce_wood: #1, 10(91%)
minecraft.used.stripped_birch_wood: #1, 99(36%)
minecraft.mined.quartz_bricks: #1, 18(90%)
minecraft.picked_up.dark_oak_door: #1, 12(16%)
minecraft.crafted.bookshelf: #3, 1241(15%)
minecraft.crafted.crimson_hyphae: #2, 120(35%)
minecraft.crafted.acacia_sapling: #1, 8(89%)
minecraft.crafted.stone_stairs: #2, 816(15%)
minecraft.picked_up.diamond_axe: #2, 63(11%)
minecraft.used.gold_ore: #2, 334(14%)
minecraft.dropped.map: #1, 68(57%)
minecraft.picked_up.quartz_bricks: #1, 11(85%)
minecraft.mined.bee_nest: #2, 22(17%)
minecraft.crafted.light_blue_terracotta: #2, 580(24%)
minecraft.mined.cyan_carpet: #1, 14(56%)
minecraft.used.brewing_stand: #2, 36(11%)
minecraft.used.green_carpet: #2, 169(21%)
minecraft.dropped.dragon_egg: #1, 5(56%)
minecraft.mined.soul_campfire: #1, 2(33%)
minecraft.picked_up.spider_eye: #2, 628(11%)
minecraft.custom.drop: #2, 9506(9%)
minecraft.picked_up.dark_oak_trapdoor: #2, 126(12%)
minecraft.picked_up.bell: #2, 36(22%)
minecraft.crafted.deepslate_tile_wall: #2, 168(15%)
minecraft.crafted.spruce_button: #2, 170(14%)
minecraft.picked_up.brick_wall: #2, 24(32%)
minecraft.picked_up.apple: #2, 504(10%)
minecraft.picked_up.polished_diorite: #2, 280(15%)
minecraft.used.diamond_axe: #2, 38628(9%)
minecraft.picked_up.cyan_glazed_terracotta: #1, 11(79%)
minecraft.dropped.rail: #3, 121(15%)
minecraft.picked_up.blue_stained_glass_pane: #1, 14(39%)
minecraft.dropped.observer: #2, 64(18%)
minecraft.picked_up.diamond_boots: #2, 48(11%)
minecraft.mined.light_gray_concrete_powder: #2, 105(18%)
minecraft.dropped.oak_door: #1, 3(21%)
minecraft.used.magenta_bed: #1, 3(75%)
minecraft.crafted.crimson_door: #1, 6(25%)
minecraft.crafted.magenta_bed: #1, 3(75%)
minecraft.dropped.stripped_dark_oak_wood: #1, 4(50%)
minecraft.dropped.white_glazed_terracotta: #1, 3(75%)
minecraft.crafted.deepslate_tiles: #3, 2036(17%)
minecraft.mined.black_banner: #1, 4(29%)
minecraft.dropped.diamond_horse_armor: #1, 2(29%)
minecraft.mined.grass: #2, 4721(9%)
minecraft.picked_up.crimson_stairs: #2, 41(30%)
minecraft.dropped.black_dye: #2, 69(34%)
minecraft.picked_up.cooked_beef: #3, 1710(13%)
minecraft.killed.player: #2, 17(12%)
minecraft.used.cyan_glazed_terracotta: #1, 14(45%)
minecraft.picked_up.brown_concrete_powder: #2, 141(47%)
minecraft.dropped.black_stained_glass: #2, 84(26%)
minecraft.picked_up.diorite: #2, 14480(9%)
minecraft.dropped.pink_bed: #1, 2(67%)
minecraft.dropped.blue_stained_glass: #1, 2(67%)
minecraft.dropped.deepslate_brick_slab: #2, 66(21%)
minecraft.dropped.sponge: #1, 64(33%)
minecraft.crafted.dark_oak_button: #2, 61(14%)
minecraft.crafted.experience_bottle: #2, 5015(29%)
minecraft.picked_up.bee_nest: #2, 20(15%)
minecraft.mined.spruce_sign: #2, 18(21%)
minecraft.picked_up.popped_chorus_fruit: #2, 490(38%)
minecraft.mined.warped_stairs: #2, 109(25%)
minecraft.dropped.leather_leggings: #3, 36(14%)
minecraft.mined.stripped_warped_hyphae: #2, 251(29%)
minecraft.crafted.magenta_terracotta: #2, 464(28%)
minecraft.crafted.enchanted_book: #3, 1300(19%)
minecraft.picked_up.warped_slab: #2, 80(17%)
minecraft.picked_up.arrow: #2, 4696(8%)
minecraft.dropped.flowering_azalea: #2, 54(16%)
minecraft.dropped.oak_button: #2, 15(32%)
minecraft.crafted.chiseled_stone_bricks: #2, 1004(28%)
minecraft.crafted.oak_wood: #3, 1452(22%)
minecraft.used.sugar_cane: #2, 1006(9%)
minecraft.mined.light_blue_terracotta: #2, 65(37%)
minecraft.picked_up.brick: #2, 165(17%)
minecraft.crafted.golden_apple: #2, 109(14%)
minecraft.picked_up.stripped_crimson_hyphae: #2, 118(44%)
minecraft.picked_up.player_head: #3, 1121(11%)
minecraft.dropped.jungle_planks: #2, 83(22%)
minecraft.picked_up.stripped_warped_hyphae: #2, 273(27%)
minecraft.picked_up.beef: #3, 1876(13%)
minecraft.dropped.dark_oak_door: #1, 2(22%)
minecraft.mined.tripwire: #2, 216(9%)
minecraft.killed.blaze: #3, 241(14%)
minecraft.crafted.dark_oak_pressure_plate: #2, 13(19%)
minecraft.crafted.spyglass: #2, 5(17%)
minecraft.dropped.elytra: #2, 14(11%)
minecraft.used.spruce_button: #2, 142(11%)
minecraft.picked_up.ender_eye: #2, 30(41%)
minecraft.mined.fire: #3, 868(11%)
minecraft.used.end_crystal: #2, 92(17%)
minecraft.crafted.spruce_trapdoor: #3, 1688(13%)
minecraft.picked_up.wheat_seeds: #3, 32070(11%)
minecraft.crafted.acacia_stairs: #2, 220(18%)
minecraft.picked_up.diamond_pickaxe: #3, 101(11%)
minecraft.dropped.yellow_bed: #2, 4(29%)
minecraft.broken.diamond_helmet: #1, 1(25%)
minecraft.broken.diamond_chestplate: #1, 1(100%)
minecraft.mined.purple_terracotta: #1, 11(100%)
minecraft.mined.cyan_glazed_terracotta: #1, 14(100%)
minecraft.picked_up.tropical_fish_bucket: #1, 8(100%)
minecraft.picked_up.magenta_bed: #1, 2(100%)
minecraft.crafted.chainmail_helmet: #1, 9(100%)
minecraft.crafted.cactus: #1, 8(100%)
minecraft.crafted.white_glazed_terracotta: #1, 3(100%)
