stat, rank, value, (percentage) 
minecraft.used.ender_chest: #26, 1(0%)
minecraft.dropped.diorite: #26, 3(0%)
minecraft.used.diamond_axe: #26, 47(0%)
minecraft.custom.damage_dealt: #26, 4212(0%)
minecraft.crafted.glass: #26, 27(0%)
minecraft.used.diorite: #26, 1(0%)
minecraft.picked_up.iron_ingot: #26, 2(0%)
minecraft.custom.mob_kills: #26, 32(0%)
minecraft.picked_up.diamond_sword: #27, 1(0%)
minecraft.custom.crouch_one_cm: #27, 127178(0%)
minecraft.custom.damage_taken: #27, 3146(0%)
minecraft.custom.drop: #27, 77(0%)
minecraft.picked_up.chest: #27, 6(0%)
minecraft.picked_up.arrow: #27, 23(0%)
minecraft.picked_up.wheat_seeds: #27, 42(0%)
minecraft.custom.inspect_dispenser: #27, 1(0%)
minecraft.mined.fire: #27, 1(0%)
minecraft.picked_up.diamond_pickaxe: #28, 2(0%)
minecraft.custom.fall_one_cm: #28, 20025(0%)
minecraft.custom.talked_to_villager: #28, 1(0%)
minecraft.custom.time_since_rest: #29, 122972(0%)
minecraft.picked_up.player_head: #29, 2(0%)
minecraft.custom.sneak_time: #31, 39890(0%)
minecraft.custom.walk_under_water_one_cm: #32, 248813(0%)
minecraft.custom.leave_game: #34, 103(1%)
minecraft.custom.play_time: #40, 2548711(0%)
minecraft.custom.total_world_time: #40, 2548711(0%)
minecraft.custom.fly_one_cm: #51, 204021(0%)
