stat, rank, value, (percentage) 
minecraft.picked_up.tuff: #2, 6185(15%)
minecraft.killed.bat: #2, 55(18%)
minecraft.picked_up.purple_concrete_powder: #1, 3966(100%)
minecraft.used.soul_sand: #2, 863(15%)
minecraft.dropped.red_mushroom: #1, 56(37%)
minecraft.picked_up.dead_horn_coral_fan: #1, 14(74%)
minecraft.used.milk_bucket: #2, 42(22%)
minecraft.crafted.wooden_pickaxe: #1, 4(13%)
minecraft.dropped.chest: #2, 85(18%)
minecraft.crafted.brown_shulker_box: #1, 21(32%)
minecraft.picked_up.obsidian: #2, 4698(16%)
minecraft.picked_up.golden_sword: #2, 34(26%)
minecraft.crafted.oak_sign: #2, 351(16%)
minecraft.dropped.oak_planks: #2, 263(16%)
minecraft.crafted.netherite_leggings: #1, 5(36%)
minecraft.mined.jungle_sign: #1, 12(57%)
minecraft.used.golden_carrot: #1, 3944(11%)
minecraft.picked_up.clay_ball: #2, 2196(17%)
minecraft.mined.stone: #1, 292291(10%)
minecraft.used.crimson_trapdoor: #1, 196(26%)
minecraft.used.netherite_block: #1, 28(93%)
minecraft.custom.raid_trigger: #1, 58(56%)
minecraft.mined.nether_brick_wall: #1, 23(70%)
minecraft.dropped.golden_sword: #2, 31(25%)
minecraft.mined.scaffolding: #2, 6381(16%)
minecraft.crafted.netherite_boots: #1, 5(28%)
minecraft.custom.walk_on_water_one_cm: #3, 5862614(9%)
minecraft.dropped.water_bucket: #1, 7(15%)
minecraft.mined.acacia_button: #1, 76(69%)
minecraft.picked_up.netherite_block: #1, 23(92%)
minecraft.dropped.deepslate_tile_wall: #1, 38(55%)
minecraft.killed_by.enderman: #1, 4(25%)
minecraft.dropped.deepslate_brick_stairs: #1, 241(91%)
minecraft.picked_up.crimson_button: #1, 76(90%)
minecraft.dropped.amethyst_shard: #2, 113(23%)
minecraft.mined.andesite: #1, 17824(10%)
minecraft.dropped.basalt: #2, 1661(18%)
minecraft.mined.redstone_wall_torch: #2, 95(17%)
minecraft.dropped.wooden_pickaxe: #1, 5(18%)
minecraft.dropped.light_gray_carpet: #1, 40(53%)
minecraft.mined.dead_tube_coral_fan: #1, 12(67%)
minecraft.crafted.raw_iron: #2, 5224(21%)
minecraft.mined.crying_obsidian: #2, 189(33%)
minecraft.used.jungle_fence: #2, 210(24%)
minecraft.killed.vindicator: #1, 1180(52%)
minecraft.crafted.nether_brick_wall: #1, 144(44%)
minecraft.dropped.redstone_lamp: #1, 12(52%)
minecraft.mined.diorite: #1, 15739(10%)
minecraft.used.chiseled_polished_blackstone: #1, 100(32%)
minecraft.crafted.stone_brick_stairs: #2, 388(18%)
minecraft.used.stone_brick_slab: #2, 4435(18%)
minecraft.picked_up.melon_seeds: #2, 44(21%)
minecraft.crafted.cobblestone_wall: #3, 780(22%)
minecraft.mined.jungle_log: #2, 4640(17%)
minecraft.used.polished_blackstone_bricks: #2, 3217(27%)
minecraft.used.dead_tube_coral_fan: #1, 12(63%)
minecraft.picked_up.dead_tube_coral_fan: #1, 12(63%)
minecraft.crafted.activator_rail: #1, 48(42%)
minecraft.crafted.bone_meal: #2, 126532(14%)
minecraft.dropped.torch: #2, 797(14%)
minecraft.picked_up.shulker_shell: #2, 1686(18%)
minecraft.picked_up.oak_leaves: #2, 12605(15%)
minecraft.dropped.obsidian: #2, 255(21%)
minecraft.dropped.deepslate_tile_slab: #2, 128(23%)
minecraft.used.chorus_fruit: #1, 13(62%)
minecraft.dropped.raw_iron_block: #1, 316(82%)
minecraft.dropped.raw_copper_block: #1, 71(82%)
minecraft.mined.lime_carpet: #1, 57(81%)
minecraft.dropped.iron_bars: #1, 151(27%)
minecraft.mined.piston: #2, 265(15%)
minecraft.mined.tuff: #2, 4900(13%)
minecraft.dropped.stone_stairs: #1, 44(27%)
minecraft.crafted.shulker_box: #2, 708(15%)
minecraft.crafted.spore_blossom: #2, 321(38%)
minecraft.killed.ender_dragon: #1, 10(48%)
minecraft.crafted.bone_block: #2, 12139(18%)
minecraft.used.deepslate_bricks: #2, 5370(14%)
minecraft.crafted.diamond_pickaxe: #2, 35(13%)
minecraft.killed.shulker: #2, 586(19%)
minecraft.dropped.lapis_ore: #1, 9(39%)
minecraft.dropped.brewing_stand: #1, 7(58%)
minecraft.mined.piston_head: #1, 10(13%)
minecraft.picked_up.acacia_button: #1, 156(76%)
minecraft.custom.walk_under_water_one_cm: #3, 8384972(8%)
minecraft.crafted.netherite_axe: #1, 4(29%)
minecraft.used.red_nether_brick_wall: #1, 42(57%)
minecraft.picked_up.blue_orchid: #2, 171(25%)
minecraft.mined.dead_fire_coral_fan: #1, 13(45%)
minecraft.mined.cracked_polished_blackstone_bricks: #1, 103(32%)
minecraft.crafted.stone_slab: #3, 3056(19%)
minecraft.mined.oak_wall_sign: #2, 40(15%)
minecraft.picked_up.iron_block: #2, 5179(13%)
minecraft.picked_up.suspicious_stew: #1, 4(44%)
minecraft.custom.damage_taken: #2, 410339(8%)
minecraft.picked_up.slime_ball: #3, 3648(17%)
minecraft.crafted.sandstone_stairs: #1, 185(36%)
minecraft.dropped.blue_orchid: #1, 33(54%)
minecraft.dropped.cobblestone: #2, 10750(12%)
minecraft.used.stone_sword: #1, 122(13%)
minecraft.used.dead_horn_coral: #1, 5(71%)
minecraft.mined.dead_horn_coral: #1, 5(71%)
minecraft.picked_up.dead_horn_coral: #1, 5(71%)
minecraft.crafted.netherite_block: #1, 5(71%)
minecraft.crafted.end_stone_bricks: #1, 1204(71%)
minecraft.dropped.iron_axe: #3, 72(23%)
minecraft.picked_up.jungle_log: #2, 4604(16%)
minecraft.picked_up.polished_blackstone_brick_slab: #2, 490(24%)
minecraft.picked_up.redstone_torch: #2, 414(12%)
minecraft.used.dirt: #2, 36248(11%)
minecraft.used.carved_pumpkin: #3, 82(23%)
minecraft.crafted.terracotta: #1, 46(35%)
minecraft.picked_up.leather: #2, 2413(12%)
minecraft.used.mossy_stone_brick_wall: #1, 40(51%)
minecraft.mined.soul_sand: #2, 1185(12%)
minecraft.crafted.raw_iron_block: #2, 964(15%)
minecraft.picked_up.dark_prismarine_stairs: #1, 10(40%)
minecraft.dropped.blue_candle: #1, 12(50%)
minecraft.killed_by.wither_skeleton: #1, 3(50%)
minecraft.picked_up.enchanted_golden_apple: #1, 3(50%)
minecraft.dropped.yellow_bed: #1, 4(29%)
minecraft.used.chicken: #1, 4(67%)
minecraft.crafted.netherite_chestplate: #1, 3(33%)
minecraft.crafted.glass_bottle: #2, 3717(12%)
minecraft.dropped.polished_blackstone_brick_stairs: #1, 150(99%)
minecraft.dropped.birch_planks: #2, 165(17%)
minecraft.used.end_stone_brick_stairs: #1, 68(99%)
minecraft.picked_up.item_frame: #2, 330(12%)
minecraft.dropped.crying_obsidian: #1, 386(65%)
minecraft.dropped.mossy_stone_brick_stairs: #1, 64(97%)
minecraft.dropped.bone: #2, 3817(12%)
minecraft.mined.nether_gold_ore: #2, 426(13%)
minecraft.dropped.lime_stained_glass: #1, 27(96%)
minecraft.mined.netherite_block: #1, 23(96%)
minecraft.picked_up.lime_wool: #2, 858(24%)
minecraft.crafted.red_nether_brick_wall: #1, 54(47%)
minecraft.crafted.end_stone_brick_stairs: #1, 72(95%)
minecraft.dropped.purple_concrete: #1, 320(94%)
minecraft.picked_up.cobblestone_wall: #2, 196(13%)
minecraft.mined.red_stained_glass: #2, 50(26%)
minecraft.used.stone_stairs: #2, 508(14%)
minecraft.crafted.netherite_sword: #1, 4(27%)
minecraft.mined.redstone_lamp: #2, 51(16%)
minecraft.picked_up.slime_block: #2, 909(14%)
minecraft.picked_up.flint_and_steel: #2, 20(14%)
minecraft.mined.crimson_button: #1, 6(46%)
minecraft.dropped.small_dripleaf: #1, 6(46%)
minecraft.picked_up.glow_item_frame: #2, 23(13%)
