stat, rank, value, (percentage) 
minecraft.crafted.red_stained_glass_pane: #1, 144(31%)
minecraft.custom.interact_with_loom: #1, 21(14%)
minecraft.crafted.petrified_oak_slab: #1, 153(54%)
minecraft.mined.lilac: #2, 29(14%)
minecraft.crafted.soul_torch: #2, 608(21%)
minecraft.used.white_banner: #2, 43(20%)
minecraft.picked_up.waxed_exposed_copper: #1, 38(54%)
minecraft.picked_up.azalea: #2, 1459(14%)
minecraft.picked_up.copper_ore: #2, 1367(13%)
minecraft.used.deepslate_coal_ore: #2, 352(16%)
minecraft.used.light_blue_banner: #1, 11(42%)
minecraft.used.warped_pressure_plate: #1, 8(42%)
minecraft.crafted.waxed_cut_copper_slab: #1, 46(70%)
minecraft.picked_up.sand: #2, 88505(12%)
minecraft.used.dark_oak_slab: #2, 1306(14%)
minecraft.mined.amethyst_cluster: #2, 1723(14%)
minecraft.picked_up.pink_bed: #1, 6(50%)
minecraft.picked_up.blue_concrete_powder: #1, 3(50%)
minecraft.crafted.gray_bed: #1, 221(66%)
minecraft.picked_up.deepslate_brick_stairs: #2, 286(19%)
minecraft.mined.gray_carpet: #2, 120(21%)
minecraft.picked_up.brain_coral: #2, 174(30%)
minecraft.crafted.soul_lantern: #2, 330(21%)
minecraft.used.furnace: #2, 287(11%)
minecraft.used.polished_blackstone_wall: #2, 310(23%)
minecraft.dropped.baked_potato: #2, 611(15%)
minecraft.dropped.black_bed: #1, 27(96%)
minecraft.used.mycelium: #1, 75(96%)
minecraft.picked_up.cyan_candle: #1, 28(64%)
minecraft.picked_up.deepslate: #2, 13730(11%)
minecraft.used.brain_coral_fan: #2, 212(41%)
minecraft.mined.cyan_candle: #1, 12(63%)
minecraft.picked_up.deepslate_diamond_ore: #2, 155(14%)
minecraft.mined.pink_bed: #1, 5(62%)
minecraft.crafted.weathered_cut_copper_stairs: #1, 8(62%)
minecraft.mined.rose_bush: #2, 23(12%)
minecraft.custom.sprint_one_cm: #2, 93522268(7%)
minecraft.crafted.waxed_weathered_copper: #1, 157(91%)
minecraft.crafted.oak_door: #1, 9(11%)
minecraft.mined.blue_concrete_powder: #1, 3(60%)
minecraft.crafted.blue_stained_glass_pane: #1, 48(60%)
minecraft.mined.polished_blackstone_wall: #2, 35(28%)
minecraft.used.music_disc_far: #1, 8(89%)
minecraft.used.glow_lichen: #2, 4844(13%)
minecraft.used.pink_bed: #1, 5(29%)
minecraft.picked_up.ink_sac: #3, 1807(15%)
minecraft.picked_up.warped_wart_block: #3, 2723(15%)
minecraft.killed.mooshroom: #1, 6(86%)
minecraft.used.wooden_sword: #2, 118(27%)
minecraft.mined.gray_bed: #1, 11(85%)
minecraft.mined.redstone_ore: #2, 2635(10%)
minecraft.picked_up.stone_slab: #2, 880(13%)
minecraft.used.iron_ore: #2, 1885(12%)
minecraft.used.deepslate_gold_ore: #2, 110(17%)
minecraft.picked_up.chipped_anvil: #2, 17(13%)
minecraft.dropped.oak_log: #2, 302(13%)
minecraft.used.redstone_lamp: #2, 241(12%)
minecraft.picked_up.spyglass: #2, 12(15%)
minecraft.crafted.waxed_weathered_cut_copper_stairs: #1, 26(81%)
minecraft.used.diamond_block: #3, 287(17%)
minecraft.dropped.polished_blackstone_button: #2, 18(16%)
minecraft.crafted.purple_shulker_box: #1, 2(20%)
minecraft.used.waxed_weathered_cut_copper_slab: #1, 21(52%)
minecraft.used.tube_coral: #2, 52(29%)
minecraft.dropped.polished_deepslate: #2, 72(18%)
minecraft.crafted.lime_dye: #2, 910(13%)
minecraft.crafted.white_banner: #2, 46(25%)
minecraft.picked_up.redstone: #2, 14074(9%)
minecraft.dropped.flint: #3, 418(13%)
minecraft.picked_up.deepslate_bricks: #3, 893(14%)
minecraft.dropped.blue_bed: #1, 2(50%)
minecraft.mined.warped_pressure_plate: #1, 4(50%)
minecraft.mined.blue_stained_glass_pane: #1, 6(75%)
minecraft.picked_up.warped_pressure_plate: #1, 4(50%)
minecraft.crafted.waxed_exposed_copper: #1, 21(49%)
minecraft.picked_up.cobblestone: #2, 70459(9%)
minecraft.crafted.iron_bars: #2, 944(10%)
minecraft.mined.cobbled_deepslate: #2, 570(9%)
minecraft.mined.fire_coral_fan: #2, 81(24%)
minecraft.picked_up.oak_leaves: #3, 12340(14%)
minecraft.mined.coal_ore: #2, 10595(9%)
minecraft.picked_up.netherite_pickaxe: #3, 64(16%)
minecraft.dropped.oak_stairs: #2, 46(20%)
minecraft.mined.warped_wart_block: #3, 2541(14%)
minecraft.crafted.jungle_boat: #2, 12(30%)
minecraft.used.waxed_copper_block: #2, 248(30%)
minecraft.mined.spruce_leaves: #2, 11336(9%)
minecraft.mined.dragon_head: #1, 4(44%)
minecraft.picked_up.sea_pickle: #2, 2220(12%)
minecraft.picked_up.gravel: #3, 29438(13%)
minecraft.picked_up.deepslate_tile_stairs: #2, 400(10%)
minecraft.picked_up.glowstone: #2, 651(10%)
minecraft.mined.jungle_log: #3, 4270(15%)
minecraft.mined.blackstone: #3, 5510(13%)
minecraft.mined.gravel: #3, 30149(13%)
minecraft.crafted.golden_leggings: #2, 9(32%)
minecraft.crafted.black_bed: #2, 76(45%)
minecraft.picked_up.white_concrete_powder: #3, 1770(17%)
minecraft.custom.deaths: #2, 88(7%)
minecraft.dropped.blue_carpet: #1, 3(60%)
minecraft.crafted.chain: #3, 1118(13%)
minecraft.used.bread: #2, 308(9%)
minecraft.mined.deepslate_tile_stairs: #2, 363(10%)
minecraft.mined.light_gray_wool: #2, 36(26%)
minecraft.picked_up.warped_roots: #3, 621(16%)
minecraft.picked_up.deepslate_iron_ore: #3, 390(13%)
