stat, rank, value, (percentage) 
minecraft.picked_up.stone_slab: #21, 1(0%)
minecraft.used.stone_slab: #21, 3(0%)
minecraft.used.baked_potato: #21, 1(0%)
minecraft.killed.magma_cube: #22, 56(1%)
minecraft.custom.interact_with_stonecutter: #22, 30(1%)
minecraft.used.chain: #22, 31(0%)
minecraft.picked_up.magma_cream: #22, 10(0%)
minecraft.picked_up.redstone_block: #22, 12(0%)
minecraft.mined.carrots: #22, 45(0%)
minecraft.mined.deepslate_tiles: #22, 13(0%)
minecraft.dropped.string: #22, 9(0%)
minecraft.picked_up.polished_deepslate: #22, 14(0%)
minecraft.used.moss_block: #22, 81(0%)
minecraft.used.oak_fence: #22, 5(0%)
minecraft.dropped.arrow: #22, 64(0%)
minecraft.picked_up.lantern: #22, 3(0%)
minecraft.picked_up.cobblestone_wall: #22, 1(0%)
minecraft.used.carrot: #23, 44(0%)
minecraft.picked_up.deepslate_tiles: #23, 13(0%)
minecraft.picked_up.carrot: #23, 153(0%)
minecraft.used.birch_sign: #23, 2(0%)
minecraft.mined.ender_chest: #23, 6(0%)
minecraft.mined.cobblestone_slab: #23, 3(0%)
minecraft.used.golden_carrot: #23, 34(0%)
minecraft.used.lantern: #23, 2(0%)
minecraft.mined.potatoes: #23, 2(0%)
minecraft.picked_up.grass_block: #23, 52(0%)
minecraft.picked_up.potato: #23, 8(0%)
minecraft.picked_up.ender_pearl: #23, 16(0%)
minecraft.picked_up.diamond_pickaxe: #24, 3(0%)
minecraft.picked_up.player_head: #24, 22(0%)
minecraft.used.moss_carpet: #24, 27(0%)
minecraft.used.ender_chest: #24, 6(0%)
minecraft.picked_up.cobblestone_slab: #24, 3(0%)
minecraft.picked_up.ender_chest: #24, 6(0%)
minecraft.picked_up.blackstone: #24, 50(0%)
minecraft.mined.moss_block: #24, 32(0%)
minecraft.dropped.bow: #24, 1(0%)
minecraft.picked_up.moss_block: #24, 32(0%)
minecraft.mined.moss_carpet: #24, 3(0%)
minecraft.mined.blackstone: #24, 11(0%)
minecraft.used.spruce_planks: #24, 12(0%)
minecraft.used.spruce_trapdoor: #24, 2(0%)
minecraft.picked_up.moss_carpet: #24, 3(0%)
minecraft.used.stone_axe: #25, 41(1%)
minecraft.mined.cobbled_deepslate: #25, 17(0%)
minecraft.picked_up.birch_sign: #25, 2(0%)
minecraft.used.deepslate: #25, 71(0%)
minecraft.picked_up.basalt: #25, 73(0%)
minecraft.mined.glowstone: #25, 4(0%)
minecraft.used.ender_pearl: #25, 3(0%)
minecraft.crafted.spruce_planks: #25, 92(0%)
minecraft.custom.aviate_one_cm: #25, 1503821(0%)
minecraft.mined.spruce_planks: #25, 2(0%)
minecraft.picked_up.spruce_planks: #25, 2(0%)
minecraft.used.firework_rocket: #25, 29(0%)
minecraft.custom.talked_to_villager: #25, 5(0%)
minecraft.mined.basalt: #25, 6(0%)
minecraft.picked_up.bamboo: #25, 4(0%)
minecraft.custom.mob_kills: #25, 58(0%)
minecraft.custom.sneak_time: #26, 94664(0%)
minecraft.used.stone_pickaxe: #26, 47(0%)
minecraft.custom.time_since_rest: #26, 206095(0%)
minecraft.picked_up.chest: #26, 27(0%)
minecraft.custom.crouch_one_cm: #26, 311672(0%)
minecraft.custom.damage_taken: #26, 7163(0%)
minecraft.custom.drop: #26, 175(0%)
minecraft.custom.interact_with_lectern: #26, 3(0%)
minecraft.picked_up.diamond_sword: #26, 1(0%)
minecraft.picked_up.arrow: #26, 64(0%)
minecraft.custom.fall_one_cm: #26, 60107(0%)
minecraft.picked_up.bow: #26, 1(0%)
minecraft.used.stone: #26, 143(0%)
minecraft.used.egg: #26, 1(0%)
minecraft.used.bow: #26, 6(0%)
minecraft.picked_up.deepslate: #26, 10(0%)
minecraft.picked_up.netherrack: #26, 16(0%)
minecraft.used.netherrack: #26, 2(0%)
minecraft.mined.netherrack: #26, 15(0%)
minecraft.picked_up.stone: #26, 13(0%)
minecraft.picked_up.diamond: #27, 57(0%)
minecraft.used.player_head: #27, 2(0%)
minecraft.custom.walk_one_cm: #27, 1256827(0%)
minecraft.custom.sprint_one_cm: #27, 1217440(0%)
minecraft.used.cobblestone: #27, 120(0%)
minecraft.custom.climb_one_cm: #27, 49658(0%)
minecraft.mined.cobblestone: #27, 33(0%)
minecraft.custom.sleep_in_bed: #27, 13(0%)
minecraft.custom.open_chest: #27, 276(0%)
minecraft.custom.open_barrel: #27, 46(0%)
minecraft.custom.jump: #27, 2225(0%)
minecraft.crafted.crafting_table: #27, 1(0%)
minecraft.mined.crafting_table: #27, 2(0%)
minecraft.picked_up.crafting_table: #27, 2(0%)
minecraft.used.crafting_table: #27, 2(0%)
minecraft.used.chest: #27, 11(0%)
minecraft.used.andesite: #27, 20(0%)
minecraft.picked_up.string: #27, 9(0%)
minecraft.mined.chest: #27, 3(0%)
minecraft.custom.open_enderchest: #27, 12(0%)
minecraft.custom.interact_with_crafting_table: #27, 11(0%)
minecraft.picked_up.cobbled_deepslate: #27, 82(0%)
minecraft.used.diamond_pickaxe: #27, 619(0%)
minecraft.picked_up.shulker_box: #27, 5(0%)
minecraft.mined.shulker_box: #27, 4(0%)
minecraft.custom.boat_one_cm: #27, 16331(0%)
minecraft.used.shulker_box: #27, 4(0%)
minecraft.picked_up.egg: #27, 1(0%)
minecraft.picked_up.cobblestone: #27, 101(0%)
minecraft.custom.open_shulker_box: #27, 32(0%)
minecraft.mined.wall_torch: #27, 1(0%)
minecraft.mined.grass_block: #27, 60(0%)
minecraft.used.water_bucket: #27, 2(0%)
minecraft.used.diamond_shovel: #27, 92(0%)
minecraft.crafted.iron_ingot: #27, 18(0%)
minecraft.crafted.chest: #27, 2(0%)
minecraft.used.torch: #27, 9(0%)
minecraft.used.bucket: #27, 2(0%)
minecraft.used.diamond_sword: #27, 21(0%)
minecraft.used.diamond_axe: #27, 12(0%)
minecraft.mined.deepslate: #27, 10(0%)
minecraft.mined.grass: #27, 1(0%)
minecraft.custom.swim_one_cm: #27, 431(0%)
minecraft.mined.stone: #27, 12(0%)
minecraft.custom.interact_with_anvil: #28, 4(0%)
minecraft.custom.damage_dealt: #28, 1745(0%)
minecraft.picked_up.dirt: #28, 15(0%)
minecraft.mined.dirt: #28, 7(0%)
minecraft.picked_up.torch: #28, 1(0%)
minecraft.picked_up.wheat_seeds: #28, 1(0%)
minecraft.used.dirt: #29, 2(0%)
minecraft.custom.time_since_death: #35, 298094(0%)
minecraft.custom.leave_game: #40, 63(0%)
minecraft.custom.walk_under_water_one_cm: #44, 17988(0%)
minecraft.custom.play_time: #45, 863181(0%)
minecraft.custom.total_world_time: #45, 863181(0%)
minecraft.custom.walk_on_water_one_cm: #49, 4722(0%)
minecraft.custom.fly_one_cm: #52, 133459(0%)
