stat, rank, value, (percentage) 
minecraft.crafted.diamond_block: #23, 2(0%)
minecraft.picked_up.white_wool: #23, 12(0%)
minecraft.picked_up.potion: #23, 1(0%)
minecraft.crafted.dispenser: #23, 1(0%)
minecraft.picked_up.rose_bush: #23, 3(0%)
minecraft.mined.tripwire: #23, 1(0%)
minecraft.used.sugar_cane: #23, 4(0%)
minecraft.picked_up.deepslate_iron_ore: #23, 1(0%)
minecraft.used.iron_ore: #23, 4(0%)
minecraft.used.cobbled_deepslate_slab: #23, 2(0%)
minecraft.picked_up.dripstone_block: #23, 2(0%)
minecraft.custom.leave_game: #24, 222(1%)
minecraft.custom.walk_one_cm: #24, 20502132(1%)
minecraft.custom.sneak_time: #24, 420829(1%)
minecraft.custom.sleep_in_bed: #24, 185(1%)
minecraft.mined.deepslate_iron_ore: #24, 102(1%)
minecraft.crafted.torch: #24, 1516(1%)
minecraft.picked_up.cobblestone: #24, 7479(1%)
minecraft.mined.deepslate_lapis_ore: #24, 11(1%)
minecraft.mined.iron_ore: #24, 565(1%)
minecraft.crafted.iron_ingot: #24, 1463(1%)
minecraft.custom.interact_with_lectern: #24, 9(1%)
minecraft.picked_up.raw_copper: #24, 622(1%)
minecraft.mined.grass: #24, 244(0%)
minecraft.mined.furnace: #24, 6(0%)
minecraft.used.lever: #24, 11(0%)
minecraft.picked_up.dandelion: #24, 8(0%)
minecraft.picked_up.apple: #24, 15(0%)
minecraft.picked_up.iron_ore: #24, 67(0%)
minecraft.crafted.lever: #24, 7(0%)
minecraft.used.redstone_block: #24, 6(0%)
minecraft.used.dispenser: #24, 3(0%)
minecraft.crafted.copper_block: #24, 42(0%)
minecraft.custom.inspect_dispenser: #24, 10(0%)
minecraft.crafted.bucket: #24, 6(0%)
minecraft.picked_up.birch_sapling: #24, 11(0%)
minecraft.crafted.iron_block: #24, 84(0%)
minecraft.picked_up.bucket: #24, 1(0%)
minecraft.mined.nether_wart_block: #24, 1(0%)
minecraft.used.string: #24, 2(0%)
minecraft.mined.scaffolding: #24, 1(0%)
minecraft.mined.lapis_ore: #25, 35(1%)
minecraft.picked_up.redstone: #25, 1162(1%)
minecraft.picked_up.cobbled_deepslate: #25, 2438(1%)
minecraft.picked_up.raw_iron: #25, 980(1%)
minecraft.custom.climb_one_cm: #25, 214962(0%)
minecraft.mined.deepslate_redstone_ore: #25, 34(0%)
minecraft.crafted.redstone: #25, 342(0%)
minecraft.mined.redstone_ore: #25, 72(0%)
minecraft.crafted.redstone_block: #25, 29(0%)
minecraft.mined.poppy: #25, 3(0%)
minecraft.mined.ladder: #25, 1(0%)
minecraft.picked_up.egg: #25, 6(0%)
minecraft.picked_up.gold_ore: #25, 3(0%)
minecraft.picked_up.lead: #25, 2(0%)
minecraft.used.egg: #25, 4(0%)
minecraft.mined.magma_block: #25, 11(0%)
minecraft.crafted.red_dye: #25, 3(0%)
minecraft.picked_up.firework_rocket: #25, 10(0%)
minecraft.crafted.polished_deepslate: #25, 5(0%)
minecraft.mined.blackstone: #25, 5(0%)
minecraft.picked_up.blackstone: #25, 4(0%)
minecraft.mined.deepslate: #26, 2979(1%)
minecraft.mined.deepslate_diamond_ore: #26, 16(1%)
minecraft.used.ladder: #26, 18(0%)
minecraft.mined.grass_block: #26, 1242(0%)
minecraft.crafted.ladder: #26, 21(0%)
minecraft.mined.dirt_path: #26, 9(0%)
minecraft.picked_up.poppy: #26, 4(0%)
minecraft.picked_up.magma_block: #26, 5(0%)
minecraft.crafted.gold_ingot: #26, 18(0%)
minecraft.picked_up.potato: #28, 2(0%)
minecraft.custom.time_since_rest: #31, 84415(0%)
minecraft.custom.time_since_death: #34, 341355(0%)
