stat, rank, value, (percentage) 
minecraft.picked_up.dark_oak_boat: #6, 17(5%)
minecraft.crafted.glass_pane: #5, 512(0%)
minecraft.crafted.black_dye: #6, 1459(4%)
minecraft.picked_up.dried_kelp: #5, 15(0%)
minecraft.used.dark_prismarine_stairs: #5, 1(0%)
minecraft.used.brown_concrete: #5, 3(0%)
minecraft.killed_by.creeper: #6, 6(5%)
minecraft.mined.spruce_door: #6, 13(5%)
minecraft.crafted.wooden_hoe: #6, 2(10%)
minecraft.crafted.tinted_glass: #6, 1222(7%)
minecraft.dropped.cobbled_deepslate: #7, 555(8%)
minecraft.mined.cobbled_deepslate: #6, 201(3%)
minecraft.used.wooden_hoe: #6, 78(9%)
minecraft.dropped.wooden_hoe: #6, 1(14%)
minecraft.picked_up.jungle_planks: #6, 121(5%)
minecraft.mined.polished_basalt: #6, 72(4%)
minecraft.picked_up.jungle_stairs: #6, 25(6%)
minecraft.crafted.polished_andesite: #6, 464(4%)
minecraft.mined.seagrass: #6, 173(3%)
minecraft.picked_up.polished_granite: #6, 47(4%)
minecraft.picked_up.stone_pressure_plate: #6, 13(4%)
minecraft.dropped.chainmail_boots: #6, 5(4%)
minecraft.picked_up.polished_basalt: #6, 72(4%)
minecraft.picked_up.note_block: #6, 29(4%)
minecraft.dropped.calcite: #6, 23(3%)
minecraft.used.moss_block: #7, 4058(6%)
minecraft.broken.wooden_hoe: #6, 1(9%)
minecraft.picked_up.diorite_wall: #6, 6(8%)
minecraft.mined.jungle_leaves: #6, 614(3%)
minecraft.used.grindstone: #6, 49(2%)
minecraft.mined.soul_lantern: #6, 12(4%)
minecraft.custom.walk_on_water_one_cm: #8, 2992785(5%)
minecraft.dropped.smooth_stone: #6, 16(4%)
minecraft.used.azalea: #6, 91(2%)
minecraft.used.red_candle: #6, 6(5%)
minecraft.used.jungle_boat: #6, 3(4%)
minecraft.dropped.soul_soil: #6, 15(3%)
minecraft.killed.axolotl: #6, 2(4%)
minecraft.used.cracked_stone_bricks: #6, 103(3%)
minecraft.mined.warped_wart_block: #7, 996(5%)
minecraft.picked_up.heart_of_the_sea: #6, 3(5%)
minecraft.broken.stone_hoe: #6, 1(3%)
minecraft.crafted.spruce_button: #6, 19(2%)
minecraft.mined.chiseled_deepslate: #6, 14(2%)
minecraft.crafted.polished_andesite_stairs: #6, 12(3%)
minecraft.crafted.mossy_cobblestone: #7, 561(8%)
minecraft.mined.jungle_sapling: #6, 5(2%)
minecraft.dropped.diamond_sword: #7, 7(5%)
minecraft.picked_up.oak_slab: #7, 115(5%)
minecraft.picked_up.diamond_sword: #7, 27(5%)
minecraft.crafted.shield: #7, 4(6%)
minecraft.dropped.stripped_spruce_log: #6, 1(4%)
minecraft.picked_up.redstone_torch: #7, 161(5%)
minecraft.mined.mossy_stone_brick_slab: #6, 2(2%)
minecraft.used.jungle_wood: #6, 11(2%)
minecraft.dropped.iron_chestplate: #7, 4(6%)
minecraft.used.brown_concrete_powder: #6, 27(1%)
minecraft.crafted.brown_concrete_powder: #6, 40(2%)
minecraft.picked_up.polished_deepslate_stairs: #7, 116(6%)
minecraft.mined.melon: #6, 24(1%)
minecraft.picked_up.cracked_stone_bricks: #6, 25(1%)
minecraft.picked_up.chain: #7, 120(5%)
minecraft.used.yellow_candle: #6, 1(2%)
minecraft.crafted.blue_concrete_powder: #6, 8(1%)
minecraft.picked_up.stripped_jungle_wood: #6, 2(1%)
minecraft.mined.stripped_jungle_wood: #6, 2(1%)
minecraft.picked_up.dead_tube_coral_block: #6, 2(1%)
minecraft.picked_up.birch_sign: #7, 40(4%)
minecraft.used.lime_bed: #6, 2(1%)
minecraft.crafted.mossy_cobblestone_stairs: #6, 4(1%)
minecraft.picked_up.lime_bed: #6, 2(1%)
minecraft.used.diorite_stairs: #6, 1(1%)
minecraft.picked_up.yellow_candle: #6, 1(0%)
minecraft.dropped.nether_wart: #6, 2(0%)
minecraft.picked_up.flint_and_steel: #7, 7(5%)
minecraft.used.polished_deepslate_stairs: #7, 545(5%)
minecraft.picked_up.chainmail_boots: #7, 5(5%)
minecraft.mined.copper_block: #7, 90(4%)
minecraft.mined.candle: #7, 10(7%)
minecraft.dropped.birch_log: #7, 64(5%)
minecraft.used.cooked_mutton: #7, 14(5%)
minecraft.picked_up.wooden_pickaxe: #7, 2(7%)
minecraft.broken.iron_helmet: #7, 1(8%)
minecraft.picked_up.iron_axe: #7, 9(4%)
minecraft.mined.small_dripleaf: #7, 2(7%)
minecraft.dropped.dark_oak_planks: #7, 50(4%)
minecraft.dropped.leather_boots: #7, 10(3%)
minecraft.used.honey_block: #7, 74(6%)
minecraft.used.smooth_stone: #7, 761(4%)
minecraft.crafted.grindstone: #7, 58(3%)
minecraft.picked_up.sand: #8, 46691(6%)
minecraft.used.stone_hoe: #7, 216(3%)
minecraft.mined.note_block: #7, 17(4%)
minecraft.crafted.player_head: #7, 95(4%)
minecraft.used.cooked_salmon: #7, 6(6%)
minecraft.dropped.carrot: #7, 907(3%)
minecraft.dropped.spruce_slab: #7, 22(4%)
minecraft.used.jungle_sapling: #7, 46(4%)
minecraft.used.warped_sign: #7, 26(5%)
minecraft.crafted.cooked_mutton: #7, 14(3%)
minecraft.dropped.oak_door: #7, 1(7%)
minecraft.picked_up.campfire: #7, 14(3%)
minecraft.picked_up.stone_sword: #7, 10(2%)
minecraft.picked_up.spore_blossom: #7, 6(2%)
minecraft.used.cut_copper_stairs: #7, 113(4%)
minecraft.used.diorite_wall: #7, 12(4%)
minecraft.mined.torch: #8, 1257(5%)
minecraft.dropped.redstone_block: #7, 16(3%)
minecraft.crafted.suspicious_stew: #7, 5(4%)
minecraft.crafted.diorite_wall: #7, 8(5%)
minecraft.dropped.poisonous_potato: #7, 4(3%)
minecraft.mined.white_wall_banner: #7, 1(4%)
minecraft.mined.warped_wall_sign: #7, 4(4%)
minecraft.mined.bell: #7, 3(3%)
minecraft.dropped.stone_sword: #7, 10(2%)
minecraft.picked_up.warped_sign: #7, 7(2%)
minecraft.used.rotten_flesh: #7, 6(2%)
minecraft.picked_up.spectral_arrow: #7, 199(2%)
minecraft.picked_up.mossy_cobblestone_stairs: #7, 6(3%)
minecraft.dropped.furnace: #7, 1(3%)
