stat, rank, value, (percentage) 
minecraft.dropped.magma_cream: #9, 38(5%)
minecraft.used.bamboo: #9, 114(4%)
minecraft.mined.basalt: #9, 4199(3%)
minecraft.picked_up.sea_lantern: #9, 70(3%)
minecraft.used.basalt: #9, 683(3%)
minecraft.mined.smooth_stone: #9, 176(4%)
minecraft.crafted.book: #9, 119(3%)
minecraft.crafted.oak_door: #9, 3(4%)
minecraft.picked_up.coarse_dirt: #9, 383(2%)
minecraft.picked_up.spruce_sign: #9, 30(2%)
minecraft.picked_up.copper_block: #9, 112(2%)
minecraft.mined.white_shulker_box: #9, 43(2%)
minecraft.mined.bamboo: #9, 120(1%)
minecraft.mined.deepslate_tile_wall: #9, 21(2%)
minecraft.picked_up.white_shulker_box: #9, 43(2%)
minecraft.crafted.netherite_scrap: #9, 21(3%)
minecraft.picked_up.white_banner: #9, 6(1%)
minecraft.crafted.cooked_mutton: #9, 8(2%)
minecraft.used.smooth_stone: #9, 334(2%)
minecraft.mined.crimson_roots: #9, 19(1%)
minecraft.mined.spruce_sign: #9, 2(2%)
minecraft.mined.smoker: #9, 1(2%)
minecraft.killed.pillager: #9, 31(1%)
minecraft.used.soul_lantern: #9, 17(1%)
minecraft.mined.cobbled_deepslate_wall: #9, 5(1%)
minecraft.crafted.polished_blackstone_button: #9, 37(1%)
minecraft.mined.twisting_vines: #9, 9(1%)
minecraft.crafted.glistering_melon_slice: #9, 3(1%)
minecraft.crafted.leather_chestplate: #9, 1(1%)
minecraft.used.gray_shulker_box: #9, 4(1%)
minecraft.mined.gray_shulker_box: #9, 4(1%)
minecraft.dropped.mutton: #9, 1(1%)
minecraft.picked_up.gray_shulker_box: #9, 4(1%)
minecraft.mined.soul_fire: #9, 1(0%)
minecraft.used.powder_snow_bucket: #9, 2(0%)
minecraft.picked_up.smooth_quartz_stairs: #9, 1(0%)
minecraft.killed.magma_cube: #10, 345(4%)
minecraft.mined.lilac: #10, 8(4%)
minecraft.picked_up.deepslate_tiles: #10, 225(3%)
minecraft.used.stone_pickaxe: #10, 286(3%)
minecraft.mined.deepslate_tiles: #10, 171(3%)
