stat, rank, value, (percentage) 
minecraft.mined.jungle_log: #5, 1278(5%)
minecraft.used.white_stained_glass: #5, 591(6%)
minecraft.picked_up.armor_stand: #5, 33(5%)
minecraft.used.crimson_fungus: #5, 11(8%)
minecraft.picked_up.netherite_axe: #5, 8(6%)
minecraft.mined.terracotta: #5, 6137(4%)
minecraft.picked_up.terracotta: #5, 6106(4%)
minecraft.picked_up.dark_oak_planks: #6, 430(8%)
minecraft.killed.pig: #5, 21(4%)
minecraft.picked_up.jungle_stairs: #5, 25(6%)
minecraft.mined.note_block: #5, 21(5%)
minecraft.mined.spruce_sign: #5, 6(7%)
minecraft.crafted.granite_wall: #5, 42(8%)
minecraft.picked_up.warped_slab: #5, 26(6%)
minecraft.used.jungle_sapling: #5, 58(5%)
minecraft.dropped.dragon_head: #5, 1(14%)
minecraft.picked_up.red_mushroom_block: #5, 363(5%)
minecraft.picked_up.diorite_wall: #5, 8(10%)
minecraft.killed_by.enderman: #5, 1(6%)
minecraft.crafted.crimson_fence: #5, 18(8%)
minecraft.used.granite_slab: #5, 64(8%)
minecraft.broken.iron_axe: #6, 10(8%)
minecraft.picked_up.stripped_birch_log: #5, 115(4%)
minecraft.used.lime_terracotta: #5, 75(5%)
minecraft.crafted.cooked_beef: #6, 545(7%)
minecraft.dropped.axolotl_bucket: #5, 2(7%)
minecraft.picked_up.axolotl_bucket: #5, 3(5%)
minecraft.crafted.netherite_axe: #5, 1(7%)
minecraft.mined.dark_oak_leaves: #5, 454(2%)
minecraft.dropped.moss_block: #6, 372(7%)
minecraft.used.warped_slab: #5, 84(4%)
minecraft.used.nether_brick_slab: #5, 46(5%)
minecraft.picked_up.pointed_dripstone: #5, 610(2%)
minecraft.crafted.crafting_table: #6, 80(5%)
minecraft.picked_up.lilac: #6, 103(6%)
minecraft.picked_up.dark_oak_stairs: #6, 70(7%)
minecraft.mined.warped_planks: #5, 49(4%)
minecraft.used.blue_shulker_box: #5, 20(6%)
minecraft.crafted.quartz_slab: #5, 48(4%)
minecraft.crafted.raw_gold_block: #5, 33(3%)
minecraft.picked_up.crimson_fence: #5, 2(9%)
minecraft.mined.lily_pad: #5, 28(3%)
minecraft.picked_up.warped_fence: #5, 6(5%)
minecraft.used.andesite: #6, 2267(5%)
minecraft.picked_up.lily_of_the_valley: #5, 52(2%)
minecraft.picked_up.beetroot: #5, 93(2%)
minecraft.used.green_wool: #5, 51(4%)
minecraft.mined.jungle_button: #5, 1(6%)
minecraft.dropped.armor_stand: #5, 9(7%)
minecraft.dropped.birch_fence: #5, 1(6%)
minecraft.dropped.bamboo: #5, 106(2%)
minecraft.crafted.quartz_pillar: #5, 64(4%)
minecraft.used.spruce_sign: #6, 188(6%)
minecraft.picked_up.painting: #5, 56(1%)
minecraft.picked_up.dark_oak_button: #5, 3(3%)
minecraft.mined.spruce_log: #6, 5532(5%)
minecraft.used.prismarine_bricks: #5, 67(2%)
minecraft.used.ancient_debris: #5, 2(4%)
minecraft.used.melon_seeds: #5, 13(2%)
