stat, rank, value, (percentage) 
minecraft.crafted.cyan_stained_glass: #3, 176(7%)
minecraft.dropped.suspicious_stew: #3, 9(15%)
minecraft.crafted.sea_lantern: #2, 45(0%)
minecraft.dropped.light_blue_banner: #3, 1(33%)
minecraft.dropped.music_disc_cat: #3, 1(33%)
minecraft.used.golden_boots: #3, 1(33%)
minecraft.mined.oak_fence_gate: #3, 14(7%)
minecraft.picked_up.oak_boat: #4, 87(8%)
minecraft.picked_up.stone_sword: #3, 19(4%)
minecraft.dropped.sea_lantern: #3, 24(11%)
minecraft.dropped.deepslate_tile_slab: #4, 68(12%)
minecraft.used.glass_bottle: #3, 221(3%)
minecraft.mined.furnace: #4, 102(7%)
minecraft.picked_up.enchanting_table: #4, 4(12%)
minecraft.mined.oak_sign: #4, 13(9%)
minecraft.dropped.smooth_quartz_slab: #3, 1(25%)
minecraft.picked_up.powder_snow_bucket: #4, 6(11%)
minecraft.used.pink_wool: #3, 72(7%)
minecraft.used.iron_trapdoor: #4, 307(8%)
minecraft.dropped.deepslate_iron_ore: #3, 5(12%)
minecraft.dropped.diamond_pickaxe: #4, 13(7%)
minecraft.dropped.brewing_stand: #3, 2(17%)
minecraft.used.polished_blackstone_pressure_plate: #3, 53(9%)
minecraft.used.melon_seeds: #3, 32(4%)
minecraft.mined.polished_blackstone_button: #4, 27(10%)
minecraft.dropped.observer: #4, 40(11%)
minecraft.dropped.water_bucket: #4, 4(8%)
minecraft.custom.target_hit: #4, 65(13%)
minecraft.dropped.stone_sword: #3, 17(3%)
minecraft.dropped.prismarine_bricks: #4, 64(16%)
minecraft.picked_up.gray_wool: #4, 353(9%)
minecraft.dropped.flint: #4, 183(6%)
minecraft.crafted.melon_seeds: #3, 44(5%)
minecraft.used.purple_wool: #3, 65(7%)
minecraft.dropped.diamond_helmet: #4, 5(11%)
minecraft.dropped.glowstone_dust: #3, 156(3%)
minecraft.dropped.basalt: #4, 660(7%)
minecraft.picked_up.written_book: #4, 12(8%)
minecraft.dropped.bamboo: #4, 436(9%)
minecraft.crafted.lever: #4, 160(5%)
minecraft.used.bamboo: #4, 169(6%)
minecraft.dropped.dirt: #4, 2495(5%)
minecraft.dropped.cyan_dye: #3, 3(7%)
minecraft.dropped.repeater: #4, 36(12%)
minecraft.crafted.furnace: #4, 149(5%)
minecraft.picked_up.repeater: #5, 360(10%)
minecraft.used.writable_book: #5, 146(10%)
minecraft.dropped.crimson_sign: #3, 1(9%)
minecraft.used.cooked_cod: #4, 68(10%)
minecraft.dropped.orange_dye: #3, 6(7%)
minecraft.used.brown_wool: #4, 96(9%)
minecraft.dropped.nether_bricks: #4, 4(12%)
minecraft.picked_up.emerald: #4, 740(6%)
minecraft.dropped.clock: #4, 36(12%)
minecraft.picked_up.dried_kelp_block: #3, 29(7%)
minecraft.custom.use_cauldron: #3, 170(1%)
minecraft.mined.red_mushroom: #4, 12(8%)
minecraft.killed.guardian: #3, 32(3%)
minecraft.used.cod_bucket: #3, 1(6%)
minecraft.crafted.smooth_quartz_slab: #4, 174(13%)
minecraft.crafted.charcoal: #4, 64(8%)
minecraft.picked_up.emerald_ore: #4, 15(10%)
minecraft.mined.observer: #5, 211(9%)
minecraft.dropped.coal_block: #3, 39(2%)
minecraft.dropped.potion: #4, 29(6%)
minecraft.mined.jack_o_lantern: #4, 38(8%)
minecraft.picked_up.observer: #5, 292(8%)
minecraft.dropped.lime_dye: #3, 3(2%)
minecraft.used.brewing_stand: #5, 28(9%)
minecraft.crafted.orange_glazed_terracotta: #3, 12(1%)
minecraft.picked_up.cooked_chicken: #4, 82(7%)
minecraft.mined.sticky_piston: #5, 95(9%)
minecraft.dropped.red_concrete: #3, 7(1%)
minecraft.dropped.cobblestone: #5, 6923(8%)
minecraft.picked_up.polished_blackstone_button: #5, 103(10%)
minecraft.picked_up.stone_pressure_plate: #4, 18(6%)
minecraft.dropped.deepslate_tiles: #4, 36(10%)
minecraft.crafted.iron_trapdoor: #4, 170(5%)
minecraft.dropped.cobbled_deepslate: #5, 577(8%)
minecraft.crafted.polished_deepslate_slab: #4, 270(4%)
minecraft.used.stone_shovel: #4, 833(5%)
minecraft.picked_up.dragon_breath: #4, 45(15%)
minecraft.dropped.golden_carrot: #5, 442(7%)
minecraft.dropped.dripstone_block: #4, 128(7%)
minecraft.picked_up.clock: #4, 31(5%)
minecraft.mined.white_concrete_powder: #4, 148(5%)
minecraft.crafted.suspicious_stew: #4, 9(8%)
minecraft.custom.animals_bred: #5, 752(7%)
minecraft.picked_up.kelp: #5, 2702(7%)
minecraft.picked_up.iron_door: #5, 17(10%)
minecraft.dropped.red_dye: #4, 22(9%)
minecraft.dropped.diamond_leggings: #5, 7(9%)
minecraft.killed_by.zombified_piglin: #4, 1(17%)
minecraft.killed_by.wither_skeleton: #4, 1(17%)
minecraft.picked_up.enchanted_golden_apple: #4, 1(17%)
minecraft.crafted.crimson_sign: #4, 6(11%)
minecraft.dropped.sticky_piston: #4, 8(11%)
minecraft.crafted.pink_wool: #4, 5(11%)
minecraft.picked_up.cartography_table: #4, 10(6%)
minecraft.picked_up.smooth_quartz: #4, 68(4%)
minecraft.used.crimson_sign: #4, 5(10%)
minecraft.used.sticky_piston: #5, 209(6%)
minecraft.dropped.shroomlight: #4, 8(7%)
minecraft.picked_up.brown_dye: #4, 14(7%)
minecraft.used.seagrass: #4, 26(8%)
minecraft.picked_up.light_blue_dye: #4, 11(5%)
minecraft.mined.redstone_wall_torch: #5, 37(7%)
minecraft.used.green_wool: #4, 56(4%)
minecraft.mined.dropper: #5, 48(8%)
minecraft.dropped.sandstone_slab: #4, 3(9%)
