stat, rank, value, (percentage) 
minecraft.mined.cracked_deepslate_bricks: #2, 144(30%)
minecraft.crafted.smooth_red_sandstone_stairs: #1, 348(99%)
minecraft.used.repeater: #2, 901(12%)
minecraft.dropped.cobweb: #1, 64(98%)
minecraft.dropped.bubble_coral_block: #1, 103(98%)
minecraft.used.orange_dye: #1, 50(98%)
minecraft.crafted.pink_terracotta: #2, 680(25%)
minecraft.used.deepslate_copper_ore: #1, 32(16%)
minecraft.used.grass_block: #3, 28242(15%)
minecraft.mined.iron_block: #2, 3385(12%)
minecraft.used.carrot: #2, 2609(11%)
minecraft.used.damaged_anvil: #2, 15(17%)
minecraft.used.sandstone_slab: #2, 463(18%)
minecraft.mined.mossy_cobblestone_wall: #1, 18(47%)
minecraft.mined.potted_flowering_azalea_bush: #1, 6(38%)
minecraft.mined.bamboo_sapling: #2, 23(29%)
minecraft.picked_up.end_stone_bricks: #2, 137(18%)
minecraft.used.cookie: #2, 109(36%)
minecraft.mined.water_cauldron: #2, 14(32%)
minecraft.crafted.flint_and_steel: #2, 66(11%)
minecraft.used.warped_nylium: #2, 86(22%)
minecraft.crafted.crimson_pressure_plate: #1, 10(91%)
minecraft.mined.azalea: #2, 313(12%)
minecraft.dropped.honeycomb_block: #1, 64(90%)
minecraft.used.warped_stem: #2, 590(16%)
minecraft.broken.bow: #1, 3(60%)
minecraft.used.exposed_cut_copper_slab: #1, 31(45%)
minecraft.used.acacia_log: #2, 826(16%)
minecraft.mined.damaged_anvil: #2, 16(17%)
minecraft.used.dead_fire_coral_fan: #1, 8(44%)
