stat, rank, value, (percentage) 
minecraft.used.stripped_acacia_log: #2, 38(21%)
minecraft.picked_up.red_banner: #2, 8(21%)
minecraft.picked_up.chainmail_boots: #2, 8(8%)
minecraft.mined.spruce_wall_sign: #3, 34(11%)
minecraft.picked_up.dead_fire_coral_block: #2, 24(20%)
minecraft.dropped.dark_oak_button: #2, 14(20%)
minecraft.mined.fire_coral: #2, 79(16%)
minecraft.picked_up.crimson_fungus: #3, 65(12%)
minecraft.crafted.cyan_shulker_box: #2, 3(18%)
minecraft.used.flint_and_steel: #3, 559(9%)
minecraft.used.barrel: #3, 386(10%)
minecraft.crafted.brown_shulker_box: #2, 10(15%)
minecraft.mined.polished_granite_stairs: #2, 8(28%)
minecraft.dropped.chainmail_chestplate: #3, 15(18%)
minecraft.crafted.smooth_stone: #4, 2519(16%)
minecraft.mined.dark_prismarine_stairs: #2, 6(27%)
minecraft.custom.open_shulker_box: #3, 22832(8%)
minecraft.used.stone_hoe: #3, 815(13%)
minecraft.dropped.smooth_sandstone_slab: #2, 43(33%)
minecraft.dropped.iron_door: #2, 4(22%)
minecraft.crafted.spruce_slab: #3, 2640(10%)
minecraft.used.polished_blackstone_slab: #3, 875(15%)
minecraft.crafted.pumpkin_seeds: #2, 100(10%)
minecraft.mined.cut_copper: #2, 35(12%)
minecraft.used.light_gray_shulker_box: #2, 76(22%)
minecraft.picked_up.cut_copper: #2, 34(12%)
minecraft.picked_up.light_gray_shulker_box: #2, 74(22%)
minecraft.dropped.tube_coral_fan: #2, 6(26%)
minecraft.dropped.shulker_shell: #2, 108(16%)
minecraft.crafted.light_gray_shulker_box: #2, 3(21%)
minecraft.dropped.acacia_slab: #2, 8(32%)
minecraft.crafted.dark_oak_fence: #3, 387(12%)
minecraft.mined.dead_fire_coral_block: #2, 22(21%)
minecraft.mined.polished_blackstone_stairs: #3, 137(15%)
minecraft.picked_up.diamond_ore: #3, 190(10%)
minecraft.crafted.deepslate_brick_slab: #3, 128(14%)
minecraft.crafted.nautilus_shell: #2, 10(24%)
minecraft.picked_up.dark_prismarine_stairs: #2, 6(24%)
minecraft.dropped.beacon: #2, 2(20%)
minecraft.used.wheat_seeds: #3, 10185(9%)
minecraft.picked_up.hay_block: #3, 284(10%)
minecraft.mined.brown_mushroom: #3, 90(10%)
minecraft.picked_up.orange_stained_glass_pane: #2, 4(24%)
minecraft.mined.spruce_door: #3, 29(12%)
minecraft.used.spruce_door: #3, 56(11%)
minecraft.mined.spruce_button: #3, 10(14%)
minecraft.mined.tnt: #3, 63(13%)
minecraft.used.dead_fire_coral_block: #2, 21(23%)
minecraft.mined.brewing_stand: #3, 26(11%)
minecraft.mined.furnace: #3, 122(9%)
minecraft.picked_up.bread: #3, 339(10%)
minecraft.dropped.melon_seeds: #2, 9(19%)
minecraft.used.cartography_table: #3, 45(21%)
minecraft.used.bricks: #3, 1096(16%)
minecraft.crafted.dark_oak_sign: #3, 228(11%)
minecraft.mined.light_gray_shulker_box: #2, 59(18%)
