stat, rank, value, (percentage) 
minecraft.dropped.glowstone: #2, 88(17%)
minecraft.dropped.netherite_sword: #2, 4(12%)
minecraft.crafted.polished_granite: #3, 544(12%)
minecraft.mined.smooth_quartz_stairs: #2, 86(15%)
minecraft.used.green_carpet: #3, 137(17%)
minecraft.mined.lapis_ore: #3, 352(8%)
minecraft.dropped.brown_candle: #2, 5(38%)
minecraft.picked_up.candle: #3, 129(15%)
minecraft.mined.jungle_trapdoor: #2, 82(10%)
minecraft.picked_up.composter: #3, 74(10%)
minecraft.used.axolotl_bucket: #3, 51(12%)
minecraft.picked_up.ender_pearl: #3, 14137(8%)
minecraft.picked_up.red_concrete_powder: #3, 391(21%)
minecraft.used.mossy_cobblestone: #3, 547(13%)
minecraft.crafted.brewing_stand: #3, 17(11%)
minecraft.mined.weeping_vines_plant: #3, 39(12%)
minecraft.used.gray_shulker_box: #3, 119(19%)
minecraft.mined.farmland: #3, 204(8%)
minecraft.picked_up.acacia_fence_gate: #2, 5(16%)
minecraft.mined.yellow_carpet: #2, 5(22%)
minecraft.custom.player_kills: #3, 13(10%)
minecraft.mined.red_concrete: #3, 1617(12%)
minecraft.mined.black_terracotta: #2, 16(36%)
minecraft.picked_up.moss_carpet: #3, 2086(9%)
minecraft.picked_up.poisonous_potato: #3, 43(10%)
minecraft.mined.chest: #3, 626(8%)
minecraft.mined.light_gray_bed: #2, 13(35%)
minecraft.picked_up.red_wool: #3, 1236(11%)
minecraft.used.lava_bucket: #2, 629(4%)
minecraft.mined.dragon_wall_head: #3, 12(13%)
minecraft.used.netherite_pickaxe: #3, 311670(13%)
minecraft.mined.gray_shulker_box: #3, 123(20%)
minecraft.used.lime_banner: #2, 1(25%)
minecraft.picked_up.creeper_head: #2, 2(20%)
minecraft.mined.iron_door: #3, 18(11%)
