stat, rank, value, (percentage) 
minecraft.dropped.iron_sword: #13, 2(1%)
minecraft.picked_up.deepslate_tile_stairs: #13, 52(1%)
minecraft.crafted.cobblestone_slab: #13, 96(1%)
minecraft.crafted.fermented_spider_eye: #13, 8(1%)
minecraft.mined.deepslate_bricks: #13, 47(1%)
minecraft.used.oak_fence: #13, 43(1%)
minecraft.crafted.wheat: #13, 135(1%)
minecraft.mined.iron_door: #13, 2(1%)
minecraft.used.lilac: #13, 2(1%)
minecraft.mined.hay_block: #13, 18(1%)
minecraft.dropped.chainmail_chestplate: #13, 1(1%)
minecraft.picked_up.campfire: #13, 4(1%)
minecraft.used.bell: #13, 1(1%)
minecraft.used.cooked_porkchop: #13, 14(1%)
minecraft.used.detector_rail: #13, 1(1%)
minecraft.dropped.dark_oak_trapdoor: #13, 1(1%)
minecraft.used.white_terracotta: #13, 10(1%)
minecraft.used.oak_wood: #13, 33(1%)
minecraft.dropped.calcite: #13, 3(0%)
minecraft.used.polished_granite: #13, 8(0%)
minecraft.used.smithing_table: #13, 3(0%)
minecraft.picked_up.lapis_block: #13, 2(0%)
minecraft.mined.lily_pad: #13, 2(0%)
minecraft.mined.twisting_vines: #13, 2(0%)
minecraft.crafted.mossy_stone_bricks: #13, 31(0%)
minecraft.picked_up.blue_orchid: #13, 1(0%)
minecraft.dropped.birch_leaves: #13, 1(0%)
minecraft.dropped.bread: #13, 7(0%)
minecraft.crafted.oak_wood: #13, 6(0%)
minecraft.crafted.diamond_shovel: #14, 4(3%)
minecraft.broken.iron_pickaxe: #14, 8(3%)
minecraft.crafted.lever: #14, 65(2%)
minecraft.picked_up.chainmail_boots: #14, 3(3%)
minecraft.crafted.white_bed: #14, 9(2%)
minecraft.used.iron_pickaxe: #14, 2251(2%)
minecraft.picked_up.deepslate_bricks: #14, 108(2%)
minecraft.used.redstone_block: #14, 51(2%)
minecraft.used.oak_log: #14, 251(2%)
minecraft.picked_up.mossy_cobblestone: #14, 65(2%)
minecraft.mined.oak_stairs: #14, 11(1%)
minecraft.used.campfire: #14, 20(1%)
minecraft.picked_up.lilac: #14, 21(1%)
minecraft.dropped.diamond_helmet: #14, 1(2%)
